Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Blaney,Shelley Downey,Stacey Gastis,Jennifer Grenz,Paul Macknight,Carla Neal,Jessica Wegg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59037,"North Island--Powell River/North Island--Powell River"," 1","Oweekeno",21,3,0,1,0,1,4,1,31,45
59037,"North Island--Powell River/North Island--Powell River"," 2","Dawsons Landing",2,1,0,2,0,0,0,0,5,7
59037,"North Island--Powell River/North Island--Powell River"," 3","Selman Lake",Void/Supprimé,,,,,,,,,
59037,"North Island--Powell River/North Island--Powell River"," 4","Holberg",5,9,0,4,1,0,0,0,19,28
59037,"North Island--Powell River/North Island--Powell River"," 5","Coal Harbour",25,29,0,6,2,0,7,0,69,143
59037,"North Island--Powell River/North Island--Powell River"," 6","Port Hardy",53,57,2,16,4,1,5,2,140,438
59037,"North Island--Powell River/North Island--Powell River"," 7A","Port Hardy",21,34,1,6,5,1,6,0,74,254
59037,"North Island--Powell River/North Island--Powell River"," 7B","Port Hardy",42,5,0,2,3,0,1,0,53,202
59037,"North Island--Powell River/North Island--Powell River"," 8","Port Hardy",66,69,0,13,5,0,4,1,158,530
59037,"North Island--Powell River/North Island--Powell River"," 9","Port Hardy",31,21,0,5,4,0,2,1,64,238
59037,"North Island--Powell River/North Island--Powell River"," 10","Port Hardy",25,29,0,14,3,0,3,0,74,308
59037,"North Island--Powell River/North Island--Powell River"," 11","Port Hardy",50,54,1,17,2,0,3,0,127,429
59037,"North Island--Powell River/North Island--Powell River"," 12","Port Hardy",43,65,1,17,1,0,7,1,135,320
59037,"North Island--Powell River/North Island--Powell River"," 13","Kingcome Inlet",12,0,0,0,1,0,0,0,13,38
59037,"North Island--Powell River/North Island--Powell River"," 14","Quatsino Subdivision 18",41,4,0,5,2,0,1,0,53,171
59037,"North Island--Powell River/North Island--Powell River"," 15","Port Hardy",56,16,0,9,1,0,6,1,89,308
59037,"North Island--Powell River/North Island--Powell River"," 16","Port Hardy",49,59,2,19,4,0,3,1,137,494
59037,"North Island--Powell River/North Island--Powell River"," 17A","Winter Harbour",4,4,0,3,0,0,0,0,11,14
59037,"North Island--Powell River/North Island--Powell River"," 17B","Winter Harbour",5,12,0,5,0,0,2,0,24,40
59037,"North Island--Powell River/North Island--Powell River"," 18","Minstrel Island",0,2,0,0,2,0,2,0,6,4
59037,"North Island--Powell River/North Island--Powell River"," 19","Sointula",105,35,1,28,8,0,22,3,202,328
59037,"North Island--Powell River/North Island--Powell River"," 20","Sointula",93,36,1,15,9,0,10,0,164,309
59037,"North Island--Powell River/North Island--Powell River"," 21","Port Alice",65,68,1,18,7,0,7,0,166,303
59037,"North Island--Powell River/North Island--Powell River"," 22","Port Alice",53,60,1,18,13,1,11,1,158,305
59037,"North Island--Powell River/North Island--Powell River"," 23","Alert Bay 1",172,2,0,14,4,0,9,0,201,458
59037,"North Island--Powell River/North Island--Powell River"," 24","Alert Bay",135,17,0,28,9,0,21,1,211,348
59037,"North Island--Powell River/North Island--Powell River"," 25","Gwayasdums 1",12,0,0,0,0,1,0,0,13,9
59037,"North Island--Powell River/North Island--Powell River"," 26","Echo Bay",4,0,0,2,0,0,1,0,7,14
59037,"North Island--Powell River/North Island--Powell River"," 27","Port McNeill",31,40,1,8,2,0,5,0,87,405
59037,"North Island--Powell River/North Island--Powell River"," 28","Port McNeill",24,35,1,10,2,0,1,0,73,251
59037,"North Island--Powell River/North Island--Powell River"," 29","Port McNeill",29,33,1,8,3,0,6,1,81,259
59037,"North Island--Powell River/North Island--Powell River"," 30","Port McNeill",29,63,1,8,4,0,3,0,108,288
59037,"North Island--Powell River/North Island--Powell River"," 31","Port McNeill",32,51,0,10,3,0,3,1,100,357
59037,"North Island--Powell River/North Island--Powell River"," 32","Port McNeill",21,46,1,11,2,0,4,0,85,280
59037,"North Island--Powell River/North Island--Powell River"," 33","Port McNeill",50,85,0,24,7,1,7,0,174,490
59037,"North Island--Powell River/North Island--Powell River"," 34","Kyuquot",34,5,0,2,2,0,7,0,50,129
59037,"North Island--Powell River/North Island--Powell River"," 35","Blind Channel--Stuart Island",1,5,0,1,0,0,1,0,8,10
59037,"North Island--Powell River/North Island--Powell River"," 36","Woss",31,68,1,7,7,1,2,0,117,205
59037,"North Island--Powell River/North Island--Powell River"," 37","Zeballos",45,33,0,8,3,0,4,0,93,174
59037,"North Island--Powell River/North Island--Powell River"," 38","Sayward",76,110,1,15,12,0,13,0,227,443
59037,"North Island--Powell River/North Island--Powell River"," 39","Sayward",65,78,1,36,8,0,7,0,195,372
59037,"North Island--Powell River/North Island--Powell River"," 40","Tahsis",62,43,3,30,12,1,12,0,163,308
59037,"North Island--Powell River/North Island--Powell River"," 41","Surge Narrows--Read Island",26,3,1,7,1,1,11,0,50,64
59037,"North Island--Powell River/North Island--Powell River"," 42","Campbell River",57,89,2,17,9,0,3,0,177,409
59037,"North Island--Powell River/North Island--Powell River"," 43","Campbell River",75,71,1,24,7,0,18,2,198,571
59037,"North Island--Powell River/North Island--Powell River"," 44","Campbell River",58,68,1,15,7,0,7,0,156,452
59037,"North Island--Powell River/North Island--Powell River"," 45","Campbell River",56,72,2,26,6,1,14,1,178,581
59037,"North Island--Powell River/North Island--Powell River"," 46","Quadra Island",123,32,1,24,12,1,29,0,222,470
59037,"North Island--Powell River/North Island--Powell River"," 47","Heriot Bay",89,26,0,24,8,0,29,4,180,301
59037,"North Island--Powell River/North Island--Powell River"," 48","Heriot Bay",71,19,1,13,2,0,17,0,123,229
59037,"North Island--Powell River/North Island--Powell River"," 49","Qhathiaski Cove",113,45,1,10,10,2,24,0,205,390
59037,"North Island--Powell River/North Island--Powell River"," 50","Qhathiaski Cove",129,41,1,26,20,1,23,1,242,469
59037,"North Island--Powell River/North Island--Powell River"," 51","Qhathiaski Cove",114,32,0,25,10,0,27,3,211,421
59037,"North Island--Powell River/North Island--Powell River"," 52","Cape Mudge",27,4,0,3,4,0,1,0,39,91
59037,"North Island--Powell River/North Island--Powell River"," 53","Campbell River 11",50,53,0,14,15,0,13,0,145,363
59037,"North Island--Powell River/North Island--Powell River"," 54","Campbell River",47,38,2,29,5,1,8,1,131,459
59037,"North Island--Powell River/North Island--Powell River"," 55","Campbell River",41,47,1,20,11,0,8,0,128,579
59037,"North Island--Powell River/North Island--Powell River"," 56","Campbell River",49,32,0,18,7,1,3,0,110,476
59037,"North Island--Powell River/North Island--Powell River"," 57","Campbell River",30,32,3,14,7,0,4,0,90,456
59037,"North Island--Powell River/North Island--Powell River"," 58","Campbell River",68,49,1,11,4,0,12,1,146,577
59037,"North Island--Powell River/North Island--Powell River"," 59","Campbell River",54,36,0,12,2,0,2,0,106,397
59037,"North Island--Powell River/North Island--Powell River"," 60","Campbell River",44,37,1,21,4,0,2,1,110,477
59037,"North Island--Powell River/North Island--Powell River"," 61","Campbell River",41,57,0,14,6,0,12,0,130,423
59037,"North Island--Powell River/North Island--Powell River"," 62","Campbell River",31,46,1,12,11,1,7,0,109,422
59037,"North Island--Powell River/North Island--Powell River"," 63","Cortes Island",128,19,1,19,7,4,60,0,238,477
59037,"North Island--Powell River/North Island--Powell River"," 64","Tork 7",20,3,0,0,0,0,2,0,25,54
59037,"North Island--Powell River/North Island--Powell River"," 65","Cortes Bay",125,18,0,27,23,0,76,1,270,465
