Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Lochhead,Tanya Saari,Doug Shipley,Chris Webb,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 34","Oro-Medonte",22,37,80,10,3,152,385
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 35","Springwater",27,31,110,17,2,187,496
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 36","Springwater",18,30,65,2,0,115,287
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 37","Springwater",21,32,83,17,0,153,456
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 38","Springwater",19,45,90,11,0,165,481
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 39","Oro-Medonte",37,35,108,28,1,209,528
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 40","Oro-Medonte",17,41,79,15,2,154,475
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 41","Oro-Medonte",16,27,48,8,1,100,298
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 42","Oro-Medonte",18,30,66,4,1,119,392
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 43","Springwater",22,21,90,17,0,150,515
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 44","Springwater",21,36,57,6,0,120,385
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 45","Springwater",23,40,89,17,0,169,462
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 46","Springwater",18,51,70,8,0,147,447
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 47","Springwater",14,49,99,9,0,171,473
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 48","Springwater",26,71,125,5,2,229,397
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 49","Springwater",Merged with No./Fusionné avec le n°48,,,,,,375
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 50","Springwater",23,55,105,13,1,197,351
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 51","Springwater",Merged with No./Fusionné avec le n°50,,,,,,258
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 52","Barrie",36,75,76,27,0,214,594
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 53","Barrie",25,42,48,4,4,123,347
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 54","Barrie",26,39,70,11,3,149,456
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 55","Barrie",48,48,46,15,1,158,428
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 56","Barrie",49,38,66,24,2,179,601
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 57","Barrie",36,42,70,10,0,158,485
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 58","Barrie",64,48,70,13,0,195,603
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 59","Oro-Medonte",27,53,78,14,0,172,467
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 60","Oro-Medonte",13,28,56,4,0,101,418
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 61","Barrie",21,38,88,8,3,158,491
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 62","Barrie",26,51,56,9,3,145,408
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 63","Barrie",25,59,32,11,0,127,378
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 64","Barrie",34,41,68,10,1,154,452
