Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Geneva Allen,Marie-Claude Bibeau,Yves Bourassa,Nathalie Bresse,Sylvain Dodier,Déitane Gendron,Sylvain Longpré,Pierre Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Compton--Stanstead/Compton--Stanstead"," 1","Saint-Gérard",2,31,15,35,5,6,2,23,1,120,234
24023,"Compton--Stanstead/Compton--Stanstead"," 2","Saint-Gérard",5,36,6,43,0,1,0,19,3,113,237
24023,"Compton--Stanstead/Compton--Stanstead"," 3","Weedon",3,32,6,34,1,1,2,21,5,105,361
24023,"Compton--Stanstead/Compton--Stanstead"," 4","Weedon",3,30,2,44,2,0,0,23,4,108,324
24023,"Compton--Stanstead/Compton--Stanstead"," 5","Weedon",5,30,4,32,1,0,0,26,4,102,357
24023,"Compton--Stanstead/Compton--Stanstead"," 6","Weedon",2,32,9,42,0,1,0,28,0,114,355
24023,"Compton--Stanstead/Compton--Stanstead"," 7","Weedon",5,24,5,43,1,4,1,36,3,122,328
24023,"Compton--Stanstead/Compton--Stanstead"," 8","Lingwick",11,62,14,68,5,1,0,25,3,189,361
24023,"Compton--Stanstead/Compton--Stanstead"," 9","Dudswell",9,48,13,60,5,1,0,24,1,161,393
24023,"Compton--Stanstead/Compton--Stanstead"," 10","Dudswell",17,36,9,34,10,0,0,26,3,135,362
24023,"Compton--Stanstead/Compton--Stanstead"," 11","Hampden",3,40,15,48,1,5,3,15,2,132,295
24023,"Compton--Stanstead/Compton--Stanstead"," 12","Hampden",4,56,6,31,6,3,1,34,3,144,242
24023,"Compton--Stanstead/Compton--Stanstead"," 13","Dudswell",7,41,6,67,5,0,1,32,3,162,351
24023,"Compton--Stanstead/Compton--Stanstead"," 14","Dudswell",8,40,7,54,14,0,1,41,1,166,345
24023,"Compton--Stanstead/Compton--Stanstead"," 15","Bury",13,61,17,40,5,3,2,47,1,189,336
24023,"Compton--Stanstead/Compton--Stanstead"," 16","Bury",9,54,1,64,5,1,0,34,2,170,331
24023,"Compton--Stanstead/Compton--Stanstead"," 17","Bury",20,52,16,43,10,3,4,38,0,186,330
24023,"Compton--Stanstead/Compton--Stanstead"," 18","Stoke",13,27,7,48,8,1,1,29,0,134,350
24023,"Compton--Stanstead/Compton--Stanstead"," 19","Stoke",6,43,6,55,3,3,0,31,6,153,398
24023,"Compton--Stanstead/Compton--Stanstead"," 20","Stoke",12,42,10,56,5,3,0,28,7,163,387
24023,"Compton--Stanstead/Compton--Stanstead"," 21","Stoke",14,43,9,65,5,0,2,24,3,165,320
24023,"Compton--Stanstead/Compton--Stanstead"," 22","Stoke",13,24,10,46,3,0,0,30,3,129,302
24023,"Compton--Stanstead/Compton--Stanstead"," 23","Stoke",7,34,8,49,3,1,0,26,3,131,270
24023,"Compton--Stanstead/Compton--Stanstead"," 24","Stoke",3,56,5,40,4,3,1,21,1,134,337
24023,"Compton--Stanstead/Compton--Stanstead"," 25","Ditton",7,46,6,45,5,4,0,17,4,134,331
24023,"Compton--Stanstead/Compton--Stanstead"," 26","La Patrie",6,35,0,42,4,2,0,31,3,123,330
24023,"Compton--Stanstead/Compton--Stanstead"," 27","East Angus",5,18,11,26,6,1,4,22,4,97,333
24023,"Compton--Stanstead/Compton--Stanstead"," 28","East Angus",6,31,13,39,2,0,2,17,1,111,424
24023,"Compton--Stanstead/Compton--Stanstead"," 29","Westbury",14,57,11,38,5,0,0,21,2,148,351
24023,"Compton--Stanstead/Compton--Stanstead"," 30","Westbury",0,16,6,45,3,0,0,24,2,96,272
24023,"Compton--Stanstead/Compton--Stanstead"," 31","Westbury",10,34,11,62,4,1,0,38,1,161,295
24023,"Compton--Stanstead/Compton--Stanstead"," 32","East Angus",9,43,9,59,12,0,1,34,7,174,420
24023,"Compton--Stanstead/Compton--Stanstead"," 33","East Angus",4,38,2,45,6,0,2,22,3,122,410
24023,"Compton--Stanstead/Compton--Stanstead"," 34","East Angus",11,30,7,44,3,3,2,31,3,134,392
24023,"Compton--Stanstead/Compton--Stanstead"," 35","East Angus",13,44,17,58,4,2,0,43,5,186,460
24023,"Compton--Stanstead/Compton--Stanstead"," 36","East Angus",10,66,6,53,7,1,0,36,6,185,478
24023,"Compton--Stanstead/Compton--Stanstead"," 37","Newport",11,64,5,29,6,0,0,29,2,146,281
24023,"Compton--Stanstead/Compton--Stanstead"," 38","Newport",16,40,9,28,10,1,0,28,0,132,262
24023,"Compton--Stanstead/Compton--Stanstead"," 39","Ascot Corner",10,28,5,61,4,1,0,17,5,131,347
24023,"Compton--Stanstead/Compton--Stanstead"," 40","Ascot Corner",19,45,9,84,3,2,1,30,8,201,548
24023,"Compton--Stanstead/Compton--Stanstead"," 41","Ascot Corner",14,38,14,66,5,3,1,32,1,174,435
24023,"Compton--Stanstead/Compton--Stanstead"," 42","Ascot Corner",5,26,2,46,0,1,0,24,8,112,327
24023,"Compton--Stanstead/Compton--Stanstead"," 43","Ascot Corner",19,65,15,58,8,4,2,23,5,199,478
24023,"Compton--Stanstead/Compton--Stanstead"," 44","Ascot Corner",10,67,6,71,2,1,0,30,5,192,447
24023,"Compton--Stanstead/Compton--Stanstead"," 45","Cookshire-Eaton",17,30,11,51,16,3,1,28,4,161,434
24023,"Compton--Stanstead/Compton--Stanstead"," 46","Cookshire-Eaton",9,40,11,69,7,1,1,41,1,180,499
24023,"Compton--Stanstead/Compton--Stanstead"," 47","Cookshire-Eaton",15,47,4,38,1,0,0,35,6,146,386
24023,"Compton--Stanstead/Compton--Stanstead"," 48","Cookshire-Eaton",18,55,16,56,8,4,0,29,1,187,476
24023,"Compton--Stanstead/Compton--Stanstead"," 49","Sherbrooke",5,33,11,47,2,2,1,20,2,123,381
24023,"Compton--Stanstead/Compton--Stanstead"," 50","Sherbrooke",7,41,6,60,6,1,1,24,2,148,340
24023,"Compton--Stanstead/Compton--Stanstead"," 51A","Sherbrooke",15,33,3,48,3,0,0,35,2,139,281
