Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Dunham,Dane Lloyd,Murray MacKinnon,Kendra Mills,Irene Walker,Jeffrey Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 62","Gibbons",10,115,31,24,9,3,1,193,419
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 63","Gibbons",3,124,13,46,3,5,0,194,417
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 64","New Lunnon",4,121,15,41,2,1,0,184,458
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 65","Gibbons",4,89,13,19,4,4,0,133,296
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 66","Lamoureux",5,94,11,33,9,1,0,153,415
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 67A","Carbondale",5,184,17,33,17,3,0,259,347
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 67B","Carbondale",5,178,23,50,10,1,1,268,316
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 68","Excelsior",2,114,17,54,18,2,0,207,399
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 69A","Duagh",Merged with No./Fusionné avec le n°67A,,,,,,,,139
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 69B","Duagh",Merged with No./Fusionné avec le n°67B,,,,,,,,140
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 70A","Lancaster Park",2,92,8,47,7,0,1,157,201
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 70B","Lancaster Park",2,137,21,40,9,0,3,212,271
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 70C","Lancaster Park",3,97,12,45,10,0,0,167,220
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 71A","Lancaster Park",Merged with No./Fusionné avec le n°70A,,,,,,,,169
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 71B","Lancaster Park",Merged with No./Fusionné avec le n°70B,,,,,,,,216
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 71C","Lancaster Park",Merged with No./Fusionné avec le n°70C,,,,,,,,163
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 72","Parkland County",2,126,23,39,17,0,0,207,382
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 73","Parkland County",0,85,16,23,17,0,0,141,350
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 74","Parkland County",4,115,14,23,14,1,0,171,388
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 75","Parkland County",5,124,16,35,15,0,0,195,410
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 76","Spruce Grove",2,131,24,41,17,3,1,219,428
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 77","Stony Plain--Spruce Grove",4,168,20,48,17,1,1,259,476
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 78","Parkland County",1,73,6,24,10,0,1,115,227
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 79","Lac Ste. Anne County",2,150,21,20,9,0,0,202,418
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 80A","Beach Corner",3,130,28,38,17,6,1,223,275
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 80B","Beach Corner",4,153,8,23,11,1,1,201,277
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 81","Parkland County",3,112,20,32,9,3,0,179,338
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 82","Parkland County",5,126,22,40,3,0,2,198,385
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 83","Beach Corner",0,104,25,29,10,0,1,169,358
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 84A","Beach Corner",Merged with No./Fusionné avec le n°80A,,,,,,,,133
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 84B","Beach Corner",Merged with No./Fusionné avec le n°80B,,,,,,,,124
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 85","Stony Plain",5,129,24,38,16,2,0,214,433
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 86","Volmer",4,123,34,41,12,2,0,216,470
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 87","Villeneuve",0,179,26,57,13,1,0,276,459
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 88","Villeneuve",6,147,18,45,25,1,0,242,418
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 89A","Sturgeon County",1,91,11,30,8,3,0,144,377
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 89B","Sturgeon County",2,90,19,20,18,0,0,149,356
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 90","Acheson",1,117,16,25,10,1,0,170,361
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 91","Acheson",2,115,10,23,20,1,1,172,432
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 92","Sturgeon County",1,103,7,27,17,2,1,158,260
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 93","Sturgeon County",1,222,11,58,32,0,1,325,555
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 94","Sturgeon County",4,184,10,72,30,0,0,300,541
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 95A","Sturgeon County",Merged with No./Fusionné avec le n°96A,,,,,,,,99
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 95B","Sturgeon County",Merged with No./Fusionné avec le n°96B,,,,,,,,107
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 96A","Sturgeon County",1,152,3,31,20,1,2,210,230
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 96B","Sturgeon County",0,157,3,21,30,0,3,214,228
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 97A","Sturgeon County",Merged with No./Fusionné avec le n°98A,,,,,,,,235
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 97B","Sturgeon County",Merged with No./Fusionné avec le n°98B,,,,,,,,190
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 98A","Sturgeon County",2,194,16,47,39,0,0,298,330
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 98B","Sturgeon County",3,198,20,55,44,0,0,320,349
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 99","Spruce Grove",2,95,18,17,2,2,0,136,278
