Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Dunham,Dane Lloyd,Murray MacKinnon,Kendra Mills,Irene Walker,Jeffrey Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 179","Stony Plain",2,104,20,41,9,0,0,176,423
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 180","Stony Plain",4,138,18,32,9,4,0,205,443
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 181","Spruce Grove",4,123,28,66,18,2,0,241,560
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 182","Spruce Grove",1,123,22,59,11,1,0,217,574
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 183","Spruce Grove",2,90,12,52,8,0,0,164,466
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 184","Spruce Grove",3,77,33,68,13,3,0,197,530
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 185","Spruce Grove",7,113,11,44,17,0,0,192,431
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 186","Spruce Grove",2,141,26,67,24,0,1,261,537
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 187A","Spruce Grove",Merged with No./Fusionné avec le n°188A,,,,,,,,125
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 187B","Spruce Grove",Merged with No./Fusionné avec le n°188B,,,,,,,,142
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 188A","Spruce Grove",2,92,21,45,19,1,2,182,340
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 188B","Spruce Grove",4,77,19,45,16,2,1,164,281
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 189","Spruce Grove",3,93,21,46,10,1,0,174,458
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 190","Parkland County",3,94,8,17,9,2,0,133,319
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 191","Acheson",3,90,16,20,6,6,0,141,306
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 192A","Stony Plain 135",1,9,6,86,20,0,0,122,457
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 192B","Stony Plain 135",1,10,9,100,33,0,0,153,567
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 193","Holborn",1,98,9,11,12,0,0,131,201
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 194","Holborn",4,105,19,34,12,3,0,177,281
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 195","Parkland County",6,96,21,20,11,0,2,156,338
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 196","Parkland County",5,118,9,29,11,2,1,175,335
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 197","Parkland County",2,131,28,34,8,0,0,203,416
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 198","Parkland County",3,76,10,12,11,1,1,114,319
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 199","Golden Spike",0,132,28,23,11,2,1,197,365
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 200","Golden Spike",4,155,23,29,3,1,1,216,404
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 201","Parkland County",2,89,18,33,21,0,0,163,330
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 202","Parkland County",2,125,21,27,22,2,1,200,415
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 203","Woodbend",4,89,20,22,17,0,0,152,360
