Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pat Angnakak,Lori Idlout,Laura Mackenzie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
62001,"Nunavut/Nunavut"," 1","Grise Fiord",8,28,4,0,40,85
62001,"Nunavut/Nunavut"," 2","Resolute",15,23,7,1,46,122
62001,"Nunavut/Nunavut"," 3A","Pond Inlet",35,80,9,3,127,431
62001,"Nunavut/Nunavut"," 3B","Pond Inlet",41,100,5,2,148,460
62001,"Nunavut/Nunavut"," 4","Arctic Bay",37,45,15,0,97,438
62001,"Nunavut/Nunavut"," 5A","Taloyoak",16,27,7,1,51,259
62001,"Nunavut/Nunavut"," 5B","Taloyoak",23,34,5,0,62,245
62001,"Nunavut/Nunavut"," 6A","Clyde River",63,64,21,0,148,297
62001,"Nunavut/Nunavut"," 6B","Clyde River",Results combined with no. 6A/Résultats combinés au n° 6A,,,,,274
62001,"Nunavut/Nunavut"," 7","Qikiqtarjuaq",66,46,7,0,119,355
62001,"Nunavut/Nunavut"," 8","Igloolik",46,267,20,6,339,908
62001,"Nunavut/Nunavut"," 9A","Kugluktuk",55,56,46,1,158,446
62001,"Nunavut/Nunavut"," 9B","Kugluktuk",15,19,17,0,51,463
62001,"Nunavut/Nunavut"," 10A","Cambridge Bay",45,37,25,1,108,429
62001,"Nunavut/Nunavut"," 10B","Cambridge Bay",45,43,27,0,115,437
62001,"Nunavut/Nunavut"," 10C","Cambridge Bay",39,59,23,0,121,413
62001,"Nunavut/Nunavut"," 11A","Gjoa Haven",17,24,12,0,53,349
62001,"Nunavut/Nunavut"," 11B","Gjoa Haven",24,51,25,0,100,382
62001,"Nunavut/Nunavut"," 12","Kugaaruk",14,45,21,0,80,519
62001,"Nunavut/Nunavut"," 13","Hall Beach",40,76,12,0,128,413
62001,"Nunavut/Nunavut"," 14","Repulse Bay",18,75,14,0,107,513
62001,"Nunavut/Nunavut"," 15","Cape Dorset",74,50,21,1,146,708
62001,"Nunavut/Nunavut"," 16","Pangnirtung",133,128,13,1,275,773
62001,"Nunavut/Nunavut"," 17A","Iqaluit",49,81,27,2,159,513
62001,"Nunavut/Nunavut"," 17B","Iqaluit",61,80,23,4,168,507
62001,"Nunavut/Nunavut"," 17C","Iqaluit",86,74,23,3,186,504
62001,"Nunavut/Nunavut"," 17D","Iqaluit",72,71,19,4,166,506
62001,"Nunavut/Nunavut"," 17E","Iqaluit",68,88,9,3,168,538
62001,"Nunavut/Nunavut"," 17F","Iqaluit",63,74,16,0,153,480
62001,"Nunavut/Nunavut"," 17G","Iqaluit",65,57,19,2,143,505
62001,"Nunavut/Nunavut"," 17H","Iqaluit",73,91,9,3,176,545
62001,"Nunavut/Nunavut"," 17I","Iqaluit",60,59,14,1,134,503
62001,"Nunavut/Nunavut"," 17J","Iqaluit",73,60,24,1,158,519
62001,"Nunavut/Nunavut"," 17K","Iqaluit",57,69,20,0,146,496
62001,"Nunavut/Nunavut"," 18","Kimmirut",42,37,14,0,93,264
62001,"Nunavut/Nunavut"," 19","Baker Lake",66,130,94,10,300,1105
62001,"Nunavut/Nunavut"," 20","Chesterfield Inlet",7,45,3,0,55,214
62001,"Nunavut/Nunavut"," 21A","Rankin Inlet",37,47,16,0,100,451
62001,"Nunavut/Nunavut"," 21B","Rankin Inlet",44,41,35,0,120,478
62001,"Nunavut/Nunavut"," 21C","Rankin Inlet",26,59,27,0,112,493
62001,"Nunavut/Nunavut"," 21D","Rankin Inlet",42,72,31,1,146,479
62001,"Nunavut/Nunavut"," 22","Coral Harbour",14,59,18,0,91,462
62001,"Nunavut/Nunavut"," 23","Whale Cove",14,25,17,0,56,255
62001,"Nunavut/Nunavut"," 24A","Arviat",24,40,20,3,87,434
62001,"Nunavut/Nunavut"," 24B","Arviat",17,28,28,0,73,464
62001,"Nunavut/Nunavut"," 24C","Arviat",36,33,27,1,97,469
62001,"Nunavut/Nunavut"," 25A","Sanikiluaq",69,58,15,5,147,246
62001,"Nunavut/Nunavut"," 25B","Sanikiluaq",Results combined with no. 24A/Résultats combinés au n° 24A,,,,,259
62001,"Nunavut/Nunavut"," 600","Arctic Bay--Resolute",0,3,2,0,5,
62001,"Nunavut/Nunavut"," 601","Pond Inlet",13,21,4,0,38,
62001,"Nunavut/Nunavut"," 602","Igloolik",Results combined with no. 8/Résultats combinés au n° 8,,,,,
62001,"Nunavut/Nunavut"," 603","Qikiqtarjuaq",10,3,1,0,14,
62001,"Nunavut/Nunavut"," 604","Pangnirtung",Results combined with no. 16/Résultats combinés au n° 16,,,,,
62001,"Nunavut/Nunavut"," 605","Iqaluit",138,123,47,1,309,
62001,"Nunavut/Nunavut"," 606","Cape Dorset",10,11,1,0,22,
62001,"Nunavut/Nunavut"," 607","Hall Beach",3,5,1,1,10,
62001,"Nunavut/Nunavut"," 608","Gjoa Haven",6,4,8,0,18,
62001,"Nunavut/Nunavut"," 609","Kugluktuk",15,13,18,0,46,
62001,"Nunavut/Nunavut"," 610","Cambridge Bay",19,17,16,0,52,
62001,"Nunavut/Nunavut"," 611","Baker Lake",23,10,19,2,54,
62001,"Nunavut/Nunavut"," 612","Rankin Inlet",51,66,37,0,154,
62001,"Nunavut/Nunavut"," 613","Arviat",7,9,9,1,26,
62001,"Nunavut/Nunavut"," 614","Sanikiluaq",9,9,13,1,32,
62001,"Nunavut/Nunavut"," 615","Arctic Bay",5,11,4,0,20,
62001,"Nunavut/Nunavut",,Group 1/Groupe 1, 94,83,34,6,217,91
62001,"Nunavut/Nunavut",,Group 2/Groupe 2, 141,184,66,6,397,
