Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mackenzie Hird,Charles Reginald Hislop,Maria Rose Lewans,Alex McPhee,Jeremy Patzer,Mark Skagen,Carol Vandale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 1","Marengo",3,23,0,11,201,9,3,1,251,583
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 2","Kindersley",3,9,0,0,64,2,1,0,79,250
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 3","Kindersley",3,15,0,10,66,3,2,0,99,318
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 4","Kindersley",9,5,0,12,89,1,1,1,118,388
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 5","Kindersley",5,6,1,11,77,3,2,0,105,305
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 6A","Kindersley",1,13,0,9,86,4,0,0,113,312
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 6B","Mobile poll/Bureau itinérant",10,3,0,8,35,1,3,2,62,85
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 7","Kindersley",6,11,0,17,91,1,0,2,128,326
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 8","Kindersley",2,7,0,5,80,1,1,0,96,277
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 9","Kindersley",2,18,0,5,59,0,2,2,88,304
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 10","Kindersley",5,14,1,13,117,2,2,1,155,475
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 11","Kindersley",3,10,0,4,75,4,1,1,98,400
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 12","Brock",1,15,0,14,121,3,0,1,155,248
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 13","Eatonia",10,15,0,24,141,7,3,1,201,320
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 14","Eatonia",4,23,1,8,166,12,0,0,214,374
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 15","Glidden",5,7,0,6,109,8,1,1,137,237
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 16","Eston",9,5,2,8,60,2,2,1,89,237
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 17","Eston",9,12,2,14,76,1,4,0,118,352
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 18","Eston",7,12,1,11,106,2,1,0,140,385
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 19","Elrose",14,10,2,24,166,8,2,0,226,336
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 20","Elrose",5,10,0,16,149,13,2,0,195,386
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 21","Leader",3,16,1,5,60,2,1,1,89,280
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 22","Leader",6,17,0,8,76,1,2,0,110,319
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 23","Leader--Mendham",7,13,3,10,126,5,2,0,166,426
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 24","Sceptre",2,1,0,12,89,5,5,0,114,199
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 25","Burstall",9,25,0,16,118,4,1,1,174,242
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 26","Birsay",4,39,2,17,164,5,1,0,232,381
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 27","Lucky Lake",7,11,0,23,142,5,2,0,190,297
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 28","Lancer",3,10,2,12,178,8,2,3,218,432
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 29","Lacadena",7,13,0,37,180,7,3,0,247,393
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 30","Kyle",12,20,2,29,145,2,1,1,212,330
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 31","Beechy",2,27,1,14,134,6,0,0,184,561
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 32","Richmound",3,19,0,13,87,4,1,0,127,172
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 33","Cabri",3,18,1,14,121,4,2,0,163,224
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 34","Cabri",4,9,0,12,131,6,0,0,162,244
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 35","Central Butte",4,10,0,15,109,2,1,0,141,219
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 36","Central Butte",7,9,1,24,131,4,0,1,177,261
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 37","Fox Valley",6,19,2,12,159,9,0,1,208,419
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 38","Riverhurst",6,7,0,18,113,4,1,0,149,230
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 39","Pennant",6,7,0,14,82,5,2,0,116,252
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 40","Stewart Valley",2,12,0,22,147,5,0,0,188,353
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 41","Hazlet",2,13,1,10,135,17,0,1,179,273
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 42","Golden Prairie",0,11,0,6,59,6,1,0,83,124
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 43","Success",4,11,0,23,125,1,1,0,165,402
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 44","Herbert--Gouldtown",7,22,0,5,160,23,1,0,218,477
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 45","Herbert",5,23,1,11,90,8,2,0,140,231
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 46","Herbert",15,24,1,19,112,8,0,1,180,332
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 47","Morse",10,25,2,32,136,7,1,0,213,319
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 48","Waldeck",2,18,0,11,133,2,1,0,167,447
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 49","Waldeck",3,9,0,9,81,13,0,0,115,261
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 50","Swift Current",17,8,1,28,151,6,1,0,212,563
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 51","Swift Current",8,7,1,36,98,7,2,0,159,470
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 52","Swift Current",4,17,2,26,101,2,0,0,152,432
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 53","Swift Current",9,11,1,31,71,4,2,0,129,376
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 54","Swift Current",4,10,0,18,85,3,0,0,120,315
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 55","Swift Current",4,10,0,15,68,1,1,0,99,321
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 56","Swift Current",9,18,0,34,69,3,0,0,133,387
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 57","Swift Current",3,7,1,15,90,2,0,0,118,326
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 58","Swift Current",5,21,2,26,57,4,1,1,117,375
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 59","Swift Current",5,8,3,18,114,3,1,0,152,450
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 60","Swift Current",17,12,1,34,122,8,3,1,198,461
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 61","Swift Current",4,11,3,22,104,3,2,1,150,350
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 62","Chaplin",10,8,0,11,88,3,0,0,120,323
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 63","Swift Current",4,11,1,14,84,2,1,0,117,426
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 64","Swift Current",8,5,1,15,89,1,0,0,119,400
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 65","Swift Current",6,10,0,9,101,8,2,0,136,428
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 66","Swift Current",13,3,1,29,87,4,0,0,137,394
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 67","Swift Current",10,11,0,30,134,1,0,0,186,438
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 68","Swift Current",8,5,1,15,122,3,1,0,155,412
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 69","Swift Current",11,2,1,19,132,3,0,0,168,388
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 70","Swift Current",7,21,1,25,179,6,0,0,239,526
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 71","Swift Current",13,12,2,40,182,3,1,1,254,559
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 72","Swift Current",8,10,1,25,117,3,2,0,166,383
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 73","Swift Current",7,7,0,26,157,3,1,0,201,451
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 74","Swift Current",6,6,0,15,105,5,1,2,140,406
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 75","Webb",4,8,0,14,125,12,1,1,165,476
