Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Bergeron,Alexis Brunelle-Duceppe,Mathieu Chambers,Marjolaine Étienne,Annie Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 1","Saint-Ludger-de-Milot",58,71,6,20,2,7,164,331
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 2","Saint-Ludger-de-Milot",41,54,2,26,1,3,127,257
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 3","Sainte-Monique",75,61,3,28,1,4,172,362
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 4","Sainte-Monique",56,80,3,30,3,8,180,320
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 5","Saint-Henri-de-Taillon",50,93,6,17,5,4,175,337
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 6","Saint-Henri-de-Taillon",44,111,10,36,2,1,204,334
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 7","L'Ascension-de-Notre-Seigneur",52,98,3,23,6,5,187,470
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 8","L'Ascension",44,80,4,16,3,5,152,411
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 9","L'Ascension",55,53,5,12,1,5,131,345
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 10","L'Ascension",52,65,11,15,5,11,159,375
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 11","Alma",53,92,6,20,3,10,184,330
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 12","Alma",41,96,2,24,4,7,174,369
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 13","Alma",54,116,11,16,0,1,198,385
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 14","Alma",47,96,6,22,4,0,175,375
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 15","Alma",40,64,5,23,4,2,138,366
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 16","Alma",35,74,3,16,0,3,131,327
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 17","Alma",48,83,7,27,4,0,169,432
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 18","Alma",37,69,11,23,4,2,146,346
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 19","Alma",42,96,7,25,1,2,173,435
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 20","Alma",39,125,12,28,3,6,213,469
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 21","Alma",51,68,11,31,3,2,166,390
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 22","Alma",28,70,6,18,4,1,127,364
