Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Taylor Bachrach,Jody Craven,Lakhwinder Jhaj,Claire Rattee,Rod Taylor,Adeana Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 1","Atlin",63,13,36,61,3,4,2,182,382
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 2","Good Hope Lake",2,2,5,11,1,0,0,21,69
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 3","Lower Post",8,1,14,2,0,0,0,25,49
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 4","Dease Lake",27,6,11,21,3,3,0,71,307
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 5","Telegraph Creek",43,2,5,7,1,4,0,62,178
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6","Iskut",32,1,2,7,3,0,0,45,226
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 7","Stewart",28,12,11,81,0,2,0,134,428
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 8","Greenville",115,3,11,2,1,6,0,138,314
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 9","Port Clements",71,15,16,34,0,15,0,151,304
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 10","Gingolx",68,5,7,3,0,5,0,88,310
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 11","Masset 1",82,0,0,4,0,38,1,125,482
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 12","Gitwinksihlkw",55,0,3,2,1,2,0,63,130
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 13","Aiyansh",Merged with No./Fusionné avec le n°14,,,,,,,,17
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 14","New Aiyansh",53,3,3,3,1,3,0,66,250
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 15","Aiyansh",85,2,7,10,1,1,0,106,312
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 16","Masset",80,4,6,26,3,21,1,141,419
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 17","Masset",73,8,16,27,1,29,4,158,417
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 18","Lax Kw'alaams",119,4,8,6,1,8,4,150,419
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 19","Kitimat-Stikine B",56,8,7,17,0,12,0,100,192
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 20","Gitanyow 1",45,3,6,2,1,5,0,62,254
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 21","Metlakatla",21,2,1,1,1,3,0,29,53
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 22","Fort Babine",14,3,5,1,0,2,0,25,44
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 23","Kispiox 1",94,0,6,2,2,9,1,114,439
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 24","Dodge Cove",14,2,3,5,0,1,0,25,40
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 25","Glen Vowell",50,5,1,1,0,2,1,60,161
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 26","Prince Rupert",55,8,8,26,0,9,0,106,495
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 27","Prince Rupert",67,7,14,45,0,4,0,137,495
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 28","Prince Rupert",63,7,3,36,0,5,0,114,472
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 29","Prince Rupert",56,6,24,52,0,5,0,143,543
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 30","Prince Rupert",74,5,6,12,1,3,0,101,442
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 31","Prince Rupert",54,5,8,38,0,5,0,110,405
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 32","Prince Rupert",47,9,9,34,1,8,0,108,529
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 33","Prince Rupert",74,5,11,31,0,8,0,129,492
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 34","Prince Rupert",87,12,20,30,0,2,0,151,509
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 35","Prince Rupert",77,4,6,31,3,8,0,129,451
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 36","Prince Rupert",71,6,11,30,2,7,1,128,461
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 37","Prince Rupert",40,4,5,7,3,6,0,65,420
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 38","Prince Rupert",61,5,9,14,1,5,0,95,411
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 39","Prince Rupert",50,5,7,32,0,4,0,98,346
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 40","Prince Rupert",46,7,1,16,1,1,0,72,314
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 41","Prince Rupert",55,4,6,32,2,7,1,107,449
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 42","Prince Rupert",55,5,10,27,4,2,2,105,400
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 43","Prince Rupert",69,0,10,24,2,1,2,108,431
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 44","Prince Rupert",55,8,7,24,1,5,0,100,380
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 45","Prince Rupert",42,4,7,48,0,6,1,108,377
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 46","Prince Rupert",53,6,11,34,0,7,1,112,424
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 47","Hazelton",52,10,2,16,1,3,0,84,295
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 48","Hazelton",65,4,0,8,2,5,0,84,238
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 49","Hazelton",57,9,6,11,3,7,0,93,265
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 50","Two Mile",30,8,1,18,0,2,0,59,220
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 51","Gitwangak 1",124,2,1,9,1,1,1,139,419
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 52","Rosswood",26,7,7,23,2,5,1,71,139
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 53","Oona River",Merged with No./Fusionné avec le n°40,,,,,,,,10
