Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ray Critch,Steve Hodder,Seamus O'Regan,Georgia Faith Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 1","St. John's",62,19,72,5,1,159,443
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 2","St. John's",30,8,33,1,0,72,255
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 3","St. John's",41,9,54,4,2,110,285
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 4","St. John's",56,3,47,4,0,110,328
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 5","St. John's",56,11,53,2,1,123,335
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 6","St. John's",73,12,49,6,0,140,416
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 7A","St. John's",67,8,61,1,1,138,376
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 7B","Mobile poll/Bureau itinérant",1,10,34,0,3,48,61
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 8","St. John's",47,17,63,4,0,131,496
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 9","St. John's",50,7,47,5,1,110,365
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 10","St. John's",30,7,40,4,2,83,263
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 11","St. John's",72,15,59,2,4,152,420
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 12","St. John's",49,18,38,0,0,105,356
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 13","St. John's",56,18,52,4,6,136,381
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 14","St. John's",60,10,56,3,0,129,359
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 15","St. John's",79,24,88,1,3,195,421
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 16","St. John's",32,15,52,3,1,103,395
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 17","St. John's",36,13,48,3,3,103,332
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 18","St. John's",38,19,69,2,3,131,468
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 19","St. John's",33,26,49,2,0,110,427
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 20","St. John's",37,15,69,3,1,125,413
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 21","St. John's",58,27,91,5,2,183,409
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 22","St. John's",59,16,84,4,0,163,435
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 23","St. John's",49,24,67,0,1,141,415
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 24","St. John's",17,11,43,4,4,79,406
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 25","St. John's",47,9,86,8,1,151,374
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 26","St. John's",36,6,37,2,0,81,356
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 27","St. John's",26,8,30,6,3,73,416
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 28","St. John's",47,10,27,4,0,88,395
