Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alan Aubut,Tracey MacKinnon,Adelina Pecchia,Marcus Powlowski,Yuk-Sem Won,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 1","Upsala",34,2,30,17,3,0,86,156
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 2","Morson",1,0,40,9,15,0,65,127
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 3","Big Island Mainland 93",1,0,1,3,26,1,32,34
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 4","Morson",0,0,0,9,34,0,43,98
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 5","Bergland",3,3,52,14,17,0,89,121
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 6","Couchiching 16A",7,0,10,13,53,0,83,196
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 7","Fort Frances",9,0,33,39,76,0,157,503
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 8","Finland",15,1,74,29,21,0,140,237
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 9","Rocky Inlet",11,1,107,44,46,1,210,336
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 10","Northwest Bay--Rainy Lake 17A",1,0,1,2,49,0,53,84
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 11","Thunder Bay, Unorganized",0,0,2,9,2,0,13,15
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 12","Dawson",14,1,55,28,22,0,120,294
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 13","Rainy River",8,4,31,17,21,2,83,249
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 14","Rainy River",18,0,55,13,24,1,111,434
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 15","Atikokan",9,4,32,32,43,1,121,321
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 16","Atikokan",5,0,27,31,25,2,90,252
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 17","Atikokan",11,3,16,13,23,1,67,283
