Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olumide Adewumi,Earl Dreeshen,Marie Grabowski,Kelly Lorencz,Jared Pilon,Mark Wilcox,Clayten Willington,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 199","Cremona",15,185,27,43,0,15,0,1,286,482
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 200","Carstairs",3,143,13,31,1,10,0,0,201,491
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 201","Carstairs",4,61,20,18,0,12,0,0,115,304
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 202","Carstairs",5,89,10,11,0,15,0,0,130,394
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 203","Carstairs",5,96,17,29,2,14,0,1,164,532
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 204","Carstairs",1,149,24,24,1,14,0,2,215,505
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 205A","Carstairs",6,115,30,21,0,10,1,1,184,445
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 205B","Carstairs",10,101,24,11,1,7,0,0,154,454
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 206","Carstairs",16,142,26,35,0,9,0,0,228,582
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 207","Carstairs",7,130,20,25,0,12,0,0,194,556
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 208","Wessex",2,124,7,30,2,11,1,0,177,396
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 209","Stirlingville",1,101,14,8,0,6,0,0,130,388
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 400","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,35
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 401","Red Deer",4,23,16,7,0,1,0,0,51,209
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 402","Olds",Void/Supprimé,,,,,,,,,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 403","Innisfail",Merged with No./Fusionné avec le n°134,,,,,,,,,66
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 404","Mobile poll/Bureau itinérant",15,27,10,3,1,1,0,0,57,72
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 500","Mobile poll/Bureau itinérant",1,7,1,0,0,0,0,1,10,13
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 501","Mobile poll/Bureau itinérant",6,23,5,0,1,0,0,1,36,57
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 502","Mobile poll/Bureau itinérant",6,26,9,1,0,1,1,0,44,51
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 503","Mobile poll/Bureau itinérant",8,50,7,2,1,0,1,0,69,98
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 504","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,73
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 505","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,120
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 506","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,27
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 507","Mobile poll/Bureau itinérant",4,37,3,4,1,1,0,0,50,22
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 508","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,28
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 509","Mobile poll/Bureau itinérant",2,6,0,0,0,0,1,0,9,18
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 510","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,6
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 511","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,0
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 512","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,47
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 513","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,12
