Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathalie Boisclair,Nancy Cardin,Pierre Chénier,Kalden Dhatsenpa,Isabelle Lalonde,Tiny Olinga,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 189","Longueuil",58,4,1,7,21,1,95,6,193,405
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 190","Longueuil",53,6,0,14,29,6,132,7,247,482
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 191","Longueuil",91,4,1,23,24,12,67,2,224,456
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 192","Longueuil",91,10,2,14,23,4,81,3,228,478
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 193","Longueuil",78,5,0,15,17,9,104,3,231,434
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 194","Longueuil",45,5,0,6,25,0,66,0,147,418
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 195","Longueuil",76,10,0,20,27,4,118,4,259,480
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 196","Longueuil",36,3,0,28,11,5,68,2,153,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 197","Longueuil",42,7,1,10,10,9,71,3,153,337
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 198","Longueuil",53,2,1,14,12,7,76,1,166,404
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 199","Longueuil",65,3,1,11,23,3,66,7,179,382
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 200","Longueuil",28,2,1,16,12,6,80,1,146,365
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 201","Longueuil",79,2,0,25,21,11,100,4,242,470
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 400","Longueuil",Void/Supprimé,,,,,,,,,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 401","Longueuil",16,5,0,11,13,4,39,2,90,275
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 402","Longueuil",27,1,1,11,7,5,61,2,115,329
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 403","Longueuil",15,4,0,14,10,4,30,1,78,261
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 500","Mobile poll/Bureau itinérant",14,0,0,0,2,0,22,0,38,48
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,40
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 502","Longueuil",Merged with No./Fusionné avec le n°107,,,,,,,,,86
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 503","Longueuil",Merged with No./Fusionné avec le n°160,,,,,,,,,13
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 504","Longueuil",Merged with No./Fusionné avec le n°172,,,,,,,,,16
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 505","Mobile poll/Bureau itinérant",71,0,0,3,7,0,71,2,154,199
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 506","Mobile poll/Bureau itinérant",61,3,2,4,26,1,94,8,199,233
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 600","Longueuil",325,12,2,50,65,13,271,26,764,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 601","Longueuil",372,16,2,55,58,21,297,19,840,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 602","Longueuil",497,25,0,92,84,28,345,28,1099,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 603","Longueuil",364,14,1,50,83,13,395,11,931,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 604","Longueuil",311,15,2,42,51,9,230,11,671,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 605","Longueuil",415,15,1,58,75,15,327,18,924,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 606","Longueuil",550,15,4,51,74,15,427,27,1163,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 607","Longueuil",185,5,0,44,53,12,141,12,452,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 608","Longueuil",374,17,1,72,55,27,290,14,850,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 609","Longueuil",313,14,2,43,48,11,251,12,694,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 610","Longueuil",426,17,2,60,81,25,323,21,955,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 611","Longueuil",307,11,2,44,64,6,283,21,738,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 612","Longueuil",241,18,1,65,68,15,405,8,821,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 613","Longueuil",359,24,2,63,77,28,364,35,952,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 614","Longueuil",418,23,0,54,93,13,398,14,1013,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 615","Longueuil",355,17,2,47,91,22,434,17,985,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 616","Longueuil",226,15,2,98,101,16,608,10,1076,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 617","Longueuil",378,22,1,99,83,15,382,20,1000,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 618","Longueuil",214,19,2,77,67,11,415,11,816,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 619","Longueuil",369,10,1,45,69,12,341,9,856,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne",,Group 1/Groupe 1, 94,4,0,27,28,8,105,33,299,93
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne",,Group 2/Groupe 2, 711,29,3,152,126,37,945,110,2113,
