Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vincent Aubé,Ramez Ayoub,Marc Bissonnette,Louise Chabot,Simon Paré-Poupart,Julienne Soumaoro,Peggy Tassignon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 1","Blainville",5,71,32,68,3,9,3,3,194,421
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 2","Blainville",4,50,32,52,2,13,2,2,157,389
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 3","Blainville",8,79,19,86,5,22,0,4,223,492
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 4","Blainville",5,56,40,77,3,13,3,3,200,486
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 5","Blainville",3,48,22,61,1,12,1,2,150,331
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 6","Blainville",4,67,19,63,1,18,2,4,178,404
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 7","Blainville",7,60,18,86,3,17,0,2,193,435
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 8","Blainville",3,47,22,76,1,11,0,4,164,438
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 9","Blainville",13,68,41,53,4,15,0,1,195,577
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 10","Blainville",9,83,34,106,3,22,1,2,260,731
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 11","Blainville",4,81,15,77,7,22,2,0,208,478
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 12","Blainville",5,76,18,63,4,18,0,7,191,494
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 13","Blainville",1,43,13,52,2,11,0,2,124,452
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 14","Blainville",7,63,9,54,3,9,1,1,147,400
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 15","Blainville",1,33,10,69,6,8,0,6,133,368
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 16","Blainville",2,43,10,73,4,12,0,2,146,382
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 17","Blainville",2,52,19,37,2,3,0,1,116,287
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 18","Blainville",9,29,27,44,2,20,0,1,132,436
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 19","Blainville",5,40,17,61,2,13,0,1,139,498
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 20","Bois-des-Filion",7,85,28,94,6,17,1,1,239,491
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 21","Bois-des-Filion",6,50,14,32,0,4,0,4,110,330
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 22","Bois-des-Filion",9,50,20,60,3,11,4,6,163,332
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 23","Bois-des-Filion",2,62,11,55,4,10,0,5,149,345
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 24","Bois-des-Filion",8,58,27,87,3,22,3,1,209,506
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 25","Bois-des-Filion",7,55,19,39,2,10,0,3,135,328
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 26","Bois-des-Filion",4,57,15,68,7,14,5,3,173,340
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 27","Bois-des-Filion",7,70,18,90,4,19,2,7,217,469
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 28","Bois-des-Filion",6,82,34,67,4,11,0,4,208,442
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 29","Bois-des-Filion",5,53,20,78,9,13,3,2,183,463
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 30","Bois-des-Filion",11,76,17,57,3,9,1,4,178,420
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 31","Bois-des-Filion",9,54,14,54,6,16,0,4,157,393
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 32","Bois-des-Filion",3,73,26,79,4,14,1,4,204,513
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 33","Bois-des-Filion",5,41,9,61,3,9,2,5,135,405
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 34","Bois-des-Filion",13,52,26,76,8,16,3,6,200,521
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 35","Bois-des-Filion",8,34,11,63,10,11,0,3,140,406
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 36","Bois-des-Filion",6,51,18,84,11,18,1,2,191,441
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 37","Bois-des-Filion",10,55,27,75,1,10,2,3,183,520
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 38","Lorraine",8,59,15,66,5,13,3,1,170,352
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 39","Lorraine",1,81,13,75,12,21,1,0,204,467
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 40","Lorraine",8,71,13,68,6,22,0,1,189,413
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 41","Lorraine",13,62,16,67,3,22,1,4,188,432
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 42","Lorraine",4,45,12,59,5,11,0,2,138,322
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 43","Lorraine",0,84,39,25,5,8,2,3,166,387
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 44","Lorraine",2,75,26,70,8,21,2,1,205,502
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 45","Lorraine",2,88,16,52,3,10,0,3,174,462
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 46","Lorraine",3,103,32,54,2,10,1,2,207,511
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 47","Lorraine",1,79,30,55,9,26,1,4,205,471
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 48","Blainville",5,64,27,75,3,12,0,5,191,465
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 49","Blainville",5,77,23,82,2,17,1,3,210,482
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 50","Blainville",4,65,11,67,2,27,0,3,179,483
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 51","Blainville",8,38,11,86,2,9,0,1,155,436
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 52","Blainville",3,45,10,67,1,13,2,4,145,423
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 53A","Blainville",4,66,18,55,1,5,0,2,151,447
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 53B","Blainville",9,60,26,62,1,9,1,1,169,449
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 54A","Blainville",4,51,23,64,2,6,2,4,156,534
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 54B","Blainville",3,59,29,47,0,10,1,4,153,490
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 55","Blainville",10,62,23,66,6,9,0,3,179,494
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 56","Blainville",5,79,34,63,2,13,0,1,197,639
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 57","Blainville",5,117,47,75,3,19,0,3,269,552
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 58","Blainville",6,93,27,63,1,15,0,2,207,500
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 59","Blainville",6,54,34,50,1,11,0,0,156,383
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 60","Blainville",4,94,30,57,2,7,0,1,195,485
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 61","Blainville",2,90,24,57,3,17,0,1,194,461
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 62","Blainville",3,53,20,28,3,12,0,2,121,356
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 63","Blainville",5,79,35,48,1,5,1,0,174,452
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 64","Blainville",6,80,53,50,0,10,0,1,200,481
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 65","Blainville",1,50,19,51,6,11,0,3,141,377
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 66","Blainville",3,54,18,58,1,14,1,2,151,406
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 67","Blainville",8,68,23,34,1,6,0,2,142,382
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 68","Lorraine",7,58,21,61,2,19,1,3,172,385
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 69","Lorraine",6,73,36,59,5,18,0,4,201,461
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 70","Lorraine",3,82,16,56,3,8,1,5,174,416
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 71","Lorraine",10,80,16,40,4,19,0,4,173,340
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 72","Lorraine",8,86,28,85,6,21,1,2,237,463
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 73","Lorraine",2,63,12,47,4,13,0,0,141,306
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 74","Lorraine",1,50,17,56,6,9,0,3,142,432
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 75","Blainville",4,26,13,51,1,10,0,0,105,334
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 76","Blainville",9,42,24,59,0,14,0,0,148,377
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 77","Blainville",3,60,12,48,4,11,0,1,139,447
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 78","Blainville",2,36,14,61,1,12,0,2,128,391
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 79","Blainville",9,58,14,83,4,16,1,0,185,364
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 80","Blainville",7,33,9,48,7,16,0,3,123,369
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 81","Blainville",2,46,8,54,2,10,1,1,124,353
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 82","Blainville",12,39,9,43,3,2,0,2,110,343
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 83","Blainville",4,16,12,29,1,13,1,1,77,296
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 84","Blainville",4,36,19,56,2,18,0,3,138,386
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 85","Blainville",7,36,13,42,2,21,1,1,123,375
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 86","Blainville",2,53,15,41,1,12,2,2,128,428
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 87","Blainville",3,39,18,29,5,11,0,3,108,374
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 88","Blainville",3,42,14,81,4,24,0,2,170,396
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 89","Blainville",3,52,9,60,3,7,2,3,139,423
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 90","Blainville",11,45,13,58,5,10,0,2,144,412
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 91","Blainville",3,28,16,56,3,11,1,2,120,358
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 92","Blainville",1,16,5,30,3,11,1,5,72,314
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 93","Blainville",1,63,17,58,4,21,1,1,166,476
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 94","Blainville",0,51,16,73,5,7,1,2,155,455
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 95","Blainville",2,50,10,53,4,17,1,2,139,422
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 96","Blainville",3,76,29,90,0,19,3,4,224,711
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 97","Blainville",1,47,10,70,2,9,2,1,142,352
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 98","Sainte-Thérèse",1,75,24,57,2,12,0,2,173,420
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 99","Blainville",7,66,22,73,4,7,0,2,181,415
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 100","Sainte-Thérèse",1,41,10,37,0,10,1,0,100,281
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 101","Blainville",2,34,19,76,2,17,0,2,152,407
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 102","Sainte-Thérèse",1,40,9,65,1,4,0,2,122,469
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 103","Sainte-Thérèse",6,63,12,80,3,15,0,4,183,471
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 104","Sainte-Thérèse",7,38,8,52,3,8,0,1,117,353
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 105","Sainte-Thérèse",6,53,15,81,10,29,1,0,195,414
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 106","Sainte-Thérèse",5,35,15,51,4,11,2,4,127,410
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 107","Sainte-Thérèse",10,47,18,81,3,23,0,2,184,489
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 108","Sainte-Thérèse",3,44,16,72,8,21,1,5,170,426
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 109","Sainte-Thérèse",5,21,8,33,2,11,2,0,82,345
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 110","Sainte-Thérèse",9,33,15,60,8,25,2,1,153,418
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 111A","Sainte-Thérèse",4,40,11,73,4,18,1,0,151,489
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 111B","Sainte-Thérèse",0,39,7,57,3,18,6,2,132,440
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 112","Blainville",4,44,10,63,8,16,1,2,148,345
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 113","Blainville",5,51,9,56,3,17,0,3,144,371
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 114","Blainville",3,55,17,64,1,15,2,3,160,426
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 115","Blainville",5,74,19,68,5,18,0,4,193,525
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 116A","Blainville",5,60,24,73,1,10,4,4,181,688
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 116B","Blainville",9,38,18,52,0,18,0,4,139,609
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 117","Blainville",2,18,3,39,1,1,0,1,65,263
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 118","Blainville",5,43,13,50,4,21,0,0,136,435
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 119","Blainville",5,34,19,47,2,14,0,4,125,392
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 120","Blainville",3,53,14,55,4,10,0,2,141,412
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 121","Blainville",5,34,17,52,2,16,2,6,134,428
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 122","Blainville",5,39,12,48,1,7,1,0,113,380
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 123","Blainville",8,46,16,34,2,12,1,4,123,403
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 124","Blainville",19,60,17,87,6,20,2,1,212,563
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 125","Blainville",7,48,20,50,4,11,2,0,142,429
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 126","Blainville",6,31,6,40,6,9,0,2,100,327
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 127","Blainville",10,23,14,40,0,7,1,1,96,404
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 128","Blainville",7,33,8,43,7,22,0,1,121,361
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 129","Blainville",1,118,20,94,1,3,2,19,258,317
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 130","Blainville",4,56,29,94,2,13,0,0,198,465
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 131","Blainville",3,116,26,99,5,28,1,4,282,513
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 132","Blainville",4,90,28,74,4,18,0,0,218,471
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 133","Blainville",5,76,33,92,2,29,2,2,241,523
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 134","Blainville",2,94,35,93,5,16,1,5,251,439
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 135","Blainville",5,38,16,58,6,16,0,3,142,332
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 136","Blainville",2,57,19,63,4,12,0,3,160,358
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 137","Blainville",2,68,26,112,3,16,1,3,231,375
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 138","Blainville",6,51,17,96,0,18,1,7,196,403
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 139","Blainville",7,42,10,79,3,12,3,4,160,405
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 140","Blainville",9,45,14,62,3,9,2,0,144,449
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 141","Blainville",6,45,17,52,8,22,1,0,151,452
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 142","Blainville",3,36,14,71,2,16,0,1,143,356
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 143","Blainville",7,60,23,53,3,14,1,3,164,434
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 144","Blainville",3,63,23,40,1,17,0,5,152,432
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 145","Blainville",3,39,8,52,6,13,1,5,127,440
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 146","Blainville",6,43,19,58,1,20,3,2,152,469
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 147","Blainville",1,55,7,55,5,11,0,3,137,383
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 148","Blainville",3,53,22,73,3,21,0,2,177,421
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 149","Sainte-Thérèse",3,53,8,48,5,10,1,0,128,360
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 150","Sainte-Thérèse",2,72,11,73,4,12,1,0,175,427
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 151","Sainte-Thérèse",7,48,15,63,4,7,0,0,144,371
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 152","Sainte-Thérèse",1,67,11,59,0,27,1,1,167,422
