Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gurmit Bhachu,Jonathan Hagel,Stephanie Kusie,Matt Magolan,Shaun T. Pulsifer,Zarnab Zafar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Midnapore/Calgary Midnapore"," 1","Calgary",45,12,91,2,5,19,0,174,389
48008,"Calgary Midnapore/Calgary Midnapore"," 2","Calgary",23,7,42,2,3,25,0,102,397
48008,"Calgary Midnapore/Calgary Midnapore"," 3","Calgary",50,17,101,2,4,14,0,188,381
48008,"Calgary Midnapore/Calgary Midnapore"," 4","Calgary",35,13,98,6,1,19,1,173,370
48008,"Calgary Midnapore/Calgary Midnapore"," 5","Calgary",59,17,98,2,2,24,0,202,392
48008,"Calgary Midnapore/Calgary Midnapore"," 6","Calgary",51,9,87,3,3,19,2,174,345
48008,"Calgary Midnapore/Calgary Midnapore"," 7","Calgary",59,13,110,0,1,36,0,219,394
48008,"Calgary Midnapore/Calgary Midnapore"," 8","Calgary",31,14,55,2,1,17,0,120,458
48008,"Calgary Midnapore/Calgary Midnapore"," 9","Calgary",7,3,43,0,1,5,1,60,245
48008,"Calgary Midnapore/Calgary Midnapore"," 10","Calgary",44,15,89,2,1,18,0,169,437
48008,"Calgary Midnapore/Calgary Midnapore"," 11","Calgary",60,14,131,2,5,24,1,237,508
48008,"Calgary Midnapore/Calgary Midnapore"," 12","Calgary",36,19,119,1,5,37,0,217,506
48008,"Calgary Midnapore/Calgary Midnapore"," 13","Calgary",49,20,143,2,7,22,0,243,493
48008,"Calgary Midnapore/Calgary Midnapore"," 14","Calgary",47,15,68,1,3,17,0,151,433
48008,"Calgary Midnapore/Calgary Midnapore"," 15","Calgary",35,7,51,0,3,19,2,117,508
48008,"Calgary Midnapore/Calgary Midnapore"," 16","Calgary",39,14,98,10,6,33,2,202,465
48008,"Calgary Midnapore/Calgary Midnapore"," 17","Calgary",45,7,84,4,3,39,0,182,456
48008,"Calgary Midnapore/Calgary Midnapore"," 18","Calgary",47,19,53,0,2,26,0,147,443
48008,"Calgary Midnapore/Calgary Midnapore"," 19","Calgary",26,12,99,0,3,22,0,162,332
48008,"Calgary Midnapore/Calgary Midnapore"," 20","Calgary",27,7,80,2,2,15,0,133,355
48008,"Calgary Midnapore/Calgary Midnapore"," 21","Calgary",35,17,130,3,3,23,0,211,420
48008,"Calgary Midnapore/Calgary Midnapore"," 22","Calgary",22,7,66,1,4,23,0,123,341
48008,"Calgary Midnapore/Calgary Midnapore"," 23","Calgary",48,14,119,3,2,22,0,208,440
48008,"Calgary Midnapore/Calgary Midnapore"," 24","Calgary",25,16,94,2,6,27,1,171,376
48008,"Calgary Midnapore/Calgary Midnapore"," 25","Calgary",37,15,61,0,1,27,2,143,425
48008,"Calgary Midnapore/Calgary Midnapore"," 26","Calgary",21,9,69,0,4,17,2,122,353
48008,"Calgary Midnapore/Calgary Midnapore"," 27","Calgary",33,8,90,1,2,20,0,154,347
48008,"Calgary Midnapore/Calgary Midnapore"," 28","Calgary",35,14,107,2,4,23,2,187,374
48008,"Calgary Midnapore/Calgary Midnapore"," 29","Calgary",38,7,103,2,0,22,0,172,416
48008,"Calgary Midnapore/Calgary Midnapore"," 30","Calgary",41,9,90,1,3,29,0,173,430
48008,"Calgary Midnapore/Calgary Midnapore"," 31","Calgary",19,4,115,4,1,16,0,159,453
48008,"Calgary Midnapore/Calgary Midnapore"," 32","Calgary",24,5,149,1,2,22,1,204,437
48008,"Calgary Midnapore/Calgary Midnapore"," 33","Calgary",31,7,103,0,1,18,0,160,418
48008,"Calgary Midnapore/Calgary Midnapore"," 34","Calgary",34,14,135,2,0,21,1,207,433
48008,"Calgary Midnapore/Calgary Midnapore"," 35","Calgary",25,4,105,1,1,15,0,151,307
48008,"Calgary Midnapore/Calgary Midnapore"," 36","Calgary",34,9,136,3,3,34,0,219,473
48008,"Calgary Midnapore/Calgary Midnapore"," 37","Calgary",36,5,131,3,2,27,1,205,436
48008,"Calgary Midnapore/Calgary Midnapore"," 38","Calgary",18,9,113,1,0,15,0,156,405
48008,"Calgary Midnapore/Calgary Midnapore"," 39","Calgary",17,10,74,3,0,16,0,120,311
48008,"Calgary Midnapore/Calgary Midnapore"," 40","Calgary",22,7,65,1,1,15,0,111,468
48008,"Calgary Midnapore/Calgary Midnapore"," 41","Calgary",29,5,104,2,2,24,2,168,440
48008,"Calgary Midnapore/Calgary Midnapore"," 42","Calgary",35,17,100,5,4,21,0,182,502
48008,"Calgary Midnapore/Calgary Midnapore"," 43","Calgary",30,4,80,4,1,10,0,129,385
48008,"Calgary Midnapore/Calgary Midnapore"," 44","Calgary",31,5,94,0,1,22,1,154,398
48008,"Calgary Midnapore/Calgary Midnapore"," 45","Calgary",54,14,118,1,1,24,1,213,531
48008,"Calgary Midnapore/Calgary Midnapore"," 46","Calgary",47,13,126,1,3,15,0,205,394
48008,"Calgary Midnapore/Calgary Midnapore"," 47","Calgary",44,20,130,3,5,20,0,222,457
48008,"Calgary Midnapore/Calgary Midnapore"," 48","Calgary",37,12,100,2,2,9,1,163,431
48008,"Calgary Midnapore/Calgary Midnapore"," 49","Calgary",51,15,169,3,7,30,1,276,533
48008,"Calgary Midnapore/Calgary Midnapore"," 50","Calgary",12,2,57,2,1,11,0,85,301
48008,"Calgary Midnapore/Calgary Midnapore"," 51","Calgary",28,7,121,3,2,24,1,186,365
48008,"Calgary Midnapore/Calgary Midnapore"," 52","Calgary",32,6,96,6,4,24,0,168,334
48008,"Calgary Midnapore/Calgary Midnapore"," 53","Calgary",38,8,127,4,3,27,0,207,364
48008,"Calgary Midnapore/Calgary Midnapore"," 54","Calgary",38,9,119,1,3,33,1,204,353
48008,"Calgary Midnapore/Calgary Midnapore"," 55","Calgary",28,12,106,6,2,21,2,177,567
48008,"Calgary Midnapore/Calgary Midnapore"," 56","Calgary",22,12,75,2,0,18,1,130,395
48008,"Calgary Midnapore/Calgary Midnapore"," 57","Calgary",19,8,71,2,2,24,2,128,343
48008,"Calgary Midnapore/Calgary Midnapore"," 58","Calgary",13,3,95,1,1,8,0,121,392
48008,"Calgary Midnapore/Calgary Midnapore"," 59","Calgary",33,13,108,2,4,22,1,183,341
48008,"Calgary Midnapore/Calgary Midnapore"," 60","Calgary",52,10,120,2,3,22,0,209,374
48008,"Calgary Midnapore/Calgary Midnapore"," 61","Calgary",49,11,95,4,4,22,0,185,384
48008,"Calgary Midnapore/Calgary Midnapore"," 62","Calgary",32,11,92,0,2,9,2,148,330
48008,"Calgary Midnapore/Calgary Midnapore"," 63","Calgary",45,8,102,2,5,15,0,177,438
48008,"Calgary Midnapore/Calgary Midnapore"," 64","Calgary",42,19,106,2,5,19,1,194,404
48008,"Calgary Midnapore/Calgary Midnapore"," 65","Calgary",40,15,114,4,1,24,2,200,407
48008,"Calgary Midnapore/Calgary Midnapore"," 66","Calgary",40,23,114,2,1,14,2,196,477
48008,"Calgary Midnapore/Calgary Midnapore"," 67","Calgary",42,12,96,3,6,22,1,182,410
48008,"Calgary Midnapore/Calgary Midnapore"," 68","Calgary",28,6,113,1,4,17,0,169,333
48008,"Calgary Midnapore/Calgary Midnapore"," 69","Calgary",52,19,103,2,6,26,2,210,388
48008,"Calgary Midnapore/Calgary Midnapore"," 70","Calgary",43,16,91,1,5,38,0,194,439
48008,"Calgary Midnapore/Calgary Midnapore"," 71","Calgary",30,17,122,3,1,37,1,211,454
48008,"Calgary Midnapore/Calgary Midnapore"," 72","Calgary",33,13,134,4,0,26,0,210,486
48008,"Calgary Midnapore/Calgary Midnapore"," 73","Calgary",52,14,109,5,4,27,1,212,443
48008,"Calgary Midnapore/Calgary Midnapore"," 74","Calgary",30,13,94,0,5,17,0,159,358
48008,"Calgary Midnapore/Calgary Midnapore"," 75","Calgary",46,18,117,3,5,22,0,211,472
48008,"Calgary Midnapore/Calgary Midnapore"," 76","Calgary",58,13,108,2,2,45,0,228,617
48008,"Calgary Midnapore/Calgary Midnapore"," 77","Calgary",34,20,125,5,2,17,1,204,458
48008,"Calgary Midnapore/Calgary Midnapore"," 78","Calgary",28,3,108,1,2,38,1,181,447
48008,"Calgary Midnapore/Calgary Midnapore"," 79","Calgary",30,17,108,0,4,23,1,183,493
48008,"Calgary Midnapore/Calgary Midnapore"," 80","Calgary",39,5,95,1,4,24,1,169,429
48008,"Calgary Midnapore/Calgary Midnapore"," 81","Calgary",25,6,94,0,0,25,1,151,353
48008,"Calgary Midnapore/Calgary Midnapore"," 82","Calgary",41,19,98,4,3,18,0,183,450
48008,"Calgary Midnapore/Calgary Midnapore"," 83","Calgary",23,5,86,0,0,11,0,125,384
48008,"Calgary Midnapore/Calgary Midnapore"," 84","Calgary",47,10,128,2,3,23,1,214,432
48008,"Calgary Midnapore/Calgary Midnapore"," 85","Calgary",27,9,105,1,1,17,1,161,360
48008,"Calgary Midnapore/Calgary Midnapore"," 86","Calgary",40,10,125,3,0,11,0,189,377
48008,"Calgary Midnapore/Calgary Midnapore"," 87","Calgary",27,5,93,5,1,10,1,142,331
48008,"Calgary Midnapore/Calgary Midnapore"," 88","Calgary",42,10,64,4,1,18,0,139,419
48008,"Calgary Midnapore/Calgary Midnapore"," 89A","Calgary",53,16,75,3,5,22,0,174,437
48008,"Calgary Midnapore/Calgary Midnapore"," 89B","Mobile poll/Bureau itinérant",4,3,101,1,3,14,0,126,80
48008,"Calgary Midnapore/Calgary Midnapore"," 90","Calgary",55,16,93,4,2,18,0,188,447
48008,"Calgary Midnapore/Calgary Midnapore"," 91","Calgary",36,23,79,0,1,38,1,178,531
48008,"Calgary Midnapore/Calgary Midnapore"," 92","Calgary",30,16,98,2,4,13,0,163,380
48008,"Calgary Midnapore/Calgary Midnapore"," 93","Calgary",25,11,72,0,1,23,0,132,345
48008,"Calgary Midnapore/Calgary Midnapore"," 94","Calgary",62,23,91,2,2,34,2,216,518
48008,"Calgary Midnapore/Calgary Midnapore"," 95","Calgary",65,12,94,5,7,29,0,212,415
48008,"Calgary Midnapore/Calgary Midnapore"," 96","Calgary",35,9,92,2,5,28,1,172,423
48008,"Calgary Midnapore/Calgary Midnapore"," 97","Calgary",29,16,78,1,2,19,1,146,376
48008,"Calgary Midnapore/Calgary Midnapore"," 98","Calgary",25,18,106,5,1,13,1,169,360
48008,"Calgary Midnapore/Calgary Midnapore"," 99","Calgary",40,12,104,1,2,28,0,187,406
48008,"Calgary Midnapore/Calgary Midnapore"," 100","Calgary",39,19,153,1,4,30,1,247,541
48008,"Calgary Midnapore/Calgary Midnapore"," 101","Calgary",29,13,117,2,2,35,0,198,486
48008,"Calgary Midnapore/Calgary Midnapore"," 102","Calgary",32,10,132,2,4,28,0,208,507
48008,"Calgary Midnapore/Calgary Midnapore"," 103","Calgary",40,14,115,2,4,34,1,210,508
48008,"Calgary Midnapore/Calgary Midnapore"," 104","Calgary",45,9,92,3,4,30,0,183,479
48008,"Calgary Midnapore/Calgary Midnapore"," 105","Calgary",28,13,94,2,5,23,0,165,409
48008,"Calgary Midnapore/Calgary Midnapore"," 106","Calgary",34,12,83,2,4,14,2,151,351
48008,"Calgary Midnapore/Calgary Midnapore"," 107","Calgary",51,11,102,2,2,33,0,201,415
48008,"Calgary Midnapore/Calgary Midnapore"," 108","Calgary",31,11,76,2,1,7,2,130,430
48008,"Calgary Midnapore/Calgary Midnapore"," 109","Calgary",25,14,81,4,4,19,0,147,376
48008,"Calgary Midnapore/Calgary Midnapore"," 110","Calgary",38,12,114,2,0,33,1,200,493
48008,"Calgary Midnapore/Calgary Midnapore"," 111","Calgary",31,10,99,2,2,19,0,163,346
48008,"Calgary Midnapore/Calgary Midnapore"," 112","Calgary",41,14,95,2,2,15,0,169,391
48008,"Calgary Midnapore/Calgary Midnapore"," 113","Calgary",25,8,109,4,4,11,0,161,413
48008,"Calgary Midnapore/Calgary Midnapore"," 114","Calgary",36,12,120,6,6,15,0,195,414
48008,"Calgary Midnapore/Calgary Midnapore"," 115","Calgary",47,21,95,5,9,26,0,203,487
48008,"Calgary Midnapore/Calgary Midnapore"," 116","Calgary",42,19,127,2,3,19,0,212,428
48008,"Calgary Midnapore/Calgary Midnapore"," 117","Calgary",23,17,68,6,1,19,0,134,361
48008,"Calgary Midnapore/Calgary Midnapore"," 118","Calgary",52,15,90,3,4,14,0,178,433
48008,"Calgary Midnapore/Calgary Midnapore"," 119","Calgary",43,6,85,2,1,20,0,157,387
48008,"Calgary Midnapore/Calgary Midnapore"," 120","Calgary",38,15,117,2,4,43,3,222,535
48008,"Calgary Midnapore/Calgary Midnapore"," 121","Calgary",51,5,124,4,5,21,0,210,466
48008,"Calgary Midnapore/Calgary Midnapore"," 122","Calgary",61,17,107,0,7,24,0,216,467
48008,"Calgary Midnapore/Calgary Midnapore"," 123","Calgary",48,13,90,3,2,25,1,182,450
48008,"Calgary Midnapore/Calgary Midnapore"," 124","Calgary",51,6,116,2,0,22,1,198,418
48008,"Calgary Midnapore/Calgary Midnapore"," 125","Calgary",46,13,131,3,4,17,0,214,451
48008,"Calgary Midnapore/Calgary Midnapore"," 126","Calgary",50,14,128,3,6,28,2,231,497
48008,"Calgary Midnapore/Calgary Midnapore"," 127","Calgary",38,12,139,7,3,14,2,215,416
48008,"Calgary Midnapore/Calgary Midnapore"," 128","Calgary",33,17,89,0,2,28,0,169,443
48008,"Calgary Midnapore/Calgary Midnapore"," 129","Calgary",35,12,117,4,6,25,1,200,472
48008,"Calgary Midnapore/Calgary Midnapore"," 130","Calgary",47,11,113,3,3,37,0,214,507
48008,"Calgary Midnapore/Calgary Midnapore"," 131","Calgary",40,14,92,1,6,25,0,178,447
48008,"Calgary Midnapore/Calgary Midnapore"," 132","Calgary",48,13,100,1,2,39,1,204,445
48008,"Calgary Midnapore/Calgary Midnapore"," 133","Calgary",49,5,128,0,3,34,1,220,455
48008,"Calgary Midnapore/Calgary Midnapore"," 134","Calgary",33,9,92,1,1,20,2,158,407
48008,"Calgary Midnapore/Calgary Midnapore"," 135","Calgary",37,13,93,2,7,33,2,187,475
48008,"Calgary Midnapore/Calgary Midnapore"," 136","Calgary",44,9,113,1,3,45,1,216,437
48008,"Calgary Midnapore/Calgary Midnapore"," 137","Calgary",29,10,79,2,3,21,1,145,372
48008,"Calgary Midnapore/Calgary Midnapore"," 138","Calgary",46,9,93,4,1,19,1,173,495
48008,"Calgary Midnapore/Calgary Midnapore"," 139","Calgary",24,5,80,5,1,14,0,129,359
48008,"Calgary Midnapore/Calgary Midnapore"," 140","Calgary",45,15,100,0,6,14,3,183,400
48008,"Calgary Midnapore/Calgary Midnapore"," 141","Calgary",27,19,101,3,4,19,4,177,462
48008,"Calgary Midnapore/Calgary Midnapore"," 142","Calgary",33,17,95,2,6,37,0,190,550
48008,"Calgary Midnapore/Calgary Midnapore"," 143","Calgary",35,11,51,0,4,24,1,126,378
