Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Whitney Dykeman,Josh Floyd,Rob Moore,Tim Thompson,Wayne Wheeler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13004,"Fundy Royal/Fundy Royal"," 1","Waterborough",20,16,67,11,23,0,137,445
13004,"Fundy Royal/Fundy Royal"," 2","Cumberland Bay",15,34,116,11,7,1,184,334
13004,"Fundy Royal/Fundy Royal"," 3","Canaan Forks",13,8,53,2,4,0,80,186
13004,"Fundy Royal/Fundy Royal"," 4","Havelock",8,9,44,8,11,0,80,289
13004,"Fundy Royal/Fundy Royal"," 5","Havelock",25,13,58,12,13,0,121,357
13004,"Fundy Royal/Fundy Royal"," 6","Cornhill",26,21,63,18,24,0,152,295
13004,"Fundy Royal/Fundy Royal"," 7","Second North River",39,21,69,18,24,0,171,344
13004,"Fundy Royal/Fundy Royal"," 8","Lewis Mountain",15,16,88,7,20,0,146,352
13004,"Fundy Royal/Fundy Royal"," 9","Steeves Settlement",23,14,70,7,16,0,130,317
13004,"Fundy Royal/Fundy Royal"," 10","Steeves Settlement",18,15,64,11,16,0,124,343
13004,"Fundy Royal/Fundy Royal"," 11","Petitcodiac",18,16,71,14,19,0,138,346
13004,"Fundy Royal/Fundy Royal"," 12","Petitcodiac",22,14,49,5,12,0,102,287
13004,"Fundy Royal/Fundy Royal"," 13","Petitcodiac",28,14,50,12,15,0,119,351
13004,"Fundy Royal/Fundy Royal"," 14","Petitcodiac",19,14,40,9,11,0,93,325
13004,"Fundy Royal/Fundy Royal"," 15","Petitcodiac",22,12,61,10,20,1,126,353
13004,"Fundy Royal/Fundy Royal"," 16","River Glade",18,24,69,7,21,1,140,369
13004,"Fundy Royal/Fundy Royal"," 17","Salisbury",24,24,80,7,12,3,150,411
13004,"Fundy Royal/Fundy Royal"," 18","Salisbury",25,39,62,6,11,0,143,401
13004,"Fundy Royal/Fundy Royal"," 19","The Glades",23,14,48,4,15,0,104,297
13004,"Fundy Royal/Fundy Royal"," 20","Salisbury",15,19,42,2,6,3,87,344
13004,"Fundy Royal/Fundy Royal"," 21","Salisbury",24,36,64,15,21,1,161,487
13004,"Fundy Royal/Fundy Royal"," 22","Boundary Creek",18,45,55,8,20,0,146,503
13004,"Fundy Royal/Fundy Royal"," 23","Upper Coverdale",41,24,68,5,12,1,151,522
13004,"Fundy Royal/Fundy Royal"," 24","Salisbury",39,16,59,3,6,1,124,343
13004,"Fundy Royal/Fundy Royal"," 25","Synton",25,16,63,6,8,0,118,335
13004,"Fundy Royal/Fundy Royal"," 26","Colpitts Settlement",15,11,78,5,14,1,124,374
13004,"Fundy Royal/Fundy Royal"," 27","Gallagher Ridge",50,24,69,2,21,1,167,444
13004,"Fundy Royal/Fundy Royal"," 28","Berry Mills",41,24,73,15,21,1,175,434
13004,"Fundy Royal/Fundy Royal"," 29","Lutes Mountain",31,16,52,1,7,3,110,327
13004,"Fundy Royal/Fundy Royal"," 30","Lutes Mountain",24,14,41,2,5,1,87,249
13004,"Fundy Royal/Fundy Royal"," 31","Steeves Mountain",20,23,51,8,22,0,124,408
13004,"Fundy Royal/Fundy Royal"," 32","Allison",31,23,47,8,12,0,121,363
13004,"Fundy Royal/Fundy Royal"," 33","Steeves Mountain",22,22,44,7,6,0,101,307
13004,"Fundy Royal/Fundy Royal"," 34","Riverview",57,48,46,6,21,0,178,522
13004,"Fundy Royal/Fundy Royal"," 35","Riverview",40,38,45,7,12,0,142,459
13004,"Fundy Royal/Fundy Royal"," 36","Riverview",46,38,71,4,7,1,167,537
13004,"Fundy Royal/Fundy Royal"," 37","Riverview",34,37,46,6,10,0,133,444
13004,"Fundy Royal/Fundy Royal"," 38","Riverview",33,37,50,5,10,0,135,477
13004,"Fundy Royal/Fundy Royal"," 39","Riverview",47,22,37,6,18,0,130,433
13004,"Fundy Royal/Fundy Royal"," 40","Riverview",Merged with No./Fusionné avec le n°41,,,,,,,359
13004,"Fundy Royal/Fundy Royal"," 41","Riverview",81,46,81,6,15,0,229,400
13004,"Fundy Royal/Fundy Royal"," 42","Riverview",35,32,51,5,9,0,132,431
13004,"Fundy Royal/Fundy Royal"," 43","Riverview",50,20,57,3,5,0,135,409
13004,"Fundy Royal/Fundy Royal"," 44","Riverview",34,28,54,3,10,0,129,470
13004,"Fundy Royal/Fundy Royal"," 45","Riverview",41,25,34,6,14,2,122,432
13004,"Fundy Royal/Fundy Royal"," 46","Riverview",43,32,50,4,15,0,144,490
13004,"Fundy Royal/Fundy Royal"," 47","Lower Coverdale",35,22,74,19,17,0,167,456
13004,"Fundy Royal/Fundy Royal"," 48","Lower Coverdale",56,30,76,8,15,0,185,458
