Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Green,Wes Janke,Heather McPherson,Hibo Mohamed,Tunde Obasan,Malcolm Stinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Strathcona/Edmonton Strathcona"," 56","Edmonton",1,6,99,16,46,1,3,172,440
48019,"Edmonton Strathcona/Edmonton Strathcona"," 57","Edmonton",5,5,112,17,53,1,0,193,436
48019,"Edmonton Strathcona/Edmonton Strathcona"," 58","Edmonton",0,10,125,16,38,0,0,189,504
48019,"Edmonton Strathcona/Edmonton Strathcona"," 59","Edmonton",5,8,154,7,30,0,1,205,416
48019,"Edmonton Strathcona/Edmonton Strathcona"," 60","Edmonton",6,6,103,5,22,0,0,142,379
48019,"Edmonton Strathcona/Edmonton Strathcona"," 61","Edmonton",0,10,114,11,25,0,0,160,385
48019,"Edmonton Strathcona/Edmonton Strathcona"," 62","Edmonton",1,10,114,8,29,0,0,162,414
48019,"Edmonton Strathcona/Edmonton Strathcona"," 63","Edmonton",3,17,113,22,81,1,1,238,486
48019,"Edmonton Strathcona/Edmonton Strathcona"," 64","Edmonton",4,14,132,16,94,1,0,261,469
48019,"Edmonton Strathcona/Edmonton Strathcona"," 65","Edmonton",2,8,128,12,106,1,1,258,457
48019,"Edmonton Strathcona/Edmonton Strathcona"," 66","Edmonton",0,6,107,12,70,1,0,196,400
48019,"Edmonton Strathcona/Edmonton Strathcona"," 67","Edmonton",2,11,106,11,29,0,0,159,389
48019,"Edmonton Strathcona/Edmonton Strathcona"," 68","Edmonton",2,8,107,21,34,1,0,173,434
48019,"Edmonton Strathcona/Edmonton Strathcona"," 69","Edmonton",4,11,190,30,65,1,6,307,569
48019,"Edmonton Strathcona/Edmonton Strathcona"," 70","Edmonton",1,13,150,18,33,1,5,221,428
48019,"Edmonton Strathcona/Edmonton Strathcona"," 71","Edmonton",2,7,137,9,39,1,2,197,464
48019,"Edmonton Strathcona/Edmonton Strathcona"," 72","Edmonton",3,10,113,14,25,0,0,165,430
48019,"Edmonton Strathcona/Edmonton Strathcona"," 73","Edmonton",6,7,102,7,23,1,0,146,457
48019,"Edmonton Strathcona/Edmonton Strathcona"," 74","Edmonton",3,6,129,6,27,1,0,172,418
48019,"Edmonton Strathcona/Edmonton Strathcona"," 75","Edmonton",1,12,108,10,69,0,1,201,430
48019,"Edmonton Strathcona/Edmonton Strathcona"," 76","Edmonton",1,10,126,12,71,0,1,221,441
48019,"Edmonton Strathcona/Edmonton Strathcona"," 77","Edmonton",1,6,101,3,75,0,0,186,350
48019,"Edmonton Strathcona/Edmonton Strathcona"," 78A","Edmonton",2,17,56,14,35,0,2,126,354
48019,"Edmonton Strathcona/Edmonton Strathcona"," 78B","Mobile poll/Bureau itinérant",0,1,20,8,16,0,1,46,66
48019,"Edmonton Strathcona/Edmonton Strathcona"," 79","Edmonton",2,11,127,21,37,0,4,202,427
48019,"Edmonton Strathcona/Edmonton Strathcona"," 80","Edmonton",5,15,133,8,34,0,0,195,426
48019,"Edmonton Strathcona/Edmonton Strathcona"," 81","Edmonton",5,9,160,18,44,0,1,237,482
48019,"Edmonton Strathcona/Edmonton Strathcona"," 82","Edmonton",5,21,103,9,33,1,0,172,515
