Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shannon Champion,Shane Dumaresque,Yvonne Jones,Amy Norman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10004,"Labrador/Labrador"," 611","Happy Valley-Goose Bay",9,92,164,71,3,339,
10004,"Labrador/Labrador"," 612","Happy Valley-Goose Bay",12,92,155,72,0,331,
10004,"Labrador/Labrador"," 613","Cartwright",2,14,59,13,3,91,
10004,"Labrador/Labrador"," 614","Black Tickle",0,1,16,3,2,22,
10004,"Labrador/Labrador"," 615","Norman's Bay",0,0,0,0,0,0,
10004,"Labrador/Labrador"," 616","Charlottetown",1,3,42,0,0,46,
10004,"Labrador/Labrador"," 617","Port Hope Simpson",2,9,57,1,1,70,
10004,"Labrador/Labrador"," 618","Mary's Harbour",0,10,102,2,1,115,
10004,"Labrador/Labrador"," 619","Red Bay",0,15,16,1,0,32,
10004,"Labrador/Labrador"," 620","L'Anse-au-Loup",1,85,162,11,1,260,
10004,"Labrador/Labrador",,Group 1/Groupe 1, 8,63,53,36,7,167,27
10004,"Labrador/Labrador",,Group 2/Groupe 2, 7,145,308,91,15,566,
