Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Florian Bors,Michelle Foxton,Steve Garrison,Blake Hamilton,Calvin Neufeld,Scott Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 1","Mississippi Mills",17,33,30,0,7,187,2,276,442
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 2","Mississippi Mills",17,61,36,1,11,159,4,289,514
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 3","Mississippi Mills",14,62,49,1,12,118,0,256,457
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 4","Mississippi Mills",10,42,36,1,13,142,2,246,449
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 5","Mississippi Mills",18,141,70,1,10,222,1,463,1140
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 6","Mississippi Mills",7,54,32,0,2,85,1,181,347
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 7","Mississippi Mills",8,32,27,1,10,101,0,179,418
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 8","Mississippi Mills",5,64,15,1,6,58,0,149,366
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 9","Mississippi Mills",16,47,19,1,6,58,0,147,380
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 10","Mississippi Mills",1,33,21,0,5,53,0,113,397
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 11","Mississippi Mills",7,51,19,0,4,65,1,147,404
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 12","Mississippi Mills",8,34,21,0,3,57,0,123,354
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 13","Mississippi Mills",8,30,16,2,7,63,0,126,341
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 14","Mississippi Mills",9,39,39,1,6,61,1,156,372
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 15","Mississippi Mills",2,66,44,3,0,70,0,185,427
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 16","Mississippi Mills",9,81,46,3,4,84,2,229,580
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 17","Mississippi Mills",5,108,39,0,1,125,2,280,803
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 18","Mississippi Mills",2,57,36,1,10,58,3,167,455
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 19","Mississippi Mills",8,29,21,2,5,69,1,135,285
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 20","Mississippi Mills",12,51,40,0,8,125,1,237,585
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 21","Lanark Highlands",12,42,20,0,4,126,3,207,332
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 22","Mississippi Mills",9,33,20,0,6,62,0,130,410
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 23","Mississippi Mills",9,30,34,1,3,81,1,159,494
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 24","Carleton Place",7,35,19,0,2,44,0,107,325
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 25","Carleton Place",8,40,18,0,2,44,1,113,341
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 26","Carleton Place",13,43,46,0,6,65,1,174,425
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 27","Carleton Place",17,112,67,0,0,161,1,358,982
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 28","Carleton Place",21,76,62,2,11,98,1,271,710
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 29","Carleton Place",9,29,26,2,2,53,0,121,452
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 30","Carleton Place",13,39,37,1,10,69,0,169,428
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 31","Carleton Place",10,51,34,0,7,95,2,199,473
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 32","Mississippi Mills",22,55,43,0,13,145,1,279,437
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 33","Mississippi Mills",18,66,50,1,14,176,1,326,552
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 34","Ashton Station",10,69,33,2,6,116,0,236,557
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 35","Ashton",6,24,28,1,4,84,0,147,358
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 36","Beckwith",4,21,15,1,3,78,0,122,280
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 37","Prospect",14,35,24,0,7,134,1,215,490
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 38","Carleton Place",20,70,55,0,8,154,4,311,650
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 39","Franktown",10,33,30,0,6,89,0,168,353
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 40","French Line",5,16,24,0,3,79,1,128,274
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 41","Mississippi Mills",7,45,23,1,4,91,0,171,406
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 42","Carleton Place",11,39,49,2,12,72,0,185,421
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 43","Carleton Place",10,42,38,1,7,78,1,177,453
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 44","Carleton Place",5,43,26,1,3,88,0,166,433
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 45","Carleton Place",12,37,30,0,2,60,0,141,408
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 46","Carleton Place",7,45,31,0,7,76,0,166,399
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 47","Carleton Place",9,49,33,1,6,58,1,157,476
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 48","McDiarmid's Shore",3,21,10,1,5,38,1,79,239
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 49","Mississippi Mills",17,55,21,0,2,89,1,185,443
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 50","Scotch Corners",1,14,14,0,4,51,0,84,291
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 51","Carleton Place",11,46,33,0,4,63,2,159,360
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 52","Carleton Place",10,56,47,1,4,69,0,187,437
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 53","Carleton Place",14,41,34,0,10,97,1,197,463
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 54","Carleton Place",10,57,43,4,4,99,2,219,607
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 55","Carleton Place",14,50,67,2,4,115,0,252,576
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 56","Beckwith",6,41,30,0,2,113,1,193,527
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 57","Blacks Corners",10,46,19,2,3,108,1,189,400
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 58","Carleton Place",17,40,23,0,5,116,2,203,397
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 59","Beckwith",7,23,16,0,7,63,10,126,268
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 60","Beckwith",6,35,36,0,7,108,0,192,526
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 61","Beckwith",6,31,17,0,1,92,0,147,476
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 62","Beckwith",7,29,19,2,2,71,1,131,385
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 63","Lloyd",6,24,23,3,2,56,0,114,277
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 64","Lanark Highlands",19,22,13,2,4,65,1,126,369
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 65","Hopetown",24,21,37,1,7,54,2,146,401
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 66","Beckwith",13,65,43,1,1,154,2,279,578
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 67","Beckwith",22,22,39,0,5,141,1,230,382
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 68","Montague",11,22,28,1,1,85,1,149,325
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 69","Gillies Corners",18,46,37,0,4,120,0,225,545
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 70","Clyde Forks",12,21,17,0,8,47,0,105,252
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 71","Lanark Highlands",13,26,21,0,3,110,3,176,376
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 72","Lanark Highlands",13,27,22,0,5,76,0,143,320
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 73","Lanark Highlands",24,32,21,1,5,81,0,164,314
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 74","Lanark Highlands",29,40,21,2,11,129,1,233,483
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 75","Prestonvale",21,48,40,0,6,99,0,214,432
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 76","Lanark Highlands",11,26,14,0,9,53,0,113,258
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 77","Innisville",8,22,20,1,3,107,1,162,366
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 78","Cooke's Shore",3,25,18,0,4,48,5,103,247
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 79","Ferguson Falls",13,27,17,1,3,86,2,149,328
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 80","McNaughton Shore",16,47,21,2,6,123,5,220,444
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 81","Craig Shore",12,36,20,0,2,103,3,176,541
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 82","Drummond Centre",5,22,26,2,7,91,1,154,310
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 83","Montague",25,24,27,0,0,95,0,171,319
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 84","Montague",13,27,20,3,5,55,0,123,323
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 85","Rosedale",9,45,32,1,5,122,3,217,370
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 86","Montague",11,28,22,3,3,93,0,160,389
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 87","Numogate",18,27,28,4,6,76,1,160,352
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 88","Numogate",30,22,13,0,4,86,0,155,344
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 89","Smiths Falls",19,26,10,0,4,46,0,105,397
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 90","Smiths Falls",8,37,38,0,5,48,1,137,398
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 91","Drummond/North Elmsley",13,28,15,0,5,81,1,143,475
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 92","Montague",15,15,17,0,7,78,0,132,404
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 93","Atironto",13,21,21,0,7,64,1,127,337
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 94","Smiths Falls",8,42,38,0,7,73,1,169,495
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 95","Smiths Falls",20,18,36,1,4,41,1,121,396
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 96","Smiths Falls",15,31,39,1,3,106,0,195,631
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 97","Smiths Falls",16,30,27,0,1,68,4,146,518
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 98","Smiths Falls",20,24,26,0,1,44,0,115,361
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 99","Smiths Falls",21,16,34,0,4,43,0,118,423
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 100","Smiths Falls",25,32,31,1,6,66,1,162,434
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 101","North Frontenac",11,47,23,1,6,104,2,194,377
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 102","Watson's Corners",23,35,33,0,7,83,0,181,388
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 103","McDonald's Corners",15,31,13,0,1,27,1,88,491
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 104","Glenview",17,31,26,0,5,105,2,186,422
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 105","Balderson",4,28,18,0,5,80,0,135,379
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 106","Drummond/North Elmsley",11,20,13,0,0,50,1,95,310
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 107","Drummond/North Elmsley",16,17,22,1,2,68,1,127,311
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 108","Port Elmsley",7,15,24,0,1,33,1,81,260
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 109","Perth",6,63,37,1,8,101,1,217,742
