Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna Keenan,Christopher Landry,Heath MacDonald,Michelle Neill,Jody Sanderson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11004,"Malpeque/Malpeque"," 1","Cavendish",18,6,92,17,71,2,206,515
11004,"Malpeque/Malpeque"," 2A","North Rustico",26,3,47,12,49,0,137,339
11004,"Malpeque/Malpeque"," 2B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°2A,,,,,,,16
11004,"Malpeque/Malpeque"," 3","Brackley Beach",43,5,77,27,69,5,226,507
11004,"Malpeque/Malpeque"," 4","Brackley Point",28,12,85,18,67,1,211,547
11004,"Malpeque/Malpeque"," 5","Stanhope Bayshore",25,2,82,21,55,0,185,369
11004,"Malpeque/Malpeque"," 6","Stanhope Bayshore",34,4,94,15,58,1,206,405
11004,"Malpeque/Malpeque"," 7","Covehead Road",33,5,137,17,87,1,280,476
11004,"Malpeque/Malpeque"," 8","Harrington",26,2,59,15,61,0,163,392
11004,"Malpeque/Malpeque"," 9","Irishtown",29,7,75,26,61,1,199,450
11004,"Malpeque/Malpeque"," 10","Stanley Bridge",26,1,89,15,53,0,184,399
11004,"Malpeque/Malpeque"," 11","Stanley Bridge",14,2,52,13,51,1,133,234
11004,"Malpeque/Malpeque"," 12","South Rustico",45,6,83,26,84,3,247,545
11004,"Malpeque/Malpeque"," 13","Wheatley River",31,5,61,17,58,1,173,409
11004,"Malpeque/Malpeque"," 14","Malpeque",44,13,91,21,99,1,269,468
11004,"Malpeque/Malpeque"," 15","Suffolk",29,8,86,20,54,1,198,396
11004,"Malpeque/Malpeque"," 16","Marshfield",28,6,112,22,67,2,237,475
11004,"Malpeque/Malpeque"," 17","Union Road--York",14,2,61,17,61,2,157,314
11004,"Malpeque/Malpeque"," 18","Oyster Bed Bridge",23,5,72,29,79,2,210,408
11004,"Malpeque/Malpeque"," 19","Founds Mills",36,10,109,10,81,4,250,465
11004,"Malpeque/Malpeque"," 20","North Winsloe",22,6,66,13,62,0,169,426
11004,"Malpeque/Malpeque"," 21","Royalty Junction",14,7,58,17,48,0,144,314
11004,"Malpeque/Malpeque"," 22","Indian River",30,4,58,17,80,4,193,397
11004,"Malpeque/Malpeque"," 23","Clinton ",35,3,52,9,58,2,159,311
11004,"Malpeque/Malpeque"," 24","St. Ann",35,6,48,14,64,0,167,425
11004,"Malpeque/Malpeque"," 25","Hunter River",41,4,74,23,97,2,241,451
11004,"Malpeque/Malpeque"," 26","Fredericton",42,7,57,19,78,3,206,370
11004,"Malpeque/Malpeque"," 27","Milton Station",16,1,47,16,57,0,137,260
11004,"Malpeque/Malpeque"," 28","Springvale",25,6,84,14,103,1,233,424
11004,"Malpeque/Malpeque"," 29","Kensington--Long River",29,0,58,20,69,0,176,397
11004,"Malpeque/Malpeque"," 30","Clermont",23,4,30,18,65,1,141,424
11004,"Malpeque/Malpeque"," 31","Kensington--Kelvin Grove",24,7,70,9,48,0,158,488
11004,"Malpeque/Malpeque"," 32","Kensington",26,3,50,25,57,2,163,372
11004,"Malpeque/Malpeque"," 33","Kensington",34,3,47,20,39,0,143,469
11004,"Malpeque/Malpeque"," 34","Travellers Rest",16,6,43,10,20,1,96,280
11004,"Malpeque/Malpeque"," 35","New Annan",31,6,40,17,59,6,159,401
11004,"Malpeque/Malpeque"," 36","Travellers Rest",12,3,43,8,15,1,82,204
11004,"Malpeque/Malpeque"," 37","Milton Station",10,4,57,17,62,1,151,336
11004,"Malpeque/Malpeque"," 38","Darlington",33,16,77,13,71,1,211,423
11004,"Malpeque/Malpeque"," 39","Warren Grove",30,0,66,22,51,1,170,328
11004,"Malpeque/Malpeque"," 40","Hampshire",25,6,71,15,70,0,187,347
11004,"Malpeque/Malpeque"," 41","Breadalbane",52,10,105,19,113,0,299,492
