Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chandra Arya,Sean Devine,Gordon Kubanek,Jay Nera,Matt Triemstra,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35064,"Nepean/Nepean"," 1","Ottawa",70,27,4,2,24,1,128,408
35064,"Nepean/Nepean"," 2","Ottawa",41,41,1,6,23,1,113,398
35064,"Nepean/Nepean"," 3","Ottawa",49,24,2,5,33,1,114,425
35064,"Nepean/Nepean"," 4","Ottawa",56,34,4,5,26,1,126,415
35064,"Nepean/Nepean"," 5","Ottawa",48,29,5,5,19,1,107,348
35064,"Nepean/Nepean"," 6","Ottawa",44,29,2,4,16,0,95,371
35064,"Nepean/Nepean"," 7","Ottawa",52,34,4,11,51,0,152,496
35064,"Nepean/Nepean"," 8","Ottawa",84,49,9,9,37,0,188,480
35064,"Nepean/Nepean"," 9","Ottawa",48,23,4,5,55,1,136,338
35064,"Nepean/Nepean"," 10","Ottawa",94,12,5,4,82,0,197,485
35064,"Nepean/Nepean"," 11","Ottawa",61,22,1,4,59,0,147,348
35064,"Nepean/Nepean"," 12","Ottawa",87,20,7,4,86,0,204,492
35064,"Nepean/Nepean"," 13","Ottawa",50,22,0,5,31,2,110,313
35064,"Nepean/Nepean"," 14","Ottawa",59,41,2,6,34,1,143,408
35064,"Nepean/Nepean"," 15","Ottawa",61,50,4,2,40,2,159,467
35064,"Nepean/Nepean"," 16","Ottawa",40,46,6,5,32,0,129,440
35064,"Nepean/Nepean"," 17","Ottawa",51,32,4,7,39,2,135,414
35064,"Nepean/Nepean"," 18","Ottawa",53,20,4,4,49,1,131,425
35064,"Nepean/Nepean"," 19","Ottawa",87,35,3,2,53,1,181,467
35064,"Nepean/Nepean"," 20","Ottawa",58,20,4,3,41,6,132,398
35064,"Nepean/Nepean"," 21","Ottawa",42,27,1,5,29,1,105,308
35064,"Nepean/Nepean"," 22","Ottawa",38,40,6,7,38,2,131,398
35064,"Nepean/Nepean"," 23","Ottawa",42,34,7,3,38,0,124,397
35064,"Nepean/Nepean"," 24","Ottawa",44,21,0,5,39,2,111,309
35064,"Nepean/Nepean"," 25","Ottawa",59,38,4,6,35,0,142,469
35064,"Nepean/Nepean"," 26","Ottawa",58,21,2,4,50,2,137,402
35064,"Nepean/Nepean"," 27","Ottawa",65,20,3,4,33,0,125,262
35064,"Nepean/Nepean"," 28","Ottawa",46,24,3,4,44,3,124,343
35064,"Nepean/Nepean"," 29","Ottawa",46,47,9,8,22,2,134,348
35064,"Nepean/Nepean"," 30","Ottawa",80,28,5,4,56,0,173,389
35064,"Nepean/Nepean"," 31","Ottawa",85,50,6,5,69,1,216,458
35064,"Nepean/Nepean"," 32","Ottawa",74,59,9,9,66,0,217,434
35064,"Nepean/Nepean"," 33","Ottawa",77,52,3,7,51,0,190,486
35064,"Nepean/Nepean"," 34","Ottawa",80,60,4,4,67,3,218,475
35064,"Nepean/Nepean"," 35","Ottawa",77,47,5,1,52,0,182,455
35064,"Nepean/Nepean"," 36","Ottawa",84,52,5,9,58,0,208,420
35064,"Nepean/Nepean"," 37","Ottawa",68,30,4,11,70,0,183,464
35064,"Nepean/Nepean"," 38","Ottawa",76,29,4,7,71,2,189,403
35064,"Nepean/Nepean"," 39","Ottawa",66,34,4,6,55,1,166,369
35064,"Nepean/Nepean"," 40","Ottawa",76,33,5,8,79,0,201,498
35064,"Nepean/Nepean"," 41","Ottawa",69,41,4,9,67,0,190,510
35064,"Nepean/Nepean"," 42","Ottawa",111,44,12,6,74,1,248,491
35064,"Nepean/Nepean"," 43","Ottawa",99,26,4,7,83,0,219,567
35064,"Nepean/Nepean"," 44","Ottawa",67,24,2,6,41,1,141,353
35064,"Nepean/Nepean"," 45","Ottawa",82,22,4,3,36,1,148,470
35064,"Nepean/Nepean"," 46","Ottawa",96,30,2,6,57,1,192,504
35064,"Nepean/Nepean"," 47","Ottawa",109,32,3,4,61,1,210,491
35064,"Nepean/Nepean"," 48","Ottawa",52,29,4,4,33,2,124,390
35064,"Nepean/Nepean"," 49","Ottawa",47,27,1,5,37,0,117,338
35064,"Nepean/Nepean"," 50","Ottawa",89,37,3,3,73,0,205,489
35064,"Nepean/Nepean"," 51","Ottawa",64,54,7,9,38,0,172,420
35064,"Nepean/Nepean"," 52","Ottawa",64,30,3,5,50,0,152,385
35064,"Nepean/Nepean"," 53","Ottawa",38,27,5,7,63,1,141,574
35064,"Nepean/Nepean"," 54","Ottawa",68,23,2,1,41,3,138,390
35064,"Nepean/Nepean"," 55","Ottawa",71,27,2,1,52,1,154,404
35064,"Nepean/Nepean"," 56","Ottawa",44,23,2,2,37,1,109,406
35064,"Nepean/Nepean"," 57","Ottawa",58,29,1,5,44,1,138,388
35064,"Nepean/Nepean"," 58","Ottawa",80,24,2,5,41,0,152,446
35064,"Nepean/Nepean"," 59","Ottawa",61,32,2,5,28,1,129,420
35064,"Nepean/Nepean"," 60","Ottawa",59,25,2,6,42,1,135,412
35064,"Nepean/Nepean"," 61","Ottawa",22,33,5,9,56,5,130,424
35064,"Nepean/Nepean"," 62","Ottawa",46,26,1,4,36,1,114,324
35064,"Nepean/Nepean"," 63","Ottawa",61,38,10,7,80,0,196,490
35064,"Nepean/Nepean"," 64","Ottawa",49,38,5,11,73,3,179,458
35064,"Nepean/Nepean"," 65","Ottawa",67,48,3,8,37,0,163,394
35064,"Nepean/Nepean"," 66","Ottawa",46,34,1,2,20,2,105,375
35064,"Nepean/Nepean"," 67","Ottawa",67,37,7,8,55,1,175,471
35064,"Nepean/Nepean"," 68","Ottawa",55,59,7,10,31,0,162,503
35064,"Nepean/Nepean"," 69","Ottawa",59,35,6,5,39,2,146,431
35064,"Nepean/Nepean"," 70","Ottawa",52,41,2,6,45,0,146,353
