Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Sarah Eves,Kathryn Mcdonald,Joan Phillip,Brennan Wauters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 179","Summerland",70,44,13,42,5,1,175,501
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 180","Summerland",71,36,11,34,8,0,160,478
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 181","Summerland",76,38,9,36,4,0,163,433
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 182","Summerland",95,44,8,54,5,0,206,545
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 183","Summerland",70,55,6,36,6,0,173,441
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 184","Summerland",101,58,14,55,9,1,238,510
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 185","Hedley",75,54,18,70,10,1,228,447
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 186","Alexis 9",44,14,11,31,3,0,103,421
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 187","Olalla",65,27,16,47,4,4,163,579
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 188","Ashnola 10",Merged with No./Fusionné avec le n°186,,,,,,,8
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 189","Keremeos",67,28,21,27,4,1,148,489
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 190","Keremeos",60,34,11,20,2,0,127,490
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 191","Keremeos",58,20,8,40,4,1,131,440
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 192","Keremeos",30,23,16,28,10,0,107,392
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 193","Cawston",77,41,19,81,14,0,232,558
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 194","Keremeos",79,23,15,37,8,1,163,461
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 195","Cawston",83,33,12,56,5,0,189,465
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 500","Mobile poll/Bureau itinérant",12,6,1,4,2,0,25,40
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 501","Mobile poll/Bureau itinérant",8,9,0,6,3,0,26,25
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 502","Mobile poll/Bureau itinérant",10,4,1,0,0,2,17,11
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 503","Mobile poll/Bureau itinérant",12,2,2,8,1,0,25,36
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 504","Mobile poll/Bureau itinérant",32,8,4,9,2,0,55,124
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 505","Mobile poll/Bureau itinérant",13,13,2,3,2,1,34,64
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 506","Mobile poll/Bureau itinérant",5,2,0,3,2,0,12,29
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 507","Mobile poll/Bureau itinérant",32,12,1,6,1,0,52,109
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 508","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 509","Kelowna",Merged with No./Fusionné avec le n°119,,,,,,,2
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 510","Mobile poll/Bureau itinérant",25,22,0,3,1,0,51,82
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 511","Mobile poll/Bureau itinérant",22,16,0,13,1,5,57,84
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 512","Kelowna",Merged with No./Fusionné avec le n°131,,,,,,,9
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 513","Mobile poll/Bureau itinérant",36,30,2,10,1,1,80,112
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 514","Mobile poll/Bureau itinérant",9,13,2,4,6,0,34,25
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 515","Mobile poll/Bureau itinérant",39,25,4,11,1,0,80,182
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 516","Mobile poll/Bureau itinérant",73,34,5,10,4,1,127,171
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 517","Mobile poll/Bureau itinérant",4,12,1,4,2,2,25,43
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 518","Mobile poll/Bureau itinérant",5,3,3,1,2,0,14,18
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 519","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 520","Summerland",Merged with No./Fusionné avec le n°169,,,,,,,2
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 521","Mobile poll/Bureau itinérant",33,25,1,11,3,2,75,96
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 522","Mobile poll/Bureau itinérant",9,6,2,3,1,0,21,48
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 523","Mobile poll/Bureau itinérant",21,18,0,7,2,0,48,82
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 524","Mobile poll/Bureau itinérant",1,3,0,2,0,0,6,15
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 525","Mobile poll/Bureau itinérant",5,1,1,4,6,0,17,24
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 526","Mobile poll/Bureau itinérant",5,3,1,1,0,1,11,13
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 527","Mobile poll/Bureau itinérant",10,8,3,1,0,0,22,30
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 528","Mobile poll/Bureau itinérant",41,28,0,12,6,1,88,127
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 600","Logan Lake",434,118,49,153,33,2,789,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 601","Merritt",627,166,93,220,24,1,1131,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 602","Merritt",607,117,102,206,25,4,1061,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 603","West Kelowna",668,215,112,165,26,6,1192,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 604","Kelowna",371,261,93,308,23,4,1060,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 605","Kelowna",731,325,123,266,33,1,1479,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 606","Kelowna",644,384,91,248,28,8,1403,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 607","Kelowna",554,351,69,233,16,6,1229,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 608","Kelowna",464,259,78,190,22,3,1016,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 609","West Kelowna",803,258,128,189,31,0,1409,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 610","West Kelowna",792,286,112,214,17,5,1426,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 611","West Kelowna",753,228,99,191,20,3,1294,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 612","West Kelowna",883,321,133,314,29,2,1682,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 613","West Kelowna",765,238,159,207,24,1,1394,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 614","West Kelowna",730,221,128,220,24,5,1328,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 615","Peachland",969,308,147,231,46,5,1706,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 616","Summerland",809,344,130,364,41,2,1690,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 617","Summerland",680,341,133,267,28,9,1458,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 618","Princeton",713,262,109,319,39,2,1444,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 619","Keremeos",632,262,116,276,40,1,1327,
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola",,Group 1/Groupe 1, 509,147,88,185,18,73,1020,158
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola",,Group 2/Groupe 2, 1727,949,171,822,72,224,3965,
