Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Sarah Eves,Kathryn Mcdonald,Joan Phillip,Brennan Wauters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 44","West Kelowna",86,25,7,40,5,0,163,425
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 45","West Kelowna",76,19,11,48,13,0,167,466
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 46","West Kelowna",79,26,15,37,6,0,163,503
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 47","West Kelowna",62,32,10,45,5,1,155,466
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 48","West Kelowna",83,31,9,46,12,0,181,511
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 49","West Kelowna",52,33,14,37,3,1,140,438
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 50","Peachland",56,29,15,33,2,0,135,410
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 51","Peachland",91,27,13,31,8,2,172,558
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 52","Peachland",62,27,11,26,4,0,130,389
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 53","Peachland",75,44,7,38,4,0,168,582
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 54","Peachland",76,37,16,28,13,3,173,449
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 55","Peachland",65,28,9,32,1,0,135,469
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 56","Peachland",96,44,9,23,2,0,174,541
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 57","Peachland",73,23,25,22,7,0,150,457
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 58","Peachland",60,31,4,23,8,0,126,407
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 59","Peachland",70,29,16,33,4,0,152,509
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 60","Peachland",54,28,2,28,2,1,115,379
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 61","West Kelowna",105,28,5,34,5,1,178,100
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 62A","West Kelowna",Merged with No./Fusionné avec le n°61,,,,,,,411
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 62B","West Kelowna",100,56,9,44,4,0,213,604
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 63","West Kelowna",74,26,8,38,7,0,153,434
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 64A","West Kelowna",66,29,7,26,1,0,129,467
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 64B","West Kelowna",78,21,3,21,4,0,127,459
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 65","West Kelowna",100,37,14,33,5,0,189,558
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 66","West Kelowna",77,39,15,60,3,0,194,554
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 67","West Kelowna",108,31,7,33,3,0,182,569
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 68","West Kelowna",73,36,13,38,8,0,168,507
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 69A","Tsinstikeptum  9",Merged with No./Fusionné avec le n°70,,,,,,,293
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 69B","Tsinstikeptum  9",69,24,6,53,3,0,155,590
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 70","Tsinstikeptum  9",77,31,15,46,6,0,175,373
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 71A","West Kelowna",Merged with No./Fusionné avec le n°68,,,,,,,78
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 71B","West Kelowna",115,41,8,40,5,0,209,591
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 72","West Kelowna",74,22,17,46,2,0,161,463
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 73","West Kelowna",93,41,6,30,3,1,174,552
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 74","West Kelowna",66,25,3,39,2,0,135,441
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 75","West Kelowna",90,40,6,33,3,1,173,430
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 76","West Kelowna",50,16,2,14,1,0,83,311
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 77","West Kelowna",42,26,24,66,5,0,163,572
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 78","Tsinstikeptum 9",45,38,11,32,4,0,130,519
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 79A","Tsinstikeptum 9",Merged with No./Fusionné avec le n°78,,,,,,,86
