Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alicia Di Tullio,Louis Ialenti,Patricia Lattanzio,Laurence Massey,Daniele Ritacca,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 1","Montréal",12,27,90,16,5,5,155,384
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 2","Montréal",22,34,132,19,12,5,224,486
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 3","Montréal",15,21,150,17,6,3,212,431
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 4","Montréal",13,11,146,6,3,5,184,432
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 5","Montréal",11,15,112,8,6,7,159,379
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 6","Montréal",15,23,132,16,12,2,200,370
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 7","Montréal",11,17,122,9,5,4,168,350
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 8","Montréal",15,24,153,20,8,2,222,464
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 9","Montréal",13,24,101,12,8,3,161,338
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 10","Montréal",17,46,157,4,13,4,241,481
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 11","Montréal",21,16,102,4,6,1,150,425
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 12","Montréal",13,25,113,9,17,4,181,449
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 13","Montréal",12,21,163,10,9,2,217,476
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 14","Montréal",22,23,141,7,2,6,201,447
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 15","Montréal",10,21,114,7,10,4,166,413
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 16","Montréal",13,7,125,6,12,3,166,373
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 17","Montréal",5,7,81,13,2,12,120,453
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 18","Montréal",8,12,84,9,4,3,120,345
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 19","Montréal",15,21,111,16,4,4,171,450
