Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brigitte Cecelia,Michael Cooper,Kathleen Mpulubusi,Greg Springate,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 1A","St. Albert",15,65,49,20,1,150,414
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 1B","St. Albert",15,72,35,18,0,140,398
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 2","St. Albert",28,159,111,57,1,356,603
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 3","St. Albert",12,97,34,20,1,164,336
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 4","St. Albert",5,88,71,25,0,189,383
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 5","St. Albert",3,82,40,19,1,145,352
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 6","St. Albert",5,70,63,35,0,173,413
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 7","St. Albert",10,108,74,39,0,231,453
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 8","St. Albert",9,172,68,38,1,288,637
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 9","St. Albert",8,76,42,25,0,151,332
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 10","St. Albert",6,80,61,27,0,174,383
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 11A","St. Albert",9,86,46,23,0,164,380
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 11B","St. Albert",5,104,32,20,0,161,320
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 12","St. Albert",13,115,76,24,0,228,447
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 13","St. Albert",18,163,96,23,2,302,568
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 14","St. Albert",7,91,71,31,1,201,445
