Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kody Blois,Steven Ford,Mark Parent,Sheila G. Richardson,Stephen Schneider,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Kings--Hants/Kings--Hants"," 1","Noel Shore",36,8,53,6,26,1,130,262
12007,"Kings--Hants/Kings--Hants"," 2","Maitland",75,11,54,5,32,2,179,338
12007,"Kings--Hants/Kings--Hants"," 3","Noel",61,20,58,1,23,0,163,459
12007,"Kings--Hants/Kings--Hants"," 4","Noel Road",39,9,34,3,18,2,105,347
12007,"Kings--Hants/Kings--Hants"," 5","Admiral Rock",60,22,38,2,36,0,158,373
12007,"Kings--Hants/Kings--Hants"," 6","North Salem",45,8,54,6,36,0,149,316
12007,"Kings--Hants/Kings--Hants"," 7","Shubenacadie",56,5,27,0,27,0,115,281
12007,"Kings--Hants/Kings--Hants"," 8","Shubenacadie",42,12,47,1,31,0,133,318
12007,"Kings--Hants/Kings--Hants"," 9","Shubenacadie",55,10,49,7,33,2,156,295
12007,"Kings--Hants/Kings--Hants"," 10","Minasville",46,5,20,1,6,1,79,221
12007,"Kings--Hants/Kings--Hants"," 11","Latties Brook",31,5,39,2,18,4,99,327
12007,"Kings--Hants/Kings--Hants"," 12","Kennetcook",68,4,33,2,18,0,125,393
12007,"Kings--Hants/Kings--Hants"," 13","East Walton",67,13,39,5,23,0,147,283
12007,"Kings--Hants/Kings--Hants"," 14","Micmac",31,4,2,2,125,0,164,433
12007,"Kings--Hants/Kings--Hants"," 15","Micmac",21,2,0,1,108,0,132,401
12007,"Kings--Hants/Kings--Hants"," 16","Milford Station",77,8,64,4,45,1,199,450
12007,"Kings--Hants/Kings--Hants"," 17","Milford",60,4,38,1,30,1,134,268
12007,"Kings--Hants/Kings--Hants"," 18","Milford Station",34,4,29,0,19,0,86,195
12007,"Kings--Hants/Kings--Hants"," 19","Lantz--Milford",67,5,46,2,31,0,151,352
12007,"Kings--Hants/Kings--Hants"," 20","Lantz",72,10,52,1,34,5,174,494
12007,"Kings--Hants/Kings--Hants"," 21","Lantz",51,9,38,2,25,0,125,348
12007,"Kings--Hants/Kings--Hants"," 22","Nine Mile River",94,13,81,5,40,0,233,454
12007,"Kings--Hants/Kings--Hants"," 23","Nine Mile River",91,5,63,6,47,0,212,504
12007,"Kings--Hants/Kings--Hants"," 24","Gore",58,19,40,8,29,2,156,354
12007,"Kings--Hants/Kings--Hants"," 25","Clarksville",46,14,28,4,25,0,117,346
12007,"Kings--Hants/Kings--Hants"," 26","Scots Bay",66,3,25,2,12,0,108,168
12007,"Kings--Hants/Kings--Hants"," 27","Pembroke",66,19,71,4,30,2,192,440
12007,"Kings--Hants/Kings--Hants"," 28","Lantz",61,3,29,1,24,0,118,199
12007,"Kings--Hants/Kings--Hants"," 29","Lantz",68,7,42,1,22,0,140,262
12007,"Kings--Hants/Kings--Hants"," 30","Lantz",108,6,41,2,41,1,199,389
12007,"Kings--Hants/Kings--Hants"," 31","Lantz",35,3,29,2,41,0,110,264
12007,"Kings--Hants/Kings--Hants"," 32","Belnan",123,14,95,4,50,0,286,747
12007,"Kings--Hants/Kings--Hants"," 33","Elmsdale",60,5,32,2,37,0,136,332
12007,"Kings--Hants/Kings--Hants"," 34","Elmsdale",70,14,54,3,45,0,186,439
12007,"Kings--Hants/Kings--Hants"," 35","Elmsdale",94,8,37,3,44,0,186,357
12007,"Kings--Hants/Kings--Hants"," 36","Elmsdale",112,11,53,3,56,1,236,613
12007,"Kings--Hants/Kings--Hants"," 37","Pereaux",78,7,60,8,40,2,195,447
12007,"Kings--Hants/Kings--Hants"," 38","Enfield",110,10,46,4,20,0,190,457
12007,"Kings--Hants/Kings--Hants"," 39","Enfield",99,9,55,3,35,1,202,462
12007,"Kings--Hants/Kings--Hants"," 40","Enfield",57,11,45,0,23,0,136,369
12007,"Kings--Hants/Kings--Hants"," 41","Enfield",67,5,40,4,32,0,148,411
12007,"Kings--Hants/Kings--Hants"," 42","Enfield",68,10,31,0,40,1,150,397
12007,"Kings--Hants/Kings--Hants"," 43","Enfield",55,6,46,1,41,4,153,425
12007,"Kings--Hants/Kings--Hants"," 44","Enfield",77,2,51,1,39,1,171,435
12007,"Kings--Hants/Kings--Hants"," 45","Enfield",73,14,40,2,28,0,157,400
12007,"Kings--Hants/Kings--Hants"," 46","Rawdon Gold Mines",77,11,53,4,15,0,160,333
12007,"Kings--Hants/Kings--Hants"," 47","Rawdon Gold Mines",83,16,38,3,28,2,170,360
12007,"Kings--Hants/Kings--Hants"," 48","Renfrew",24,0,9,1,5,0,39,65
12007,"Kings--Hants/Kings--Hants"," 49","Kingsport",106,4,48,8,48,1,215,420
12007,"Kings--Hants/Kings--Hants"," 50","Scotch Village",38,14,28,7,13,1,101,226
12007,"Kings--Hants/Kings--Hants"," 51","Scotch Village",49,13,45,7,18,0,132,265
12007,"Kings--Hants/Kings--Hants"," 52","Brooklyn",75,16,57,7,32,0,187,399
12007,"Kings--Hants/Kings--Hants"," 53","McKay Section",56,9,49,2,31,2,149,364
12007,"Kings--Hants/Kings--Hants"," 54","Mantua",39,6,38,2,25,0,110,279
12007,"Kings--Hants/Kings--Hants"," 55","Newport Corner",50,5,22,4,14,2,97,270
12007,"Kings--Hants/Kings--Hants"," 56","Summerville",51,10,38,7,22,0,128,258
12007,"Kings--Hants/Kings--Hants"," 57","Summerville",43,10,51,1,20,3,128,266
12007,"Kings--Hants/Kings--Hants"," 58","South Rawdon",74,21,61,3,26,0,185,400
12007,"Kings--Hants/Kings--Hants"," 59","Centre Burlington",81,4,62,8,46,1,202,463
12007,"Kings--Hants/Kings--Hants"," 60","Glenmont",64,14,39,4,21,0,142,340
12007,"Kings--Hants/Kings--Hants"," 61","Sheffield Mills",76,8,43,3,44,3,177,351
12007,"Kings--Hants/Kings--Hants"," 62","Atlanta--Glenmont",43,7,46,1,20,0,117,254
12007,"Kings--Hants/Kings--Hants"," 63","Hortonville",115,9,43,6,38,0,211,394
12007,"Kings--Hants/Kings--Hants"," 64","Lower Wolfville",78,6,26,1,27,0,138,320
12007,"Kings--Hants/Kings--Hants"," 65","Canning",47,6,48,1,25,4,131,298
12007,"Kings--Hants/Kings--Hants"," 66","Canning--Habitant",56,8,36,9,36,1,146,340
12007,"Kings--Hants/Kings--Hants"," 67","Canning",39,8,33,2,30,3,115,354
12007,"Kings--Hants/Kings--Hants"," 68","Hantsport",57,1,39,4,24,1,126,341
12007,"Kings--Hants/Kings--Hants"," 69","Hantsport",50,11,19,1,20,0,101,319
12007,"Kings--Hants/Kings--Hants"," 70","Hantsport",70,4,26,3,28,1,132,292
12007,"Kings--Hants/Kings--Hants"," 71","Avonport",78,9,48,5,27,0,167,352
12007,"Kings--Hants/Kings--Hants"," 72","Avonport",97,4,58,2,29,1,191,432
12007,"Kings--Hants/Kings--Hants"," 73","Halls Harbour",48,8,52,2,17,0,127,290
12007,"Kings--Hants/Kings--Hants"," 74","Avondale",57,12,69,9,31,0,178,377
12007,"Kings--Hants/Kings--Hants"," 75","East Uniacke",57,14,45,1,20,0,137,492
12007,"Kings--Hants/Kings--Hants"," 76","East Uniacke",52,8,30,5,26,1,122,434
12007,"Kings--Hants/Kings--Hants"," 77","Mount Uniacke",44,4,40,1,24,0,113,351
12007,"Kings--Hants/Kings--Hants"," 78","Lakelands",66,12,43,1,23,3,148,387
12007,"Kings--Hants/Kings--Hants"," 79","South Uniacke",61,14,45,3,49,1,173,535
12007,"Kings--Hants/Kings--Hants"," 80","Hants Border",60,9,39,6,43,2,159,418
12007,"Kings--Hants/Kings--Hants"," 81","Hants Border",65,1,53,2,26,1,148,407
12007,"Kings--Hants/Kings--Hants"," 82","Bishopville--Glooscap 35",32,9,41,3,23,0,108,270
12007,"Kings--Hants/Kings--Hants"," 83","Mount Denson",86,9,60,7,43,3,208,413
12007,"Kings--Hants/Kings--Hants"," 84","Canard",44,2,21,1,16,0,84,209
12007,"Kings--Hants/Kings--Hants"," 85","Centreville",54,5,52,3,32,0,146,325
12007,"Kings--Hants/Kings--Hants"," 86","Centreville",54,7,45,6,37,0,149,390
12007,"Kings--Hants/Kings--Hants"," 87","Centreville",62,9,70,8,21,0,170,405
12007,"Kings--Hants/Kings--Hants"," 88","Centreville",70,3,65,2,45,2,187,467
12007,"Kings--Hants/Kings--Hants"," 89","Wolfville",85,4,42,2,47,0,180,580
12007,"Kings--Hants/Kings--Hants"," 90","Wolfville",83,8,34,5,30,0,160,466
12007,"Kings--Hants/Kings--Hants"," 91","Port Williams",70,3,55,4,18,2,152,310
12007,"Kings--Hants/Kings--Hants"," 92","Port Williams",111,4,63,2,35,1,216,407
12007,"Kings--Hants/Kings--Hants"," 93","Port Williams",115,12,70,4,42,0,243,507
12007,"Kings--Hants/Kings--Hants"," 94","Port Williams",92,5,38,2,37,0,174,314
12007,"Kings--Hants/Kings--Hants"," 95","Wolfville",42,2,25,0,15,0,84,336
12007,"Kings--Hants/Kings--Hants"," 96","Wolfville",50,4,35,14,120,1,224,557
12007,"Kings--Hants/Kings--Hants"," 97","Ardoise",69,4,60,4,24,0,161,368
12007,"Kings--Hants/Kings--Hants"," 98","Ardoise",40,5,44,5,13,1,108,290
12007,"Kings--Hants/Kings--Hants"," 99","Ardoise",54,9,37,2,23,0,125,307
12007,"Kings--Hants/Kings--Hants"," 100","Wolfville",76,6,77,18,268,0,445,474
12007,"Kings--Hants/Kings--Hants"," 101","Wolfville",69,3,34,5,160,1,272,462
12007,"Kings--Hants/Kings--Hants"," 102","Wolfville",60,7,22,4,85,0,178,445
12007,"Kings--Hants/Kings--Hants"," 103","Wolfville",50,5,27,4,107,1,194,496
12007,"Kings--Hants/Kings--Hants"," 104","Wolfville",51,1,24,2,85,0,163,334
12007,"Kings--Hants/Kings--Hants"," 105","Wolfville",79,3,31,4,52,0,169,424
12007,"Kings--Hants/Kings--Hants"," 106","Sweets Corners",70,4,46,2,19,1,142,293
12007,"Kings--Hants/Kings--Hants"," 107","Greenwich",103,11,62,4,29,0,209,451
12007,"Kings--Hants/Kings--Hants"," 108","New Minas",40,8,23,0,20,0,91,249
12007,"Kings--Hants/Kings--Hants"," 109","Canada Creek",46,4,50,3,30,0,133,252
12007,"Kings--Hants/Kings--Hants"," 110","Windsor",34,1,20,2,21,2,80,284
12007,"Kings--Hants/Kings--Hants"," 111","Windsor",46,6,28,7,26,1,114,401
12007,"Kings--Hants/Kings--Hants"," 112","Windsor",50,9,23,3,31,0,116,368
12007,"Kings--Hants/Kings--Hants"," 113","Windsor",48,10,32,4,34,0,128,400
12007,"Kings--Hants/Kings--Hants"," 114","Windsor",58,4,14,5,21,1,103,303
12007,"Kings--Hants/Kings--Hants"," 115","Windsor",69,6,29,6,22,1,133,327
12007,"Kings--Hants/Kings--Hants"," 116","Windsor",60,1,38,2,20,0,121,451
12007,"Kings--Hants/Kings--Hants"," 117","Currys Corner",67,7,26,2,8,0,110,315
12007,"Kings--Hants/Kings--Hants"," 118","Garlands Crossing",127,7,84,1,42,1,262,735
12007,"Kings--Hants/Kings--Hants"," 119","St. Croix--Ellershouse",112,20,63,7,40,2,244,434
12007,"Kings--Hants/Kings--Hants"," 120","Five Mile Plains--Newport Station",50,8,39,3,24,0,124,387
12007,"Kings--Hants/Kings--Hants"," 121","Newport Station--St. Croix",65,11,49,3,18,0,146,355
12007,"Kings--Hants/Kings--Hants"," 122","Windsor",90,7,37,1,12,3,150,276
12007,"Kings--Hants/Kings--Hants"," 123","Steam Mill Village",41,6,41,7,27,3,125,298
12007,"Kings--Hants/Kings--Hants"," 124","North Kentville",47,8,22,3,32,0,112,356
12007,"Kings--Hants/Kings--Hants"," 125","Kentville",49,7,38,5,44,0,143,430
12007,"Kings--Hants/Kings--Hants"," 126","North Kentville",63,7,46,5,39,0,160,395
12007,"Kings--Hants/Kings--Hants"," 127","North Kentville",40,6,37,5,32,0,120,386
12007,"Kings--Hants/Kings--Hants"," 128","North Kentville",52,9,41,3,35,3,143,434
12007,"Kings--Hants/Kings--Hants"," 129","Aldershot",47,6,44,3,25,0,125,348
12007,"Kings--Hants/Kings--Hants"," 130","Meadowview",47,9,44,2,31,0,133,371
12007,"Kings--Hants/Kings--Hants"," 131","Wolfville Ridge--Gaspereau",71,7,23,4,34,0,139,307
12007,"Kings--Hants/Kings--Hants"," 132","Gaspereau",68,5,45,5,28,0,151,370
12007,"Kings--Hants/Kings--Hants"," 133","White Rock",87,8,38,3,30,0,166,355
12007,"Kings--Hants/Kings--Hants"," 134","White Rock",56,13,45,5,32,0,151,320
12007,"Kings--Hants/Kings--Hants"," 135","New Minas",63,3,35,2,24,0,127,392
12007,"Kings--Hants/Kings--Hants"," 136","New Minas",31,8,31,2,25,1,98,432
12007,"Kings--Hants/Kings--Hants"," 137","New Minas",15,5,35,1,17,1,74,355
12007,"Kings--Hants/Kings--Hants"," 138","New Minas",26,5,19,4,17,1,72,260
12007,"Kings--Hants/Kings--Hants"," 139","New Minas",35,3,26,0,21,0,85,314
12007,"Kings--Hants/Kings--Hants"," 140","New Minas",52,7,24,2,17,1,103,384
12007,"Kings--Hants/Kings--Hants"," 141","New Minas",44,8,34,2,26,0,114,338
12007,"Kings--Hants/Kings--Hants"," 142","New Minas",35,5,25,4,20,0,89,262
12007,"Kings--Hants/Kings--Hants"," 143","New Minas",49,8,30,2,22,0,111,397
12007,"Kings--Hants/Kings--Hants"," 144","New Minas",43,4,30,2,25,0,104,287
12007,"Kings--Hants/Kings--Hants"," 145","Lakeville",43,9,45,4,21,1,123,286
12007,"Kings--Hants/Kings--Hants"," 146","Lakeville",76,11,72,2,26,0,187,406
12007,"Kings--Hants/Kings--Hants"," 147","Kentville",54,7,36,2,23,1,123,416
12007,"Kings--Hants/Kings--Hants"," 148","Kentville",74,3,35,4,23,0,139,308
12007,"Kings--Hants/Kings--Hants"," 149","Kentville",35,8,22,2,30,0,97,329
12007,"Kings--Hants/Kings--Hants"," 150","Kentville",102,6,40,4,40,2,194,533
12007,"Kings--Hants/Kings--Hants"," 151","Kentville",62,5,23,6,29,0,125,380
12007,"Kings--Hants/Kings--Hants"," 152","Kentville",67,3,29,3,43,0,145,392
12007,"Kings--Hants/Kings--Hants"," 153","Kentville",49,5,30,7,33,0,124,359
12007,"Kings--Hants/Kings--Hants"," 154","Three Mile Plains",42,2,55,3,9,0,111,332
12007,"Kings--Hants/Kings--Hants"," 155","Three Mile Plains",49,5,35,2,36,4,131,397
12007,"Kings--Hants/Kings--Hants"," 156","Three Mile Plains",73,10,65,2,27,1,178,477
12007,"Kings--Hants/Kings--Hants"," 157","Windsor Forks",40,6,53,3,14,2,118,320
12007,"Kings--Hants/Kings--Hants"," 158","Kentville",27,4,28,6,34,1,100,373
12007,"Kings--Hants/Kings--Hants"," 159","Kentville",81,4,46,2,47,1,181,542
12007,"Kings--Hants/Kings--Hants"," 160","Kentville",62,7,35,4,27,1,136,439
12007,"Kings--Hants/Kings--Hants"," 161","Kentville",98,4,59,1,31,0,193,447
12007,"Kings--Hants/Kings--Hants"," 162","Kentville",82,6,45,2,24,1,160,417
12007,"Kings--Hants/Kings--Hants"," 163","Kentville",87,4,40,1,41,2,175,457
12007,"Kings--Hants/Kings--Hants"," 164","Falmouth",58,7,50,1,19,0,135,274
12007,"Kings--Hants/Kings--Hants"," 165","Falmouth",75,8,49,5,27,0,164,408
12007,"Kings--Hants/Kings--Hants"," 166","Falmouth",41,4,14,0,15,0,74,207
12007,"Kings--Hants/Kings--Hants"," 167","Falmouth",47,2,31,4,11,0,95,308
12007,"Kings--Hants/Kings--Hants"," 168","Falmouth",60,0,41,0,20,0,121,390
12007,"Kings--Hants/Kings--Hants"," 169","Falmouth",39,3,33,1,10,1,87,200
12007,"Kings--Hants/Kings--Hants"," 170","Falmouth--Upper Falmouth",23,4,43,8,22,1,101,269
