Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harry Cockell,Hedy Fry,Breen Ouellette,Alaric Paivarinta,Taylor Singleton-Fookes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59034,"Vancouver Centre/Vancouver-Centre"," 1","Vancouver",16,51,40,3,13,0,123,406
59034,"Vancouver Centre/Vancouver-Centre"," 2","Vancouver",23,57,63,6,9,0,158,465
59034,"Vancouver Centre/Vancouver-Centre"," 3","Vancouver",16,41,67,9,6,0,139,509
59034,"Vancouver Centre/Vancouver-Centre"," 4","Vancouver",21,28,28,6,5,0,88,392
59034,"Vancouver Centre/Vancouver-Centre"," 5","Vancouver",17,26,18,7,6,0,74,378
59034,"Vancouver Centre/Vancouver-Centre"," 6","Vancouver",11,24,46,6,6,1,94,347
59034,"Vancouver Centre/Vancouver-Centre"," 7","Vancouver",7,42,39,12,3,0,103,375
59034,"Vancouver Centre/Vancouver-Centre"," 8","Vancouver",Merged with No./Fusionné avec le n°9,,,,,,,327
59034,"Vancouver Centre/Vancouver-Centre"," 9","Vancouver",30,91,81,13,4,1,220,390
59034,"Vancouver Centre/Vancouver-Centre"," 10","Vancouver",15,36,34,6,4,0,95,336
59034,"Vancouver Centre/Vancouver-Centre"," 11","Vancouver",20,37,40,5,7,0,109,433
59034,"Vancouver Centre/Vancouver-Centre"," 12","Vancouver",11,45,29,5,6,0,96,294
59034,"Vancouver Centre/Vancouver-Centre"," 13","Vancouver",13,29,33,6,2,0,83,347
59034,"Vancouver Centre/Vancouver-Centre"," 14","Vancouver",18,58,46,17,8,1,148,449
59034,"Vancouver Centre/Vancouver-Centre"," 15","Vancouver",33,43,39,8,7,1,131,408
59034,"Vancouver Centre/Vancouver-Centre"," 16","Vancouver",16,50,38,9,6,1,120,354
59034,"Vancouver Centre/Vancouver-Centre"," 17","Vancouver",11,41,44,9,7,0,112,409
59034,"Vancouver Centre/Vancouver-Centre"," 18","Vancouver",27,28,27,6,5,0,93,371
59034,"Vancouver Centre/Vancouver-Centre"," 19","Vancouver",15,45,48,9,9,0,126,491
59034,"Vancouver Centre/Vancouver-Centre"," 20","Vancouver",19,42,26,3,4,1,95,491
59034,"Vancouver Centre/Vancouver-Centre"," 21","Vancouver",11,47,49,3,6,0,116,506
59034,"Vancouver Centre/Vancouver-Centre"," 22","Vancouver",51,83,23,5,6,3,171,628
59034,"Vancouver Centre/Vancouver-Centre"," 23","Vancouver",13,32,36,8,0,0,89,364
59034,"Vancouver Centre/Vancouver-Centre"," 24","Vancouver",26,64,31,7,5,0,133,296
59034,"Vancouver Centre/Vancouver-Centre"," 25","Vancouver",14,31,46,7,4,0,102,375
59034,"Vancouver Centre/Vancouver-Centre"," 26","Vancouver",Merged with No./Fusionné avec le n°24,,,,,,,398
59034,"Vancouver Centre/Vancouver-Centre"," 27","Vancouver",25,46,18,3,4,1,97,478
59034,"Vancouver Centre/Vancouver-Centre"," 28","Vancouver",Merged with No./Fusionné avec le n°35,,,,,,,355
59034,"Vancouver Centre/Vancouver-Centre"," 29","Vancouver",28,31,34,6,7,0,106,432
59034,"Vancouver Centre/Vancouver-Centre"," 30","Vancouver",40,26,2,2,5,0,75,534
59034,"Vancouver Centre/Vancouver-Centre"," 31","Vancouver",22,53,5,2,4,0,86,389
59034,"Vancouver Centre/Vancouver-Centre"," 32","Vancouver",19,40,11,2,3,2,77,359
59034,"Vancouver Centre/Vancouver-Centre"," 33","Vancouver",29,58,56,4,3,1,151,374
59034,"Vancouver Centre/Vancouver-Centre"," 34","Vancouver",31,56,34,6,0,1,128,474
59034,"Vancouver Centre/Vancouver-Centre"," 35","Vancouver",76,93,29,4,10,1,213,550
59034,"Vancouver Centre/Vancouver-Centre"," 36","Vancouver",27,48,32,3,3,0,113,367
59034,"Vancouver Centre/Vancouver-Centre"," 37","Vancouver",23,42,35,7,1,1,109,457
59034,"Vancouver Centre/Vancouver-Centre"," 38","Vancouver",21,38,19,2,5,3,88,405
59034,"Vancouver Centre/Vancouver-Centre"," 39","Vancouver",8,38,21,2,3,1,73,345
59034,"Vancouver Centre/Vancouver-Centre"," 40","Vancouver",29,70,55,9,7,0,170,630
59034,"Vancouver Centre/Vancouver-Centre"," 41","Vancouver",Void/Supprimé,,,,,,,
59034,"Vancouver Centre/Vancouver-Centre"," 42","Vancouver",17,51,24,7,5,1,105,370
59034,"Vancouver Centre/Vancouver-Centre"," 43","Vancouver",23,37,43,5,7,0,115,453
59034,"Vancouver Centre/Vancouver-Centre"," 44","Vancouver",14,40,52,5,8,0,119,478
59034,"Vancouver Centre/Vancouver-Centre"," 45","Vancouver",18,40,28,1,6,1,94,427
59034,"Vancouver Centre/Vancouver-Centre"," 46","Vancouver",20,44,58,7,7,0,136,499
59034,"Vancouver Centre/Vancouver-Centre"," 47","Vancouver",14,72,29,5,2,1,123,453
59034,"Vancouver Centre/Vancouver-Centre"," 48","Vancouver",5,38,48,6,4,0,101,398
59034,"Vancouver Centre/Vancouver-Centre"," 49","Vancouver",5,44,58,10,2,0,119,392
59034,"Vancouver Centre/Vancouver-Centre"," 50","Vancouver",16,24,40,5,1,0,86,262
59034,"Vancouver Centre/Vancouver-Centre"," 51","Vancouver",Merged with No./Fusionné avec le n°53,,,,,,,416
59034,"Vancouver Centre/Vancouver-Centre"," 52","Vancouver",14,32,75,10,9,1,141,469
59034,"Vancouver Centre/Vancouver-Centre"," 53","Vancouver",49,98,126,6,9,0,288,523
59034,"Vancouver Centre/Vancouver-Centre"," 54","Vancouver",19,84,87,9,8,2,209,376
59034,"Vancouver Centre/Vancouver-Centre"," 55","Vancouver",27,44,38,8,15,0,132,516
59034,"Vancouver Centre/Vancouver-Centre"," 56","Vancouver",9,26,42,5,2,0,84,368
59034,"Vancouver Centre/Vancouver-Centre"," 57","Vancouver",23,41,54,2,7,1,128,434
59034,"Vancouver Centre/Vancouver-Centre"," 58","Vancouver",15,32,53,3,2,0,105,317
59034,"Vancouver Centre/Vancouver-Centre"," 59","Vancouver",16,39,46,5,8,2,116,447
59034,"Vancouver Centre/Vancouver-Centre"," 60","Vancouver",18,59,78,10,3,1,169,525
59034,"Vancouver Centre/Vancouver-Centre"," 61","Vancouver",Merged with No./Fusionné avec le n°54,,,,,,,353
59034,"Vancouver Centre/Vancouver-Centre"," 62","Vancouver",22,46,57,15,5,0,145,417
59034,"Vancouver Centre/Vancouver-Centre"," 63","Vancouver",28,46,24,4,1,1,104,443
59034,"Vancouver Centre/Vancouver-Centre"," 64","Vancouver",18,50,37,5,6,0,116,434
59034,"Vancouver Centre/Vancouver-Centre"," 65","Vancouver",19,54,85,5,5,1,169,511
59034,"Vancouver Centre/Vancouver-Centre"," 66","Vancouver",13,43,49,5,5,1,116,410
59034,"Vancouver Centre/Vancouver-Centre"," 67","Vancouver",11,41,57,6,4,0,119,353
59034,"Vancouver Centre/Vancouver-Centre"," 68","Vancouver",8,46,42,5,4,1,106,342
59034,"Vancouver Centre/Vancouver-Centre"," 69","Vancouver",19,50,62,4,4,1,140,482
59034,"Vancouver Centre/Vancouver-Centre"," 70","Vancouver",4,26,37,5,3,0,75,294
59034,"Vancouver Centre/Vancouver-Centre"," 71","Vancouver",15,45,43,7,7,0,117,400
