Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chrystia Freeland,Drew Garvie,Tim Grant,David Kent,Nicole Robicheau,Steven Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35110,"University--Rosedale/University--Rosedale"," 1","Toronto",Merged with No./Fusionné avec le n°2,,,,,,,,343
35110,"University--Rosedale/University--Rosedale"," 2","Toronto",199,0,12,8,25,176,0,420,421
35110,"University--Rosedale/University--Rosedale"," 3","Toronto",157,1,22,9,41,105,1,336,476
35110,"University--Rosedale/University--Rosedale"," 4","Toronto",175,0,14,4,28,184,3,408,422
35110,"University--Rosedale/University--Rosedale"," 5","Toronto",Merged with No./Fusionné avec le n°9,,,,,,,,394
35110,"University--Rosedale/University--Rosedale"," 6","Toronto",Merged with No./Fusionné avec le n°9,,,,,,,,410
35110,"University--Rosedale/University--Rosedale"," 7","Toronto",Merged with No./Fusionné avec le n°4,,,,,,,,371
35110,"University--Rosedale/University--Rosedale"," 8","Toronto",Merged with No./Fusionné avec le n°2,,,,,,,,401
35110,"University--Rosedale/University--Rosedale"," 9","Toronto",176,0,19,4,24,163,0,386,415
35110,"University--Rosedale/University--Rosedale"," 10","Toronto",Merged with No./Fusionné avec le n°3,,,,,,,,430
35110,"University--Rosedale/University--Rosedale"," 11","Toronto",Merged with No./Fusionné avec le n°23,,,,,,,,382
35110,"University--Rosedale/University--Rosedale"," 12","Toronto",Merged with No./Fusionné avec le n°23,,,,,,,,483
35110,"University--Rosedale/University--Rosedale"," 13","Toronto",Merged with No./Fusionné avec le n°4,,,,,,,,325
35110,"University--Rosedale/University--Rosedale"," 14","Toronto",Merged with No./Fusionné avec le n°23,,,,,,,,426
35110,"University--Rosedale/University--Rosedale"," 15","Toronto",Merged with No./Fusionné avec le n°33,,,,,,,,387
35110,"University--Rosedale/University--Rosedale"," 16","Toronto",573,9,61,43,300,263,2,1251,945
35110,"University--Rosedale/University--Rosedale"," 17","Toronto",Merged with No./Fusionné avec le n°16,,,,,,,,365
35110,"University--Rosedale/University--Rosedale"," 18","Toronto",Merged with No./Fusionné avec le n°23,,,,,,,,394
