Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Frédéric Amyot,Alexandra Bernier,Caroline Desbiens,Frédéric Du Verle,Chantal Laplante,Véronique Laprise,Jenniefer Lefrançois,Vicky Lépine,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 1","Baie-Sainte-Catherine",0,11,52,1,1,16,3,1,1,86,172
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 2","Baie-des-Rochers",1,11,26,3,1,12,1,1,2,58,164
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 3","Saint-Siméon",1,27,33,4,0,13,0,0,3,81,308
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 4","Saint-Siméon",1,17,24,3,0,9,2,1,1,58,259
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 5","Port-au-Persil",0,21,53,3,3,8,1,0,1,90,256
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 6","La Malbaie",0,28,57,2,2,20,0,2,1,112,253
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 7","La Malbaie",4,20,59,3,0,2,13,0,0,101,360
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 8","La Malbaie",2,52,81,6,1,21,4,1,1,169,309
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 9","Sagard",0,15,37,1,0,13,0,1,1,68,154
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 10","Clermont",2,20,81,9,0,41,4,1,2,160,273
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 11","Clermont",1,34,67,4,1,46,3,0,4,160,419
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 12","Clermont",Merged with No./Fusionné avec le n°10,,,,,,,,,,223
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 13","Clermont",0,20,65,1,1,17,2,0,1,107,313
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 14","Clermont",2,11,59,4,2,11,3,1,0,93,263
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 15","Clermont",2,24,83,8,0,32,5,1,2,157,378
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 16","Clermont",1,38,56,5,3,22,1,0,2,128,331
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 17","Clermont",0,25,61,1,2,26,2,0,0,117,296
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 18","La Malbaie",1,18,64,4,1,7,2,0,1,98,313
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 19","La Malbaie",Merged with No./Fusionné avec le n°20,,,,,,,,,,317
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 20","La Malbaie",5,40,113,11,5,34,4,2,2,216,368
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 21","La Malbaie",0,33,62,3,0,21,5,0,1,125,318
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 22","La Malbaie",1,28,63,4,0,11,0,0,1,108,324
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 23","La Malbaie",0,27,53,1,2,26,4,0,1,114,296
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 24","La Malbaie",Merged with No./Fusionné avec le n°28,,,,,,,,,,267
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 25","La Malbaie",2,24,68,4,1,14,0,0,0,113,317
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 26","La Malbaie",0,27,81,3,4,19,1,0,3,138,426
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 27","La Malbaie",1,35,68,7,1,26,7,0,0,145,348
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 28","La Malbaie",5,35,100,12,1,16,6,1,3,179,383
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 29","La Malbaie",4,29,66,8,2,22,2,0,3,136,333
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 30","La Malbaie",0,15,47,7,2,13,2,0,0,86,309
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 31","Saint-Aimé-des-Lacs",3,25,68,5,3,36,2,4,2,148,309
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 32","Saint-Aimé-des-Lacs",0,27,43,6,0,28,3,0,3,110,256
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 33","Saint-Aimé-des-Lacs",0,34,71,3,0,36,6,0,1,151,327
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 34","La Malbaie",2,24,45,2,1,33,6,0,1,114,298
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 35","La Malbaie",1,25,55,6,3,20,1,0,2,113,315
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 36","La Malbaie",1,34,44,3,1,11,1,1,3,99,307
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 37","La Malbaie",0,15,50,3,1,12,6,0,0,87,306
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 38","La Malbaie",0,22,57,2,0,13,1,0,2,97,291
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 39","Notre-Dame-des-Monts",4,27,103,3,0,30,1,1,6,175,343
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 40","Notre-Dame-des-Monts",2,39,58,3,2,35,2,1,2,144,309
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 41","Saint-Irénée",2,23,59,2,0,28,3,1,1,119,286
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 42","Saint-Irénée",3,37,81,9,1,27,1,0,2,161,309
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 43","Saint-Hilarion",Merged with No./Fusionné avec le n°44,,,,,,,,,,260
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 44","Saint-Hilarion",2,63,110,7,2,78,6,1,6,275,286
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 45","Saint-Hilarion",0,37,79,2,5,43,6,0,3,175,378
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 46","Saint-Urbain",0,14,47,2,0,14,5,0,2,84,223
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 47","Saint-Urbain",5,28,72,3,0,27,1,0,6,142,354
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 48","Saint-Urbain",2,7,50,6,1,16,0,0,1,83,274
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 49","Saint-Urbain",1,16,38,2,0,25,10,1,0,93,250
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 50","Les Éboulements",2,22,59,6,0,17,6,1,3,116,260
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 51","Les Éboulements",3,33,69,5,4,27,1,0,1,143,280
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 52","Les Éboulements",5,33,77,5,1,18,5,1,2,147,351
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 53","Les Éboulements",1,19,62,4,1,37,0,0,4,128,279
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 54","Baie-Saint-Paul",3,20,68,2,2,26,2,0,0,123,363
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 55","Baie-Saint-Paul",4,35,74,6,0,24,0,0,3,146,393
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 56","Baie-Saint-Paul",5,18,74,6,1,21,2,0,2,129,403
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 57","Baie-Saint-Paul",1,36,55,7,0,20,0,0,2,121,375
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 58","Baie-Saint-Paul",4,24,67,7,0,17,5,1,1,126,410
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 59","Saint-Bernard-sur-Mer",1,24,70,3,0,35,0,1,1,135,382
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 60","Cap-à-la-Branche",0,14,55,0,0,23,0,0,2,94,308
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 61","L'Isle-aux-Coudres",1,17,45,1,0,20,0,0,2,86,308
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 62","Baie-Saint-Paul",6,31,53,13,2,7,1,2,0,115,429
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 63","Baie-Saint-Paul",6,16,61,5,0,17,2,0,0,107,342
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 64","Baie-Saint-Paul",3,24,74,3,0,14,5,0,1,124,385
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 65","Baie-Saint-Paul",5,29,64,5,1,20,1,0,0,125,322
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 66","Baie-Saint-Paul",1,19,64,4,3,14,1,0,6,112,352
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 67","Baie-Saint-Paul",7,67,148,18,3,48,7,0,3,301,490
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 68","Baie-Saint-Paul",3,72,121,20,1,43,7,2,3,272,499
