Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paulina Ayala,Guy Croteau,Bianca Deltorto-Russell,Yves Le Seigle,Charlotte Lévesque-Marin,Lucilia Miranda,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"Honoré-Mercier/Honoré-Mercier"," 1A","Montréal",10,25,2,0,33,11,71,4,156,328
24029,"Honoré-Mercier/Honoré-Mercier"," 1B","Montréal",9,29,6,0,23,6,68,1,142,332
24029,"Honoré-Mercier/Honoré-Mercier"," 2","Montréal",15,32,7,0,18,10,105,2,189,402
24029,"Honoré-Mercier/Honoré-Mercier"," 3","Montréal",11,11,3,0,36,1,83,1,146,330
24029,"Honoré-Mercier/Honoré-Mercier"," 4A","Montréal",8,21,1,0,35,2,77,1,145,320
24029,"Honoré-Mercier/Honoré-Mercier"," 4B","Montréal",10,20,2,0,33,3,67,5,140,317
24029,"Honoré-Mercier/Honoré-Mercier"," 5","Montréal",22,24,2,0,42,8,97,2,197,394
24029,"Honoré-Mercier/Honoré-Mercier"," 6","Montréal",18,22,1,0,25,12,134,2,214,517
24029,"Honoré-Mercier/Honoré-Mercier"," 7","Montréal",4,5,2,0,33,11,59,3,117,438
24029,"Honoré-Mercier/Honoré-Mercier"," 8","Montréal",21,38,3,0,27,10,165,5,269,479
24029,"Honoré-Mercier/Honoré-Mercier"," 9","Montréal",18,36,4,0,25,17,149,3,252,509
24029,"Honoré-Mercier/Honoré-Mercier"," 10","Montréal",21,20,3,0,13,12,154,0,223,493
24029,"Honoré-Mercier/Honoré-Mercier"," 11","Montréal",16,21,2,0,13,11,95,0,158,338
24029,"Honoré-Mercier/Honoré-Mercier"," 12","Montréal",26,20,5,1,10,9,113,0,184,413
24029,"Honoré-Mercier/Honoré-Mercier"," 13","Montréal",14,26,2,0,31,12,107,2,194,432
24029,"Honoré-Mercier/Honoré-Mercier"," 14","Montréal",12,2,2,0,20,4,62,1,103,253
24029,"Honoré-Mercier/Honoré-Mercier"," 15","Montréal",32,15,1,0,42,9,112,4,215,433
24029,"Honoré-Mercier/Honoré-Mercier"," 16","Montréal",20,57,3,0,3,18,160,3,264,585
24029,"Honoré-Mercier/Honoré-Mercier"," 17","Montréal",9,18,1,0,22,9,92,9,160,403
24029,"Honoré-Mercier/Honoré-Mercier"," 18","Montréal",14,8,2,0,15,2,90,3,134,362
24029,"Honoré-Mercier/Honoré-Mercier"," 19","Montréal",19,25,3,0,21,11,168,10,257,557
24029,"Honoré-Mercier/Honoré-Mercier"," 20","Montréal",13,18,5,2,13,11,154,5,221,420
24029,"Honoré-Mercier/Honoré-Mercier"," 21","Montréal",12,9,5,1,16,5,113,3,164,415
24029,"Honoré-Mercier/Honoré-Mercier"," 22","Montréal",19,31,2,1,23,16,75,3,170,405
24029,"Honoré-Mercier/Honoré-Mercier"," 23","Montréal",11,18,5,0,20,12,114,2,182,481
24029,"Honoré-Mercier/Honoré-Mercier"," 24","Montréal",12,13,3,0,23,14,125,9,199,478
24029,"Honoré-Mercier/Honoré-Mercier"," 25","Montréal",11,13,2,0,7,3,101,2,139,391
24029,"Honoré-Mercier/Honoré-Mercier"," 26","Montréal",19,30,2,0,17,17,157,2,244,400
24029,"Honoré-Mercier/Honoré-Mercier"," 27","Montréal",16,20,4,0,6,9,89,1,145,350
24029,"Honoré-Mercier/Honoré-Mercier"," 28","Montréal",18,24,2,0,13,4,133,5,199,370
24029,"Honoré-Mercier/Honoré-Mercier"," 29","Montréal",7,10,5,0,22,11,136,3,194,466
24029,"Honoré-Mercier/Honoré-Mercier"," 30","Montréal",15,15,1,2,18,13,130,3,197,493
24029,"Honoré-Mercier/Honoré-Mercier"," 31","Montréal",12,25,1,0,24,12,80,3,157,373
24029,"Honoré-Mercier/Honoré-Mercier"," 32","Montréal",11,11,3,0,7,15,93,6,146,374
24029,"Honoré-Mercier/Honoré-Mercier"," 33","Montréal",10,17,2,2,6,18,94,1,150,372
24029,"Honoré-Mercier/Honoré-Mercier"," 34","Montréal",19,11,3,1,13,13,93,2,155,332
24029,"Honoré-Mercier/Honoré-Mercier"," 35","Montréal",19,23,4,0,15,12,138,0,211,387
24029,"Honoré-Mercier/Honoré-Mercier"," 36","Montréal",15,17,0,1,12,8,112,1,166,355
24029,"Honoré-Mercier/Honoré-Mercier"," 37","Montréal",16,9,4,0,21,11,166,5,232,559
24029,"Honoré-Mercier/Honoré-Mercier"," 38","Montréal",20,16,2,0,13,10,102,2,165,381
24029,"Honoré-Mercier/Honoré-Mercier"," 39","Montréal",7,14,1,0,15,6,89,3,135,344
24029,"Honoré-Mercier/Honoré-Mercier"," 40","Montréal",6,25,0,0,2,8,88,1,130,391
24029,"Honoré-Mercier/Honoré-Mercier"," 41","Montréal",20,11,1,1,24,14,102,6,179,385
24029,"Honoré-Mercier/Honoré-Mercier"," 42","Montréal",12,20,3,0,8,12,126,7,188,439
24029,"Honoré-Mercier/Honoré-Mercier"," 43","Montréal",17,17,5,0,20,11,85,5,160,459
24029,"Honoré-Mercier/Honoré-Mercier"," 44","Montréal",12,17,4,1,7,13,126,6,186,382
24029,"Honoré-Mercier/Honoré-Mercier"," 45","Montréal",23,28,3,0,7,10,161,10,242,551
24029,"Honoré-Mercier/Honoré-Mercier"," 46","Montréal",17,23,1,0,19,12,126,0,198,458
24029,"Honoré-Mercier/Honoré-Mercier"," 47","Montréal",9,25,3,0,17,5,107,0,166,375
24029,"Honoré-Mercier/Honoré-Mercier"," 48","Montréal",20,29,1,1,3,5,115,8,182,448
24029,"Honoré-Mercier/Honoré-Mercier"," 49","Montréal",9,28,0,0,6,9,109,4,165,485
24029,"Honoré-Mercier/Honoré-Mercier"," 50","Montréal",14,11,5,0,5,10,93,1,139,400
24029,"Honoré-Mercier/Honoré-Mercier"," 51","Montréal",9,22,7,0,28,11,106,2,185,421
24029,"Honoré-Mercier/Honoré-Mercier"," 52","Montréal",14,26,5,0,28,12,134,3,222,454
24029,"Honoré-Mercier/Honoré-Mercier"," 53","Montréal",13,29,1,0,7,10,94,1,155,394
24029,"Honoré-Mercier/Honoré-Mercier"," 54","Montréal",22,25,11,0,23,13,129,3,226,424
24029,"Honoré-Mercier/Honoré-Mercier"," 55","Montréal",7,20,1,0,21,10,115,4,178,435
24029,"Honoré-Mercier/Honoré-Mercier"," 56","Montréal",5,18,0,0,12,4,85,7,131,416
24029,"Honoré-Mercier/Honoré-Mercier"," 57","Montréal",11,18,4,0,20,7,109,1,170,461
24029,"Honoré-Mercier/Honoré-Mercier"," 58","Montréal",20,28,3,0,3,10,133,4,201,429
24029,"Honoré-Mercier/Honoré-Mercier"," 59","Montréal",13,15,3,0,9,11,133,0,184,349
