Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raatib Anderson,Matias de Dovitiis,Christine Nugent,Judy Sgro,Rinku Shah,Unblind Tibbin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35121,"Humber River--Black Creek/Humber River--Black Creek"," 1","Toronto",5,100,1,64,23,1,2,196,643
35121,"Humber River--Black Creek/Humber River--Black Creek"," 2","Toronto",0,17,0,8,6,5,0,36,144
35121,"Humber River--Black Creek/Humber River--Black Creek"," 3","Toronto",6,26,0,122,7,2,10,173,574
35121,"Humber River--Black Creek/Humber River--Black Creek"," 4","Toronto",0,6,0,33,13,0,0,52,234
35121,"Humber River--Black Creek/Humber River--Black Creek"," 5","Toronto",4,13,0,73,5,0,3,98,325
35121,"Humber River--Black Creek/Humber River--Black Creek"," 6","Toronto",6,18,1,72,68,3,5,173,516
35121,"Humber River--Black Creek/Humber River--Black Creek"," 7","Toronto",6,33,1,109,53,4,1,207,597
35121,"Humber River--Black Creek/Humber River--Black Creek"," 8","Toronto",8,20,0,104,26,1,2,161,392
35121,"Humber River--Black Creek/Humber River--Black Creek"," 9","Toronto",10,28,0,148,45,3,1,235,425
35121,"Humber River--Black Creek/Humber River--Black Creek"," 10","Toronto",1,57,0,54,20,4,0,136,529
35121,"Humber River--Black Creek/Humber River--Black Creek"," 11","Toronto",8,29,2,89,28,1,0,157,486
35121,"Humber River--Black Creek/Humber River--Black Creek"," 12","Toronto",7,44,0,50,34,2,0,137,467
35121,"Humber River--Black Creek/Humber River--Black Creek"," 13","Toronto",4,26,0,109,16,2,3,160,551
35121,"Humber River--Black Creek/Humber River--Black Creek"," 14","Toronto",0,36,1,73,15,4,0,129,413
35121,"Humber River--Black Creek/Humber River--Black Creek"," 15","Toronto",4,24,0,72,11,4,1,116,420
35121,"Humber River--Black Creek/Humber River--Black Creek"," 16","Toronto",11,43,0,66,19,3,0,142,433
35121,"Humber River--Black Creek/Humber River--Black Creek"," 17","Toronto",6,42,0,79,40,1,1,169,301
35121,"Humber River--Black Creek/Humber River--Black Creek"," 18","Toronto",17,22,0,66,12,0,1,118,474
35121,"Humber River--Black Creek/Humber River--Black Creek"," 19","Toronto",9,23,0,92,18,3,5,150,487
35121,"Humber River--Black Creek/Humber River--Black Creek"," 20","Toronto",11,19,0,72,21,1,0,124,424
35121,"Humber River--Black Creek/Humber River--Black Creek"," 21","Toronto",3,24,3,113,35,2,7,187,431
35121,"Humber River--Black Creek/Humber River--Black Creek"," 22","Toronto",4,30,0,79,35,1,2,151,364
35121,"Humber River--Black Creek/Humber River--Black Creek"," 23","Toronto",4,24,1,95,9,2,4,139,470
35121,"Humber River--Black Creek/Humber River--Black Creek"," 24","Toronto",5,25,3,62,26,1,2,124,485
35121,"Humber River--Black Creek/Humber River--Black Creek"," 25","Toronto",0,16,0,82,25,1,9,133,349
35121,"Humber River--Black Creek/Humber River--Black Creek"," 26","Toronto",4,19,1,74,11,1,3,113,408
35121,"Humber River--Black Creek/Humber River--Black Creek"," 27","Toronto",3,30,0,83,25,1,3,145,452
35121,"Humber River--Black Creek/Humber River--Black Creek"," 28","Toronto",5,14,0,77,35,1,3,135,486
35121,"Humber River--Black Creek/Humber River--Black Creek"," 29","Toronto",11,27,2,94,17,1,4,156,427
35121,"Humber River--Black Creek/Humber River--Black Creek"," 30","Toronto",8,29,1,88,30,1,4,161,553
35121,"Humber River--Black Creek/Humber River--Black Creek"," 31","Toronto",9,31,0,90,27,5,0,162,426
