Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ramandeep Brar,Nicholas Craniotis,Sonia Sidhu,Tejinder Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35011,"Brampton South/Brampton-Sud"," 1","Brampton",24,10,80,26,1,141,489
35011,"Brampton South/Brampton-Sud"," 2","Brampton",70,14,57,37,0,178,512
35011,"Brampton South/Brampton-Sud"," 3","Brampton",30,9,79,18,2,138,470
35011,"Brampton South/Brampton-Sud"," 4","Brampton",50,12,49,34,3,148,470
35011,"Brampton South/Brampton-Sud"," 5","Brampton",59,12,64,34,3,172,461
35011,"Brampton South/Brampton-Sud"," 6","Brampton",41,3,67,16,2,129,464
35011,"Brampton South/Brampton-Sud"," 7","Brampton",22,3,64,11,1,101,145
35011,"Brampton South/Brampton-Sud"," 8","Brampton",23,10,37,17,0,87,393
35011,"Brampton South/Brampton-Sud"," 9","Brampton",28,13,81,25,3,150,632
35011,"Brampton South/Brampton-Sud"," 10","Brampton",13,1,52,21,1,88,381
35011,"Brampton South/Brampton-Sud"," 11","Brampton",14,8,56,16,0,94,390
35011,"Brampton South/Brampton-Sud"," 12","Brampton",39,6,39,27,2,113,353
35011,"Brampton South/Brampton-Sud"," 13","Brampton",32,11,64,35,1,143,334
35011,"Brampton South/Brampton-Sud"," 14","Brampton",40,9,74,24,0,147,365
35011,"Brampton South/Brampton-Sud"," 15","Brampton",42,8,58,21,1,130,369
35011,"Brampton South/Brampton-Sud"," 16","Brampton",49,4,77,26,0,156,365
35011,"Brampton South/Brampton-Sud"," 17","Brampton",60,7,57,17,2,143,358
35011,"Brampton South/Brampton-Sud"," 18","Brampton",28,8,34,24,1,95,340
35011,"Brampton South/Brampton-Sud"," 19","Brampton",33,10,41,11,2,97,373
35011,"Brampton South/Brampton-Sud"," 20","Brampton",37,3,54,23,0,117,311
35011,"Brampton South/Brampton-Sud"," 21","Brampton",53,7,67,16,0,143,386
35011,"Brampton South/Brampton-Sud"," 22","Brampton",40,4,95,25,2,166,374
35011,"Brampton South/Brampton-Sud"," 23","Brampton",32,5,41,18,1,97,354
35011,"Brampton South/Brampton-Sud"," 24","Brampton",27,10,75,36,8,156,385
35011,"Brampton South/Brampton-Sud"," 25","Brampton",25,17,63,24,0,129,385
35011,"Brampton South/Brampton-Sud"," 26","Brampton",33,5,65,20,0,123,398
35011,"Brampton South/Brampton-Sud"," 27","Brampton",38,6,44,14,1,103,362
35011,"Brampton South/Brampton-Sud"," 28","Brampton",49,16,79,28,3,175,491
35011,"Brampton South/Brampton-Sud"," 29","Brampton",34,12,52,20,0,118,407
35011,"Brampton South/Brampton-Sud"," 30","Brampton",32,3,42,35,0,112,364
35011,"Brampton South/Brampton-Sud"," 31","Brampton",80,11,79,21,1,192,448
35011,"Brampton South/Brampton-Sud"," 32","Brampton",53,10,67,37,5,172,400
35011,"Brampton South/Brampton-Sud"," 33","Brampton",65,14,87,31,1,198,468
35011,"Brampton South/Brampton-Sud"," 34","Brampton",23,2,60,30,1,116,449
35011,"Brampton South/Brampton-Sud"," 35","Brampton",50,8,57,19,0,134,488
35011,"Brampton South/Brampton-Sud"," 36","Brampton",41,13,63,10,3,130,434
35011,"Brampton South/Brampton-Sud"," 37","Brampton",68,17,48,24,0,157,393
35011,"Brampton South/Brampton-Sud"," 38","Brampton",46,10,66,19,1,142,413
35011,"Brampton South/Brampton-Sud"," 39","Brampton",73,16,88,35,0,212,422
35011,"Brampton South/Brampton-Sud"," 40","Brampton",24,2,38,15,1,80,346
35011,"Brampton South/Brampton-Sud"," 41","Brampton",36,13,43,18,1,111,386
35011,"Brampton South/Brampton-Sud"," 42","Brampton",43,11,31,26,1,112,408
35011,"Brampton South/Brampton-Sud"," 43","Brampton",23,6,34,23,4,90,408
35011,"Brampton South/Brampton-Sud"," 44","Brampton",32,6,28,24,0,90,415
35011,"Brampton South/Brampton-Sud"," 45","Brampton",34,6,57,15,0,112,434
35011,"Brampton South/Brampton-Sud"," 46","Brampton",39,16,50,31,4,140,482
35011,"Brampton South/Brampton-Sud"," 47","Brampton",63,19,74,30,1,187,427
35011,"Brampton South/Brampton-Sud"," 48","Brampton",64,6,128,39,1,238,453
35011,"Brampton South/Brampton-Sud"," 49","Brampton",47,12,65,40,3,167,411
35011,"Brampton South/Brampton-Sud"," 50","Brampton",31,7,59,28,2,127,538
35011,"Brampton South/Brampton-Sud"," 51","Brampton",61,20,69,18,0,168,481
35011,"Brampton South/Brampton-Sud"," 52","Brampton",65,12,79,22,0,178,454
35011,"Brampton South/Brampton-Sud"," 53","Brampton",66,9,66,18,0,159,445
35011,"Brampton South/Brampton-Sud"," 54","Brampton",67,19,73,34,2,195,461
35011,"Brampton South/Brampton-Sud"," 55","Brampton",55,4,76,28,2,165,432
35011,"Brampton South/Brampton-Sud"," 56","Brampton",50,7,67,10,0,134,382
35011,"Brampton South/Brampton-Sud"," 57","Brampton",44,3,47,22,2,118,344
35011,"Brampton South/Brampton-Sud"," 58","Brampton",56,8,36,21,3,124,439
35011,"Brampton South/Brampton-Sud"," 59","Brampton",68,18,69,36,3,194,381
35011,"Brampton South/Brampton-Sud"," 60","Brampton",82,5,60,26,1,174,419
35011,"Brampton South/Brampton-Sud"," 61","Brampton",40,11,56,22,3,132,520
35011,"Brampton South/Brampton-Sud"," 62","Brampton",48,7,84,32,1,172,437
35011,"Brampton South/Brampton-Sud"," 63","Brampton",56,20,51,35,3,165,475
35011,"Brampton South/Brampton-Sud"," 64","Brampton",71,7,102,12,3,195,418
35011,"Brampton South/Brampton-Sud"," 65","Brampton",73,13,65,20,4,175,390
35011,"Brampton South/Brampton-Sud"," 66","Brampton",41,7,49,12,7,116,344
35011,"Brampton South/Brampton-Sud"," 67","Brampton",36,8,99,25,2,170,445
35011,"Brampton South/Brampton-Sud"," 68","Brampton",33,9,98,26,1,167,543
35011,"Brampton South/Brampton-Sud"," 69","Brampton",28,5,72,16,0,121,402
35011,"Brampton South/Brampton-Sud"," 70","Brampton",22,3,68,22,0,115,468
35011,"Brampton South/Brampton-Sud"," 71","Brampton",37,3,90,25,2,157,453
35011,"Brampton South/Brampton-Sud"," 72","Brampton",39,17,112,27,0,195,457
35011,"Brampton South/Brampton-Sud"," 73","Brampton",51,8,88,31,1,179,477
35011,"Brampton South/Brampton-Sud"," 74","Brampton",60,3,106,25,0,194,517
35011,"Brampton South/Brampton-Sud"," 75","Brampton",59,13,93,26,6,197,530
35011,"Brampton South/Brampton-Sud"," 76","Brampton",49,14,77,43,0,183,520
35011,"Brampton South/Brampton-Sud"," 77","Brampton",31,8,112,16,0,167,542
35011,"Brampton South/Brampton-Sud"," 78","Brampton",22,4,52,28,0,106,364
35011,"Brampton South/Brampton-Sud"," 79","Brampton",35,11,126,16,3,191,560
