Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Blanchette,Yanick Caisse,Catherine Gauvin,Eric Pettersen,Louis Plamondon,Nathalie Rochefort,David Turcotte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 1","Deschaillons-sur-Saint-Laurent",8,58,15,5,93,35,1,5,220,404
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 2","Deschaillons-sur-Saint-Laurent",8,40,14,1,70,35,0,1,169,347
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 3","Parisville",7,64,9,8,77,43,3,8,219,412
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 4","Fortierville",6,28,5,7,77,16,2,5,146,281
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 5","Fortierville",6,29,9,11,59,17,4,2,137,234
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 6","Sainte-Françoise",7,53,2,11,88,41,14,8,224,393
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 7","Saint-Pierre-les-Becquets",2,23,6,3,43,10,5,2,94,306
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 8","Saint-Pierre-les-Becquets",4,44,5,8,56,23,2,2,144,345
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 9","Saint-Pierre-les-Becquets",3,26,4,5,51,8,4,0,101,277
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 10","Sainte-Cécile-de-Lévrard",4,52,10,8,62,18,5,3,162,312
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 11","Sainte-Sophie-de-Lévrard",10,50,2,3,66,24,1,5,161,293
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 12","Sainte-Sophie-de-Lévrard",5,33,3,3,41,18,3,4,110,288
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 13","Manseau",5,32,5,4,80,22,4,5,157,304
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 14","Manseau",5,54,6,18,91,29,3,7,213,364
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 15","Bécancour",5,49,12,7,67,29,2,0,171,404
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 16","Bécancour",5,36,11,4,71,34,6,1,168,456
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 17","Bécancour",8,49,12,8,81,23,7,3,191,427
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 18","Bécancour",5,38,7,9,77,32,8,10,186,448
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 19","Bécancour",1,34,14,9,106,31,4,5,204,439
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 20","Sainte-Marie-de-Blandford",4,44,4,7,119,22,3,4,207,385
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 21","Lemieux",1,23,3,3,44,5,1,0,80,241
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 22","Bécancour",4,50,15,4,73,13,1,1,161,355
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 23","Bécancour",4,86,32,7,131,36,6,9,311,553
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 24","Bécancour",7,51,29,6,83,24,5,5,210,431
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 25","Bécancour",2,81,11,8,95,39,2,11,249,484
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 26","Bécancour",7,53,22,15,91,38,5,4,235,434
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 27A","Bécancour",0,30,8,7,64,23,1,5,138,334
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 27B","Bécancour",0,29,7,5,59,11,0,2,113,345
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 28","Bécancour",7,74,27,8,138,57,6,4,321,604
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 29","Bécancour",12,60,26,9,129,50,3,6,295,554
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 30","Bécancour",3,33,11,5,62,15,6,5,140,322
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 31","Bécancour",11,53,13,7,113,31,5,6,239,424
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 32","Saint-Sylvère",2,38,6,7,81,21,2,4,161,296
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 33","Saint-Sylvère",4,48,10,7,87,33,5,10,204,366
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 34","Bécancour",11,23,0,1,90,68,0,5,198,279
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 35","Bécancour",0,25,7,3,62,14,3,1,115,272
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 36","Bécancour",0,27,20,1,48,24,7,2,129,283
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 37","Bécancour",0,60,11,5,62,23,0,3,164,377
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 38","Bécancour",3,49,19,4,67,32,1,3,178,390
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 39","Bécancour",2,48,13,0,47,33,2,0,145,354
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 40","Bécancour",3,53,15,8,64,30,1,4,178,483
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 41","Bécancour",6,30,13,1,44,28,4,3,129,323
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 42","Bécancour",0,42,13,3,55,37,5,4,159,387
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 43","Bécancour",1,32,21,5,43,30,7,2,141,356
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 44","Bécancour",0,34,10,5,58,12,4,4,127,336
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 45","Bécancour",3,62,19,7,67,27,3,6,194,439
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 46","Aston-Jonction",5,51,10,9,98,20,2,5,200,318
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 47","Saint-Célestin-Station",5,61,15,6,97,15,4,9,212,373
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 48","Saint-Célestin",5,57,17,7,118,44,4,8,260,378
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 49","Saint-Célestin",3,67,27,4,79,36,9,1,226,359
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 50","Saint-Wenceslas",3,37,15,7,75,26,1,1,165,293
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 51","Saint-Wenceslas",6,57,2,6,63,18,2,4,158,296
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 52","Saint-Wenceslas",4,52,10,12,56,20,1,4,159,330
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 53","Nicolet",1,30,8,6,92,37,0,3,177,461
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 54","Nicolet",2,28,7,4,75,24,5,5,150,397
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 55","Nicolet",3,25,16,0,68,44,2,1,159,452
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 56","Nicolet",8,46,35,4,95,32,5,10,235,618
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 57","Nicolet",1,32,11,0,87,31,5,5,172,497
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 58","Nicolet",6,32,13,2,70,21,4,4,152,404
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 59","Nicolet",3,13,2,4,50,25,4,1,102,346
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 60","Nicolet",4,60,16,6,82,37,4,13,222,539
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 61","Nicolet",3,22,11,6,80,18,4,0,144,451
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 62","Nicolet",7,17,14,8,58,23,3,3,133,401
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 63","Nicolet",6,32,15,5,79,27,1,2,167,383
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 64","Nicolet",8,15,2,3,38,10,2,6,84,398
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 65","Nicolet",4,34,13,3,85,31,3,3,176,521
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 66","Nicolet",5,21,12,3,90,27,5,8,171,404
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 67","Nicolet",4,18,5,5,38,16,2,1,89,311
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 68","Grand-Saint-Esprit",6,42,15,7,96,41,3,4,214,390
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 69","Sainte-Eulalie",13,54,10,9,76,21,4,8,195,377
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 70","Sainte-Eulalie",5,54,11,13,78,31,4,4,200,397
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 71","Sainte-Monique",3,28,15,5,78,23,6,1,159,407
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 72","Saint-Léonard-d'Aston",4,31,7,2,72,29,5,6,156,434
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 73","Saint-Léonard-d'Aston",6,48,13,3,87,20,3,8,188,493
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 74","Saint-Léonard-d'Aston",3,48,13,2,65,23,9,8,171,416
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 75","Saint-Léonard-d'Aston",6,24,6,3,52,9,2,3,105,302
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 76","Saint-Léonard-d'Aston",1,33,12,12,56,13,3,1,131,309
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 77","Baie-du-Febvre",0,18,2,0,65,14,2,3,104,219
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 78","Baie-du-Febvre",5,17,7,7,67,15,1,1,120,293
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 79","Baie-du-Febvre",0,25,6,4,85,21,0,0,141,265
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 80","La Visitation",5,35,12,5,81,23,5,4,170,263
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 81","Sainte-Perpétue",8,40,16,11,119,25,3,7,229,379
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 82","Sainte-Perpétue",11,46,13,10,110,37,3,8,238,369
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 83","Pierreville",4,10,4,3,93,15,2,2,133,370
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 84","Pierreville",5,22,4,1,77,15,2,3,129,368
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 85","Notre-Dame-de-Pierreville",2,22,9,3,72,27,1,1,137,351
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 86","Odanak 12",2,12,16,1,41,19,1,3,95,406
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 87","Pierreville",2,6,6,3,40,8,0,5,70,320
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 88","Pierreville",1,28,5,3,71,12,1,3,124,373
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 89","Saint-Zéphirin",5,30,13,9,86,22,0,6,171,287
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 90","Saint-Zéphirin",8,37,6,3,74,25,2,7,162,264
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 91","Saint-Elphège",3,14,7,5,76,21,0,2,128,194
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 92","Saint-François-du-Lac",1,18,4,7,80,7,3,3,123,380
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 93","Saint-François-du-Lac",7,26,5,4,105,27,2,0,176,468
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 94","Saint-François-du-Lac",3,14,6,2,90,12,1,0,128,352
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 95","Saint-François-du-Lac",5,20,8,11,99,22,3,3,171,413
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 96","Sainte-Anne-de-Sorel",4,19,4,3,80,24,0,3,137,430
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 97","Sainte-Anne-de-Sorel",1,8,3,1,82,14,3,1,113,356
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 98","Sainte-Anne-de-Sorel",0,9,4,2,53,25,1,2,96,398
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 99","Sainte-Anne-de-Sorel",2,13,5,2,37,19,1,1,80,250
