Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert M. Bowers,Michelle Ferreri,Joy Lachica,Paul Lawton,Maryam Monsef,Chanté White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 1","Glen Alda",0,69,17,33,35,0,0,154,332
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 2","North Kawartha",0,52,18,18,29,7,2,126,353
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 3","Chandos",1,53,21,32,30,6,0,143,392
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 4","Jack Lake",0,55,19,4,43,2,0,123,401
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 5","North Kawartha",0,77,17,16,35,7,1,153,357
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 6","Cavendish",1,88,34,11,73,2,2,211,413
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 7","Galway",3,146,40,24,99,4,0,316,543
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 8","North Kawartha",0,125,21,20,77,3,1,247,494
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 9","North Kawartha",1,74,14,7,47,5,1,149,246
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 10","Burleigh Falls",0,45,17,9,14,2,0,87,247
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 11","Cordova Mines",1,141,19,17,49,1,2,230,407
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 12","Trent Lakes",0,50,15,7,34,3,0,109,378
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 13","Trent Lakes",0,87,26,9,33,3,0,158,373
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 14","Rockcroft",0,78,21,3,42,6,0,150,479
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 15","Buckhorn",1,67,21,6,76,4,0,175,412
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 16","Buckhorn",1,60,19,13,61,1,0,155,396
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 17","Trent Lakes",0,63,12,2,56,3,2,138,370
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 18","Trent Lakes",1,75,10,1,42,2,0,131,414
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 19","Trent Lakes",1,47,8,3,27,0,1,87,283
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 20","Clarina",0,80,16,2,55,1,1,155,343
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 21","Gilchrist Bay",0,106,25,7,30,4,0,172,383
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 22","McCracken's Landing",1,93,21,1,49,4,0,169,422
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 23","Oak Lake",2,60,11,7,22,3,1,106,312
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 24","Rush Point",0,60,9,18,21,3,0,111,376
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 25","Havelock-Belmont-Methuen",0,64,13,9,16,3,0,105,285
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 26","Havelock-Belmont-Methuen",0,57,18,4,11,3,0,93,346
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 27","Havelock",1,35,16,10,24,3,0,89,366
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 28","Havelock-Belmont-Methuen",1,55,19,6,25,0,0,106,374
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 29","Douro-Dummer",0,79,30,24,31,3,2,169,476
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 30","Havelock-Belmont-Methuen",1,85,19,8,29,5,2,149,380
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 31","Havelock-Belmont-Methuen",1,91,26,4,41,2,1,166,398
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 32","Blairton",1,62,26,20,41,4,0,154,414
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 33","Havelock-Belmont-Methuen",0,61,21,14,31,5,1,133,266
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 34","Young's Point--Kawartha Park",0,74,24,7,43,3,0,151,365
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 35","Young's Point",0,64,22,13,36,3,0,138,368
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 36","Selwyn",0,55,25,7,46,3,0,136,370
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 37","Selwyn",1,117,30,4,48,5,2,207,445
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 38","Selwyn",0,108,34,7,77,2,2,230,462
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 39","Selwyn",1,90,24,10,43,3,1,172,472
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 40","Lakehurst",1,165,30,14,65,8,0,283,541
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 41","Kawartha Hideaway",1,87,18,4,66,5,0,181,497
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 42","Centre Dummer",0,52,17,6,37,4,0,116,305
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 43","Warsaw",0,42,21,7,26,0,0,96,283
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 44","Warsaw",1,52,24,10,29,0,1,117,334
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 45","Cottesloe",0,70,23,5,34,3,0,135,308
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 46","Curve Lake First Nation 35",2,58,42,12,64,2,1,181,376
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 47","Curve Lake First Nation 35",1,32,57,3,74,0,3,170,338
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 48","Curve Lake First Nation 35",2,29,47,3,66,2,1,150,291
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 49","Douro-Dummer",0,32,15,4,21,1,0,73,270
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 50","Douro-Dummer",0,50,7,7,25,3,0,92,248
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 51","Lakefield",0,44,20,3,69,5,0,141,453
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 52","Douro",1,76,22,7,64,6,0,176,431
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 53","Lakefield",1,37,26,3,28,1,0,96,265
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 54","Lakefield",0,46,26,8,67,5,0,152,392
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 55","Lakefield",2,47,16,10,42,5,0,122,317
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 56","Lakefield",0,40,17,4,42,2,0,105,348
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 57","Lakefield",0,54,26,3,31,7,0,121,348
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 58","Lakefield",0,39,28,9,46,2,1,125,321
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 59","Selwyn",0,47,17,12,25,4,1,106,313
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 60","Selwyn",0,82,23,4,38,7,1,155,452
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 61","Selwyn",0,100,29,1,45,2,1,178,428
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 62","Windward Sands",0,80,19,9,41,1,0,150,461
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 63","Young's Cove",0,93,26,3,38,1,0,161,450
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 64","Ennismore",1,84,25,7,46,1,1,165,428
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 65","Ennismore",0,88,30,8,45,3,0,174,445
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 66","Ennismore",1,87,22,6,47,3,1,167,463
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 67","Douro",0,87,23,3,31,3,0,147,292
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 68","Douro",1,69,22,7,36,2,0,137,287
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 69","Douro",0,74,9,3,47,3,2,138,303
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 70","Five Corners",0,120,23,7,52,0,1,203,375
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 71","Bridgenorth",1,70,20,5,46,12,0,154,413
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 72","Bridgenorth",1,69,16,4,74,6,2,172,394
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 73","Bridgenorth",0,84,20,4,39,7,0,154,367
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 74","Bridgenorth",0,71,14,9,57,4,0,155,384
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 75","Selwyn",0,67,30,7,34,3,0,141,339
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 76","Peterborough",1,66,43,10,74,7,2,203,491
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 77","Peterborough",1,55,24,11,40,6,1,138,332
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 78","Peterborough",0,56,30,4,46,4,0,140,292
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 79","Peterborough",1,80,170,9,78,8,2,348,655
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 80","Peterborough",0,56,34,2,45,5,0,142,432
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 81","Youngstown",0,84,24,8,40,2,1,159,445
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 82","Youngstown",1,104,17,3,59,5,2,191,415
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 83","Selwyn",2,124,28,11,61,10,0,236,490
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 84","Selwyn",0,104,15,7,61,2,0,189,400
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 85","Bridgenorth",0,90,15,6,37,7,0,155,447
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 86","Fife's Bay",1,60,9,6,49,2,0,127,379
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 87","Fowlers Corners",0,89,25,10,47,0,0,171,417
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 88","Peterborough",0,69,26,9,76,2,0,182,530
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 89A","Peterborough",0,72,21,4,76,3,0,176,348
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 89B","Peterborough",0,57,39,1,69,4,0,170,330
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 90","Peterborough",0,47,41,6,60,4,2,160,359
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 91","Peterborough",0,86,63,3,97,1,3,253,525
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 92","Peterborough",1,79,48,9,65,1,0,203,509
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 93","Peterborough",2,69,43,6,89,4,0,213,446
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 94","Peterborough",1,69,51,16,89,6,0,232,544
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 95","Peterborough",0,70,52,9,71,8,0,210,560
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 96","Peterborough",0,52,32,3,89,6,0,182,459
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 97","Peterborough",0,55,42,2,67,7,2,175,414
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 98","Peterborough",1,44,28,5,60,3,0,141,407
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 99","Peterborough",1,61,29,11,51,3,0,156,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 100","Peterborough",0,47,32,7,49,3,0,138,424
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 101","Peterborough",1,45,30,8,68,4,0,156,457
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 102","Donwood",3,99,36,11,60,7,1,217,414
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 103","Douro-Dummer",0,43,29,10,48,3,2,135,257
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 104","Douro-Dummer",0,40,23,3,38,4,1,109,228
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 105A","Peterborough",0,49,37,6,55,6,2,155,397
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 105B","Peterborough",0,68,25,4,48,2,0,147,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 106","Peterborough",0,40,33,4,50,2,1,130,387
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 107","Peterborough",1,42,26,7,60,7,2,145,473
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 108","Peterborough",0,35,41,1,34,1,2,114,347
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 109","Peterborough",1,64,40,9,62,1,0,177,431
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 110","Peterborough",1,49,50,10,54,3,1,168,524
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 111","Peterborough",0,55,102,16,57,12,0,242,475
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 112","Peterborough",0,30,54,7,84,10,1,186,354
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 113","Peterborough",0,36,94,10,51,11,0,202,425
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 114","Peterborough",0,50,28,9,46,2,0,135,461
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 115","Peterborough",0,43,38,4,50,2,0,137,505
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 116","Peterborough",0,49,51,5,44,5,0,154,377
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 117","Peterborough",0,54,48,13,55,2,1,173,439
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 118","Peterborough",1,41,49,4,71,7,0,173,404
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 119","Peterborough",0,45,53,5,53,5,1,162,368
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 120","Peterborough",0,42,42,13,47,10,0,154,354
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 121","Peterborough",0,36,49,9,46,6,1,147,343
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 122","Peterborough",1,66,47,4,49,5,0,172,336
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 123","Selwyn",0,95,30,5,52,3,3,188,465
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 124","Peterborough",0,80,45,5,65,8,1,204,541
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 125","Peterborough",0,50,43,6,46,3,0,148,446
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 126","Peterborough",1,68,49,19,65,4,0,206,503
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 127","Fowlers Corners",1,88,22,10,61,3,0,185,414
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 128","Peterborough",0,66,66,6,60,10,1,209,478
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 129","Peterborough",0,43,53,5,67,5,1,174,450
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 130","Peterborough",0,41,52,10,42,7,0,152,471
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 131","Peterborough",0,40,142,3,61,11,1,258,516
