Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rayna Boychuk,Michael Chang,Kaija Farstad,Kim Richter,Tako Van Popta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Langley--Aldergrove/Langley--Aldergrove"," 51","Langley",5,48,6,52,72,0,183,372
59016,"Langley--Aldergrove/Langley--Aldergrove"," 52","Langley",11,41,7,32,63,0,154,372
59016,"Langley--Aldergrove/Langley--Aldergrove"," 53","Langley",18,57,9,70,110,1,265,613
59016,"Langley--Aldergrove/Langley--Aldergrove"," 54A","Langley",3,36,2,42,60,0,143,501
59016,"Langley--Aldergrove/Langley--Aldergrove"," 54B","Langley",7,42,6,42,67,0,164,537
59016,"Langley--Aldergrove/Langley--Aldergrove"," 55","Milner",Void/Supprimé,,,,,,,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 56A","Langley",11,37,2,75,70,0,195,538
59016,"Langley--Aldergrove/Langley--Aldergrove"," 56B","Langley",9,53,5,65,82,1,215,532
59016,"Langley--Aldergrove/Langley--Aldergrove"," 57","Langley",12,66,8,86,107,1,280,681
59016,"Langley--Aldergrove/Langley--Aldergrove"," 58","Langley",3,49,5,56,99,0,212,561
59016,"Langley--Aldergrove/Langley--Aldergrove"," 59","Forest Knolls",Void/Supprimé,,,,,,,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 60","Langley",11,38,5,47,75,2,178,579
59016,"Langley--Aldergrove/Langley--Aldergrove"," 61","Langley",8,55,3,50,53,1,170,465
59016,"Langley--Aldergrove/Langley--Aldergrove"," 62","Langley",11,53,5,85,56,2,212,525
59016,"Langley--Aldergrove/Langley--Aldergrove"," 63","Langley",2,61,2,83,75,0,223,574
59016,"Langley--Aldergrove/Langley--Aldergrove"," 64","Langley",8,46,1,54,93,1,203,426
59016,"Langley--Aldergrove/Langley--Aldergrove"," 65","Langley",15,48,2,50,74,1,190,634
59016,"Langley--Aldergrove/Langley--Aldergrove"," 66","Langley",9,64,7,74,72,0,226,582
59016,"Langley--Aldergrove/Langley--Aldergrove"," 67","Langley",12,49,4,75,104,2,246,595
59016,"Langley--Aldergrove/Langley--Aldergrove"," 68","Langley",13,81,5,78,101,0,278,844
59016,"Langley--Aldergrove/Langley--Aldergrove"," 69","Langley",3,43,6,34,54,1,141,469
59016,"Langley--Aldergrove/Langley--Aldergrove"," 70","Langley",14,78,5,111,100,3,311,844
59016,"Langley--Aldergrove/Langley--Aldergrove"," 71","Langley",8,60,5,79,90,2,244,738
59016,"Langley--Aldergrove/Langley--Aldergrove"," 72","Langley",17,58,7,51,82,0,215,776
59016,"Langley--Aldergrove/Langley--Aldergrove"," 73","Langley",17,48,3,65,72,0,205,567
59016,"Langley--Aldergrove/Langley--Aldergrove"," 74","Langley",14,60,9,51,66,1,201,557
59016,"Langley--Aldergrove/Langley--Aldergrove"," 75","Langley",13,93,19,88,125,0,338,590
59016,"Langley--Aldergrove/Langley--Aldergrove"," 76","Langley",12,36,10,47,128,2,235,536
59016,"Langley--Aldergrove/Langley--Aldergrove"," 77","Langley",10,20,3,35,108,0,176,419
59016,"Langley--Aldergrove/Langley--Aldergrove"," 78","Langley",15,21,6,28,90,0,160,408
59016,"Langley--Aldergrove/Langley--Aldergrove"," 79","Langley",7,17,10,61,92,1,188,420
59016,"Langley--Aldergrove/Langley--Aldergrove"," 80","Langley",8,39,5,58,44,0,154,614
59016,"Langley--Aldergrove/Langley--Aldergrove"," 81","Langley",6,35,5,46,48,0,140,655
59016,"Langley--Aldergrove/Langley--Aldergrove"," 82","Langley",6,25,1,39,68,1,140,496
59016,"Langley--Aldergrove/Langley--Aldergrove"," 83","Langley",9,47,11,55,88,0,210,682
