Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rayna Boychuk,Michael Chang,Kaija Farstad,Kim Richter,Tako Van Popta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Langley--Aldergrove/Langley--Aldergrove"," 505","Mobile poll/Bureau itinérant",1,17,2,31,31,1,83,124
59016,"Langley--Aldergrove/Langley--Aldergrove"," 506","Mobile poll/Bureau itinérant",0,4,2,8,2,1,17,39
59016,"Langley--Aldergrove/Langley--Aldergrove"," 507","Mobile poll/Bureau itinérant",1,4,1,1,1,0,8,13
59016,"Langley--Aldergrove/Langley--Aldergrove"," 508","Mobile poll/Bureau itinérant",4,12,1,11,5,0,33,42
59016,"Langley--Aldergrove/Langley--Aldergrove"," 509","Mobile poll/Bureau itinérant",2,13,1,16,18,1,51,85
59016,"Langley--Aldergrove/Langley--Aldergrove"," 510","Mobile poll/Bureau itinérant",3,5,2,11,6,0,27,29
59016,"Langley--Aldergrove/Langley--Aldergrove"," 511","Mobile poll/Bureau itinérant",2,15,3,21,32,1,74,110
59016,"Langley--Aldergrove/Langley--Aldergrove"," 600","Langley",63,226,20,327,582,6,1224,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 601","Langley",69,351,45,463,719,4,1651,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 602","Langley",62,274,40,400,696,2,1474,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 603","Langley",72,308,32,391,556,3,1362,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 604","Langley",82,240,30,328,478,1,1159,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 605","Langley",62,314,31,524,673,0,1604,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 606","Langley",67,205,42,297,622,3,1236,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 607","Abbotsford",81,68,16,80,358,0,603,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 608","Langley",102,208,27,355,914,3,1609,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 609","Langley",92,211,19,287,767,3,1379,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 610","Langley",111,273,36,344,806,2,1572,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 611","Langley",99,179,31,331,735,0,1375,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 612","Langley",142,174,32,288,802,0,1438,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 613","Langley",98,145,18,199,463,5,928,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 614","Langley",90,184,32,192,460,1,959,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 615","Langley",134,215,34,265,740,8,1396,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 616","Abbotsford",92,156,22,234,458,0,962,
59016,"Langley--Aldergrove/Langley--Aldergrove",,Group 1/Groupe 1, 26,106,15,141,263,33,584,179
59016,"Langley--Aldergrove/Langley--Aldergrove",,Group 2/Groupe 2, 85,735,81,1142,1459,105,3607,
