Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Bogunovic,Arthur Green,DJ Pohl,Mark Strahl,Kelly Velonis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Chilliwack--Hope/Chilliwack--Hope"," 1","Chilliwack",10,7,40,67,11,0,135,427
59006,"Chilliwack--Hope/Chilliwack--Hope"," 2","Chilliwack",12,7,63,74,23,0,179,528
59006,"Chilliwack--Hope/Chilliwack--Hope"," 3","Chilliwack",16,3,36,73,17,0,145,489
59006,"Chilliwack--Hope/Chilliwack--Hope"," 4","Chilliwack",11,2,28,71,13,0,125,447
59006,"Chilliwack--Hope/Chilliwack--Hope"," 5","Chilliwack",7,7,70,78,14,0,176,528
59006,"Chilliwack--Hope/Chilliwack--Hope"," 6","Chilliwack",6,9,45,76,30,1,167,552
59006,"Chilliwack--Hope/Chilliwack--Hope"," 7","Chilliwack",7,5,52,105,31,0,200,662
59006,"Chilliwack--Hope/Chilliwack--Hope"," 8","Skway 5",9,2,53,68,17,0,149,591
59006,"Chilliwack--Hope/Chilliwack--Hope"," 9","Chilliwack",3,2,39,59,33,1,137,554
59006,"Chilliwack--Hope/Chilliwack--Hope"," 10","Chilliwack",8,2,17,45,21,0,93,359
59006,"Chilliwack--Hope/Chilliwack--Hope"," 11","Kwawkwawapilt 6",3,0,23,15,22,0,63,304
59006,"Chilliwack--Hope/Chilliwack--Hope"," 12","Chilliwack",11,7,46,76,17,0,157,484
59006,"Chilliwack--Hope/Chilliwack--Hope"," 13","Chilliwack",17,4,24,51,29,1,126,482
59006,"Chilliwack--Hope/Chilliwack--Hope"," 14","Chilliwack",14,4,36,35,12,0,101,396
59006,"Chilliwack--Hope/Chilliwack--Hope"," 15A","Chilliwack",12,7,55,42,18,0,134,565
59006,"Chilliwack--Hope/Chilliwack--Hope"," 15B","Chilliwack",11,5,53,48,28,1,146,574
59006,"Chilliwack--Hope/Chilliwack--Hope"," 16","Chilliwack",8,1,34,59,20,0,122,380
59006,"Chilliwack--Hope/Chilliwack--Hope"," 17","Chilliwack",13,4,77,52,31,0,177,513
59006,"Chilliwack--Hope/Chilliwack--Hope"," 18","Chilliwack",14,2,37,35,21,0,109,383
59006,"Chilliwack--Hope/Chilliwack--Hope"," 19","Chilliwack",11,5,58,62,31,1,168,577
59006,"Chilliwack--Hope/Chilliwack--Hope"," 20","Chilliwack",13,5,63,52,22,0,155,550
59006,"Chilliwack--Hope/Chilliwack--Hope"," 21","Chilliwack",5,2,41,31,24,1,104,451
59006,"Chilliwack--Hope/Chilliwack--Hope"," 22","Chilliwack",2,2,34,28,19,1,86,439
59006,"Chilliwack--Hope/Chilliwack--Hope"," 23","Chilliwack",14,3,63,55,31,1,167,583
59006,"Chilliwack--Hope/Chilliwack--Hope"," 24","Chilliwack",28,11,68,45,27,2,181,510
