Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Benoit Bourassa,Ariane Croteau,Jean-Denis Garon,Mario Guay,Catherine Lefebvre,François Loza,Christian Montpetit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Mirabel/Mirabel"," 192","Pointe-Calumet",7,4,66,3,22,17,7,6,132,294
24048,"Mirabel/Mirabel"," 193","Pointe-Calumet",4,3,45,6,20,26,14,6,124,402
24048,"Mirabel/Mirabel"," 194","Pointe-Calumet",8,2,49,1,23,31,3,0,117,325
24048,"Mirabel/Mirabel"," 195","Saint-Placide",11,0,78,3,25,23,8,2,150,388
24048,"Mirabel/Mirabel"," 196","Saint-Placide",14,2,93,6,26,36,5,3,185,403
24048,"Mirabel/Mirabel"," 197","Saint-Placide",20,3,61,5,13,19,12,2,135,360
24048,"Mirabel/Mirabel"," 198","Saint-Placide",12,6,66,1,12,33,5,5,140,339
24048,"Mirabel/Mirabel"," 199","Oka",10,4,63,8,22,31,6,3,147,332
24048,"Mirabel/Mirabel"," 200","Oka",20,3,70,5,25,33,2,0,158,373
24048,"Mirabel/Mirabel"," 201","Oka",11,2,65,2,18,35,7,0,140,269
24048,"Mirabel/Mirabel"," 202","Oka",16,0,67,2,21,25,9,3,143,364
24048,"Mirabel/Mirabel"," 203","Oka",10,2,63,7,19,22,11,2,136,307
24048,"Mirabel/Mirabel"," 204","Oka",12,3,73,5,17,27,4,3,144,395
24048,"Mirabel/Mirabel"," 205","Oka",19,4,68,4,18,36,6,3,158,491
24048,"Mirabel/Mirabel"," 206","Oka",20,3,22,2,18,38,3,1,107,580
24048,"Mirabel/Mirabel"," 207","Pointe-aux-Anglais--Oka",21,2,87,4,29,36,3,2,184,305
24048,"Mirabel/Mirabel"," 208","Oka",15,0,38,5,11,30,9,6,114,447
24048,"Mirabel/Mirabel"," 209","Sainte-Anne-des-Plaines",18,3,67,3,11,39,6,2,149,439
24048,"Mirabel/Mirabel"," 210","Mirabel",13,2,65,3,16,37,1,3,140,397
24048,"Mirabel/Mirabel"," 211","Mirabel",23,5,54,8,28,40,9,4,171,480
24048,"Mirabel/Mirabel"," 212","Mirabel",25,1,39,2,26,61,8,1,163,561
24048,"Mirabel/Mirabel"," 213","Mirabel",23,4,79,2,28,59,8,2,205,593
24048,"Mirabel/Mirabel"," 214","Mirabel",36,3,67,2,32,40,20,3,203,593
24048,"Mirabel/Mirabel"," 215","Mirabel",18,4,38,0,16,28,6,1,111,384
24048,"Mirabel/Mirabel"," 216A","Mirabel",37,3,64,6,33,30,9,6,188,437
24048,"Mirabel/Mirabel"," 216B","Mirabel",14,1,48,4,15,30,9,2,123,304
24048,"Mirabel/Mirabel"," 217","Sainte-Marthe-sur-le-Lac",28,3,92,2,44,69,9,1,248,515
24048,"Mirabel/Mirabel"," 218","Sainte-Marthe-sur-le-Lac",12,3,88,2,31,104,7,3,250,479
24048,"Mirabel/Mirabel"," 500","Mobile poll/Bureau itinérant",3,2,32,1,9,29,0,5,81,101
24048,"Mirabel/Mirabel"," 501","Mobile poll/Bureau itinérant",3,0,19,1,5,24,1,3,56,65
24048,"Mirabel/Mirabel"," 502","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,33
24048,"Mirabel/Mirabel"," 503","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,7
24048,"Mirabel/Mirabel"," 504","Mirabel",Merged with No./Fusionné avec le n°70,,,,,,,,,27
24048,"Mirabel/Mirabel"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24048,"Mirabel/Mirabel"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24048,"Mirabel/Mirabel"," 507","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,48
24048,"Mirabel/Mirabel"," 508","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,28
24048,"Mirabel/Mirabel"," 509","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24048,"Mirabel/Mirabel"," 510","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,8
24048,"Mirabel/Mirabel"," 511","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,21
24048,"Mirabel/Mirabel"," 512","Sainte-Marthe-sur-le-Lac",Merged with No./Fusionné avec le n°160,,,,,,,,,6
24048,"Mirabel/Mirabel"," 513","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,22
