Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jermaine Chambers,Gurprit Gill,Kamal Khera,Sivakumar Ramasamy,Rahul Samuel Zia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton West/Brampton-Ouest"," 1","Brampton",57,22,139,0,0,1,219,462
35012,"Brampton West/Brampton-Ouest"," 2","Brampton",65,27,135,2,6,3,238,505
35012,"Brampton West/Brampton-Ouest"," 3","Brampton",52,27,170,0,7,2,258,462
35012,"Brampton West/Brampton-Ouest"," 4","Brampton",57,29,97,1,4,1,189,477
35012,"Brampton West/Brampton-Ouest"," 5","Brampton",47,40,116,0,10,4,217,452
35012,"Brampton West/Brampton-Ouest"," 6","Brampton",50,20,116,1,2,0,189,449
35012,"Brampton West/Brampton-Ouest"," 7","Brampton",61,31,112,3,2,0,209,452
35012,"Brampton West/Brampton-Ouest"," 8","Brampton",44,21,95,1,5,0,166,440
35012,"Brampton West/Brampton-Ouest"," 9","Brampton",41,21,58,0,2,0,122,398
35012,"Brampton West/Brampton-Ouest"," 10","Brampton",30,25,71,0,5,0,131,445
35012,"Brampton West/Brampton-Ouest"," 11","Brampton",41,21,97,0,3,0,162,470
35012,"Brampton West/Brampton-Ouest"," 12","Brampton",46,20,75,3,3,0,147,440
35012,"Brampton West/Brampton-Ouest"," 13","Brampton",36,12,67,1,9,0,125,434
35012,"Brampton West/Brampton-Ouest"," 14","Brampton",47,13,53,0,3,2,118,386
35012,"Brampton West/Brampton-Ouest"," 15","Brampton",38,36,98,0,4,0,176,536
35012,"Brampton West/Brampton-Ouest"," 16A","Brampton",50,24,136,2,6,0,218,586
35012,"Brampton West/Brampton-Ouest"," 16B","Brampton",56,18,116,1,3,1,195,593
35012,"Brampton West/Brampton-Ouest"," 16C","Brampton",39,21,111,3,1,0,175,503
35012,"Brampton West/Brampton-Ouest"," 17","Brampton",46,19,94,0,2,2,163,462
35012,"Brampton West/Brampton-Ouest"," 18","Brampton",42,27,88,2,1,4,164,428
35012,"Brampton West/Brampton-Ouest"," 19","Brampton",31,26,76,1,5,0,139,434
35012,"Brampton West/Brampton-Ouest"," 20","Brampton",28,18,120,1,6,0,173,445
35012,"Brampton West/Brampton-Ouest"," 21","Brampton",51,33,93,0,4,2,183,472
35012,"Brampton West/Brampton-Ouest"," 22","Brampton",51,18,73,3,1,1,147,424
35012,"Brampton West/Brampton-Ouest"," 23","Brampton",48,38,120,1,5,2,214,454
35012,"Brampton West/Brampton-Ouest"," 24","Brampton",41,31,93,1,4,1,171,434
35012,"Brampton West/Brampton-Ouest"," 25","Brampton",41,25,73,0,1,0,140,437
35012,"Brampton West/Brampton-Ouest"," 26","Brampton",48,15,70,3,2,0,138,448
35012,"Brampton West/Brampton-Ouest"," 27","Brampton",49,21,72,1,5,0,148,457
