Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Viviane LaPointe,Colette Andréa Methé,J. David Popescu,David Robert Robinson,Ian Symington,Nadia Verrelli,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"Sudbury/Sudbury"," 1","Greater Sudbury / Grand Sudbury",68,5,2,1,36,46,0,158,444
35103,"Sudbury/Sudbury"," 2","Greater Sudbury / Grand Sudbury",83,10,0,1,55,51,0,200,509
35103,"Sudbury/Sudbury"," 3","Greater Sudbury / Grand Sudbury",47,8,0,3,40,56,0,154,501
35103,"Sudbury/Sudbury"," 4","Greater Sudbury / Grand Sudbury",50,6,0,3,41,34,1,135,388
35103,"Sudbury/Sudbury"," 5","Greater Sudbury / Grand Sudbury",68,10,0,1,65,47,1,192,595
35103,"Sudbury/Sudbury"," 6","Greater Sudbury / Grand Sudbury",44,8,0,1,35,48,0,136,437
35103,"Sudbury/Sudbury"," 7","Greater Sudbury / Grand Sudbury",67,7,0,9,45,52,1,181,381
35103,"Sudbury/Sudbury"," 8","Greater Sudbury / Grand Sudbury",66,15,0,3,57,67,0,208,439
35103,"Sudbury/Sudbury"," 9","Greater Sudbury / Grand Sudbury",34,3,0,3,37,28,0,105,325
35103,"Sudbury/Sudbury"," 10","Greater Sudbury / Grand Sudbury",76,14,1,4,109,74,0,278,618
35103,"Sudbury/Sudbury"," 11","Greater Sudbury / Grand Sudbury",53,13,1,1,50,44,3,165,418
35103,"Sudbury/Sudbury"," 12","Greater Sudbury / Grand Sudbury",40,8,0,4,31,46,2,131,325
35103,"Sudbury/Sudbury"," 13","Greater Sudbury / Grand Sudbury",44,7,0,4,21,33,22,131,399
35103,"Sudbury/Sudbury"," 14","Greater Sudbury / Grand Sudbury",59,11,0,6,64,51,1,192,429
35103,"Sudbury/Sudbury"," 15","Greater Sudbury / Grand Sudbury",61,15,0,2,24,56,2,160,373
35103,"Sudbury/Sudbury"," 16","Greater Sudbury / Grand Sudbury",34,18,0,5,17,48,1,123,369
35103,"Sudbury/Sudbury"," 17","Greater Sudbury / Grand Sudbury",46,3,0,1,29,41,1,121,382
35103,"Sudbury/Sudbury"," 18","Greater Sudbury / Grand Sudbury",16,8,0,0,18,41,0,83,340
35103,"Sudbury/Sudbury"," 19","Greater Sudbury / Grand Sudbury",55,15,0,4,57,52,0,183,513
