Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bergeron,Natasha Hynes,Marie-Ève Pelchat,Julie Sauvageau,Djaouida Sellah,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24049,"Montarville/Montarville"," 1","Sainte-Julie",71,12,43,14,12,5,157,366
24049,"Montarville/Montarville"," 2","Sainte-Julie",116,6,61,27,31,3,244,469
24049,"Montarville/Montarville"," 3","Sainte-Julie",142,3,59,14,15,2,235,492
24049,"Montarville/Montarville"," 4","Sainte-Julie",128,5,47,8,22,0,210,423
24049,"Montarville/Montarville"," 5","Sainte-Julie",101,3,45,12,12,5,178,406
24049,"Montarville/Montarville"," 6","Sainte-Julie",117,8,47,19,18,1,210,422
24049,"Montarville/Montarville"," 7","Sainte-Julie",88,7,52,11,21,3,182,427
24049,"Montarville/Montarville"," 8","Sainte-Julie",90,5,46,19,18,3,181,481
24049,"Montarville/Montarville"," 9","Sainte-Julie",71,4,29,11,8,2,125,299
24049,"Montarville/Montarville"," 10","Sainte-Julie",112,2,56,19,10,5,204,469
24049,"Montarville/Montarville"," 11","Sainte-Julie",93,3,59,10,9,3,177,418
24049,"Montarville/Montarville"," 12","Sainte-Julie",125,1,35,12,10,5,188,437
24049,"Montarville/Montarville"," 13","Sainte-Julie",87,4,35,13,8,0,147,345
24049,"Montarville/Montarville"," 14","Sainte-Julie",58,4,31,6,10,3,112,274
24049,"Montarville/Montarville"," 15A","Sainte-Julie",99,13,56,22,15,7,212,510
24049,"Montarville/Montarville"," 15B","Sainte-Julie",172,1,215,32,1,7,428,538
24049,"Montarville/Montarville"," 16A","Sainte-Julie",94,6,69,20,15,2,206,432
24049,"Montarville/Montarville"," 16B","Sainte-Julie",113,6,71,23,4,4,221,369
24049,"Montarville/Montarville"," 17","Sainte-Julie",106,6,51,8,12,5,188,435
24049,"Montarville/Montarville"," 18","Sainte-Julie",91,6,52,16,14,3,182,393
24049,"Montarville/Montarville"," 19","Sainte-Julie",110,7,53,19,26,4,219,471
24049,"Montarville/Montarville"," 20","Sainte-Julie",110,5,61,9,12,3,200,488
24049,"Montarville/Montarville"," 21","Sainte-Julie",95,7,56,13,20,6,197,444
24049,"Montarville/Montarville"," 22","Sainte-Julie",84,6,50,9,20,2,171,438
24049,"Montarville/Montarville"," 23","Sainte-Julie",80,1,41,14,21,2,159,388
24049,"Montarville/Montarville"," 24","Sainte-Julie",82,2,44,20,18,2,168,376
24049,"Montarville/Montarville"," 25","Sainte-Julie",72,6,44,18,5,3,148,351
24049,"Montarville/Montarville"," 26","Sainte-Julie",83,7,38,19,13,3,163,403
24049,"Montarville/Montarville"," 27","Sainte-Julie",97,2,41,12,12,7,171,392
24049,"Montarville/Montarville"," 28","Sainte-Julie",69,0,55,10,12,2,148,318
24049,"Montarville/Montarville"," 29","Sainte-Julie",86,1,34,17,14,2,154,336
24049,"Montarville/Montarville"," 30","Sainte-Julie",81,8,51,6,13,3,162,369
24049,"Montarville/Montarville"," 31","Sainte-Julie",116,2,45,14,12,0,189,442
24049,"Montarville/Montarville"," 32","Sainte-Julie",84,4,38,6,8,3,143,355
24049,"Montarville/Montarville"," 33","Sainte-Julie",97,3,48,19,18,3,188,393
24049,"Montarville/Montarville"," 34","Sainte-Julie",133,4,41,14,13,4,209,397
24049,"Montarville/Montarville"," 35","Sainte-Julie",129,2,91,31,26,4,283,494
24049,"Montarville/Montarville"," 36","Sainte-Julie",110,3,117,33,26,2,291,517
24049,"Montarville/Montarville"," 37","Sainte-Julie",106,3,78,12,24,4,227,463
24049,"Montarville/Montarville"," 38","Sainte-Julie",92,2,89,21,21,7,232,421
24049,"Montarville/Montarville"," 39","Sainte-Julie",89,2,91,12,14,6,214,391
24049,"Montarville/Montarville"," 40","Sainte-Julie",121,6,77,16,24,5,249,532
24049,"Montarville/Montarville"," 41","Sainte-Julie",139,3,75,32,22,9,280,587
24049,"Montarville/Montarville"," 42","Sainte-Julie",116,7,57,19,25,3,227,437
24049,"Montarville/Montarville"," 43","Sainte-Julie",91,5,46,11,12,6,171,387
24049,"Montarville/Montarville"," 44","Sainte-Julie",82,6,49,15,20,5,177,398
24049,"Montarville/Montarville"," 45","Sainte-Julie",74,5,57,18,12,0,166,441
24049,"Montarville/Montarville"," 46","Sainte-Julie",57,6,36,19,14,1,133,341
24049,"Montarville/Montarville"," 47","Sainte-Julie",46,1,45,10,12,2,116,383
24049,"Montarville/Montarville"," 48","Sainte-Julie",73,6,37,14,13,3,146,419
24049,"Montarville/Montarville"," 49","Sainte-Julie",85,4,47,14,10,3,163,547
24049,"Montarville/Montarville"," 50","Sainte-Julie",81,1,33,14,15,2,146,398
24049,"Montarville/Montarville"," 51","Sainte-Julie",65,2,27,12,7,3,116,358
24049,"Montarville/Montarville"," 52","Sainte-Julie",78,0,63,12,15,2,170,404
24049,"Montarville/Montarville"," 53","Sainte-Julie",95,2,46,24,11,2,180,431
