Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Falk,Nöel Gautron,Janine G. Gibson,Trevor Kirczenow,Rick Loewen,Serina Pottinger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 607","Taché",470,130,24,237,8,168,2,1039,
46008,"Provencher/Provencher"," 608","Ile des Chênes",376,124,23,181,4,125,5,838,
46008,"Provencher/Provencher"," 609","St. Adolphe--Ste. Agathe",235,67,8,86,13,65,3,477,
46008,"Provencher/Provencher"," 610","Niverville--Hanover",560,211,19,135,32,112,3,1072,
46008,"Provencher/Provencher"," 611","Mitchell--Blumenort",335,280,5,37,16,30,4,707,
46008,"Provencher/Provencher"," 612","Steinbach",784,307,27,152,74,82,3,1429,
46008,"Provencher/Provencher"," 613","Steinbach",920,349,37,150,80,135,8,1679,
46008,"Provencher/Provencher"," 614","Grunthal",253,261,3,19,11,18,1,566,
46008,"Provencher/Provencher"," 615","La Broquerie",270,265,11,64,8,36,1,655,
46008,"Provencher/Provencher"," 616","Piney",121,57,6,29,2,13,8,236,
46008,"Provencher/Provencher"," 617","De Salaberry--St. Malo",315,137,10,141,13,71,6,693,
46008,"Provencher/Provencher"," 618","Dominion City--Roseau River 2",107,58,3,33,6,23,0,230,
46008,"Provencher/Provencher",,Group 1/Groupe 1, 146,38,7,53,6,49,19,318,82
46008,"Provencher/Provencher",,Group 2/Groupe 2, 599,189,28,361,54,170,49,1450,
