Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Krystal Brooks,Adam Chambers,Janet-Lynne Durnford,Russ Emo,Stephen Makk,Cynthia Wesley-Esquimaux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Simcoe North/Simcoe-Nord"," 1","Severn",4,53,9,0,12,18,0,96,274
35100,"Simcoe North/Simcoe-Nord"," 2","Tiny",1,40,9,0,14,24,0,88,309
35100,"Simcoe North/Simcoe-Nord"," 3","Tiny",3,35,13,0,5,34,0,90,334
35100,"Simcoe North/Simcoe-Nord"," 4","Tiny",4,50,23,0,14,48,0,139,401
35100,"Simcoe North/Simcoe-Nord"," 5","Penetanguishene",5,50,20,0,3,41,0,119,342
35100,"Simcoe North/Simcoe-Nord"," 6","Penetanguishene",3,31,10,0,4,29,1,78,314
35100,"Simcoe North/Simcoe-Nord"," 7","Penetanguishene",3,34,24,0,5,40,0,106,361
35100,"Simcoe North/Simcoe-Nord"," 8","Penetanguishene",5,31,20,0,16,29,0,101,326
35100,"Simcoe North/Simcoe-Nord"," 9","Penetanguishene",4,86,33,0,23,57,0,203,578
35100,"Simcoe North/Simcoe-Nord"," 10","Penetanguishene",8,37,28,0,15,37,1,126,359
35100,"Simcoe North/Simcoe-Nord"," 11","Severn",6,125,34,0,33,38,0,236,453
35100,"Simcoe North/Simcoe-Nord"," 12","Severn",10,150,22,0,18,63,0,263,535
35100,"Simcoe North/Simcoe-Nord"," 13","Severn",5,92,31,0,11,34,0,173,466
35100,"Simcoe North/Simcoe-Nord"," 14","Severn",2,95,17,0,10,32,0,156,365
35100,"Simcoe North/Simcoe-Nord"," 15","Severn",3,60,14,0,6,32,0,115,336
35100,"Simcoe North/Simcoe-Nord"," 16","Severn",6,65,19,0,12,47,1,150,338
35100,"Simcoe North/Simcoe-Nord"," 17","Severn",7,74,21,1,15,28,0,146,387
35100,"Simcoe North/Simcoe-Nord"," 18","Severn",12,98,45,1,27,68,0,251,702
35100,"Simcoe North/Simcoe-Nord"," 19","Severn",10,48,36,0,26,38,1,159,409
35100,"Simcoe North/Simcoe-Nord"," 20","Ramara",3,151,37,0,27,67,1,286,569
35100,"Simcoe North/Simcoe-Nord"," 21","Ramara",13,79,31,0,18,69,4,214,379
35100,"Simcoe North/Simcoe-Nord"," 22","Ramara",10,50,27,0,10,39,1,137,301
