Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Henry,Jeremy Hull,Kevin Mitchell,Sudit Ranade,Lianne Rood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 51","Lambton Shores",44,6,24,36,75,1,186,452
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 52","Lambton Shores",44,4,14,23,53,0,138,419
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 53","Lambton Shores",48,3,20,28,53,0,152,388
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 54","Lambton Shores",42,2,9,23,63,0,139,409
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 55","Lambton Shores",37,4,16,31,73,0,161,483
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 56","Warwick",30,1,17,20,74,0,142,412
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 57","Lambton Shores",38,5,8,32,55,0,138,393
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 58","Lambton Shores",32,4,11,35,77,0,159,370
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 59","Middlesex Centre",19,1,13,26,79,0,138,293
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 60","Middlesex Centre",31,3,17,59,107,1,218,419
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 61","Middlesex Centre",32,6,23,44,90,2,197,328
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 62","Middlesex Centre",41,5,17,58,77,1,199,332
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 63","Middlesex Centre",16,4,10,41,68,1,140,451
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 64","Lambton Shores",49,2,29,39,153,1,273,532
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 65","Lambton Shores",33,3,37,39,159,1,272,488
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 66","Adelaide-Metcalfe",25,3,16,34,86,2,166,400
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 67","Adelaide-Metcalfe",23,3,10,34,80,0,150,378
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 68","Adelaide-Metcalfe",25,1,13,14,72,0,125,353
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 69","Strathroy",46,4,15,55,127,1,248,613
