Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Henry,Jeremy Hull,Kevin Mitchell,Sudit Ranade,Lianne Rood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 208","Chatham-Kent",Merged with No./Fusionné avec le n°201,,,,,,,316
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 209","Chatham-Kent",18,3,21,41,63,0,146,366
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 210","Chatham-Kent",28,3,14,38,58,3,144,357
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 211","Chatham-Kent",16,0,16,41,90,2,165,383
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 400","Chatham-Kent",Merged with No./Fusionné avec le n°188,,,,,,,178
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 500","Mobile poll/Bureau itinérant",0,0,0,6,14,0,20,87
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 501","Mobile poll/Bureau itinérant",6,0,2,13,13,0,34,61
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 502","Mobile poll/Bureau itinérant",3,0,2,8,11,1,25,62
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 503","Mobile poll/Bureau itinérant",1,0,1,4,6,0,12,107
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 504","Mobile poll/Bureau itinérant",1,0,0,3,7,1,12,24
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 505","Mobile poll/Bureau itinérant",3,1,2,8,3,1,18,31
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 506","Mobile poll/Bureau itinérant",4,1,1,7,3,0,16,31
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°80,,,,,,,105
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 508","Mobile poll/Bureau itinérant",8,1,2,11,12,0,34,77
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 509","Mobile poll/Bureau itinérant",5,2,4,9,8,0,28,64
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°76,,,,,,,84
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 511","Mobile poll/Bureau itinérant",4,4,2,24,20,3,57,164
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 512","Mobile poll/Bureau itinérant",0,1,1,8,18,1,29,45
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 513","Mobile poll/Bureau itinérant",4,0,0,9,8,3,24,50
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 514","Mobile poll/Bureau itinérant",0,2,3,3,4,1,13,37
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 515","Mobile poll/Bureau itinérant",1,0,1,3,11,0,16,37
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 516","Mobile poll/Bureau itinérant",1,1,0,1,20,1,24,48
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 517","Mobile poll/Bureau itinérant",3,2,1,7,11,0,24,96
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 518","Mobile poll/Bureau itinérant",4,1,2,16,23,0,46,49
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°29,,,,,,,5
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 600","Forest--Lambton Shores",197,11,70,216,579,2,1075,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 601","Lambton Shores",176,14,41,236,469,3,939,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 602","Lambton Shores",93,5,39,157,426,4,724,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 603","North Middlesex",121,5,80,130,534,2,872,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 604","Lucan",195,11,91,267,728,10,1302,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 605","Ilderton",97,17,44,199,371,5,733,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 606","Ilderton",86,16,71,192,465,4,834,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 607","Komoka",184,18,152,386,676,3,1419,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 608","Strathroy",190,19,91,309,746,7,1362,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 609","Watford",123,14,144,132,413,2,828,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 610","Strathroy",241,20,107,313,622,21,1324,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 611","Strathroy",199,15,126,248,618,9,1215,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 612","Mount Brydges",173,20,102,232,598,10,1135,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 613","Komoka",Merged with no. 607/Fusionné avec le n° 607,,,,,,,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 614","Delaware",133,15,60,140,371,6,725,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 615","Glencoe",145,22,147,223,571,11,1119,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 616","Thamesville",99,9,155,143,491,4,901,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 617","Dresden",133,13,257,189,665,9,1266,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 618","Wallaceburg",78,6,101,96,301,6,588,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 619","Chatham-Kent",158,14,166,130,412,1,881,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 620","Walpole Island 46",59,0,1,6,1,1,68,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 621","Wallaceburg",116,4,115,111,362,7,715,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 622","Grande Pointe",63,17,104,133,423,1,741,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 623","Chippewas of the Thames First Nation 42",89,3,4,18,5,0,119,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex",,Group 1/Groupe 1, 104,3,32,77,153,38,407,139
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex",,Group 2/Groupe 2, 378,41,175,500,893,60,2047,
