Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Glenn Etchegary,Dana Metcalfe,Mary Shortall,Joanne Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 71","St. John's",16,4,41,55,0,116,348
10006,"St. John's East/St. John's-Est"," 72","St. John's",24,2,71,67,0,164,457
10006,"St. John's East/St. John's-Est"," 73","St. John's",35,5,60,61,1,162,431
10006,"St. John's East/St. John's-Est"," 74","St. John's",34,3,52,55,0,144,384
10006,"St. John's East/St. John's-Est"," 75","St. John's",31,0,69,79,0,179,497
10006,"St. John's East/St. John's-Est"," 76","St. John's",25,8,66,66,2,167,529
10006,"St. John's East/St. John's-Est"," 77","St. John's",12,8,59,30,1,110,312
10006,"St. John's East/St. John's-Est"," 78","St. John's",13,0,62,44,3,122,452
10006,"St. John's East/St. John's-Est"," 79","St. John's",33,2,46,58,0,139,366
10006,"St. John's East/St. John's-Est"," 80","St. John's",11,1,25,29,0,66,331
10006,"St. John's East/St. John's-Est"," 81","St. John's",14,2,55,99,0,170,491
10006,"St. John's East/St. John's-Est"," 82","St. John's",20,1,49,83,2,155,387
10006,"St. John's East/St. John's-Est"," 83","St. John's",17,3,50,82,2,154,447
10006,"St. John's East/St. John's-Est"," 84","St. John's",29,2,54,97,1,183,468
10006,"St. John's East/St. John's-Est"," 85","St. John's",30,2,88,112,2,234,504
10006,"St. John's East/St. John's-Est"," 86","St. John's",15,6,83,39,1,144,352
10006,"St. John's East/St. John's-Est"," 87","St. John's",14,6,106,56,0,182,437
10006,"St. John's East/St. John's-Est"," 88","St. John's",16,3,92,86,1,198,458
10006,"St. John's East/St. John's-Est"," 89","St. John's",7,2,89,49,1,148,340
10006,"St. John's East/St. John's-Est"," 90","Portugal Cove-St. Philip's",61,8,68,77,0,214,510
10006,"St. John's East/St. John's-Est"," 91","Portugal Cove-St. Philip's",60,6,75,87,3,231,563
10006,"St. John's East/St. John's-Est"," 92","Portugal Cove-St. Philip's",40,12,85,72,1,210,485
10006,"St. John's East/St. John's-Est"," 93","Portugal Cove-St. Philip's",40,6,77,69,5,197,558
10006,"St. John's East/St. John's-Est"," 94","Portugal Cove-St. Philip's",26,10,43,62,1,142,425
