Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jesse Halmo,Raj Jessel,Tom Kmiec,Andrea Lee,Cam Macdonald,Konstantine Muirhead,Evelyn Tanaka,Ron Vaillant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Calgary Shepard/Calgary Shepard"," 1","Calgary",0,27,77,0,25,1,2,7,3,142,366
48011,"Calgary Shepard/Calgary Shepard"," 2","Calgary",0,42,86,4,11,2,1,19,3,168,600
48011,"Calgary Shepard/Calgary Shepard"," 3","Calgary",0,29,72,0,26,0,2,10,0,139,378
48011,"Calgary Shepard/Calgary Shepard"," 4","Calgary",0,32,74,2,42,2,4,13,1,170,572
48011,"Calgary Shepard/Calgary Shepard"," 5","Calgary",0,32,84,2,31,2,5,20,0,176,515
48011,"Calgary Shepard/Calgary Shepard"," 6","Calgary",0,50,120,3,20,1,6,11,3,214,557
48011,"Calgary Shepard/Calgary Shepard"," 7","Calgary",0,49,100,4,31,0,3,14,0,201,546
48011,"Calgary Shepard/Calgary Shepard"," 8","Calgary",0,30,84,0,18,0,6,14,0,152,389
48011,"Calgary Shepard/Calgary Shepard"," 9","Calgary",0,27,64,1,18,0,2,12,2,126,331
48011,"Calgary Shepard/Calgary Shepard"," 10","Calgary",0,28,97,3,27,1,2,15,1,174,444
48011,"Calgary Shepard/Calgary Shepard"," 11","Calgary",0,29,80,1,26,3,5,9,2,155,487
48011,"Calgary Shepard/Calgary Shepard"," 12","Calgary",2,48,84,5,44,2,3,16,5,209,444
48011,"Calgary Shepard/Calgary Shepard"," 13","Calgary",0,42,82,1,29,0,8,19,1,182,513
48011,"Calgary Shepard/Calgary Shepard"," 14","Calgary",0,38,100,4,26,1,4,12,0,185,428
48011,"Calgary Shepard/Calgary Shepard"," 15","Calgary",0,37,111,2,30,1,4,13,0,198,481
48011,"Calgary Shepard/Calgary Shepard"," 16","Calgary",0,33,100,6,43,0,5,6,3,196,517
48011,"Calgary Shepard/Calgary Shepard"," 17","Calgary",1,30,95,2,29,1,9,10,1,178,535
48011,"Calgary Shepard/Calgary Shepard"," 18","Calgary",0,37,96,4,39,0,3,15,1,195,525
48011,"Calgary Shepard/Calgary Shepard"," 19","Calgary",1,28,84,2,27,0,4,10,2,158,408
48011,"Calgary Shepard/Calgary Shepard"," 20","Calgary",0,34,78,3,35,1,4,13,5,173,510
48011,"Calgary Shepard/Calgary Shepard"," 21","Calgary",0,22,44,3,26,1,3,10,1,110,372
48011,"Calgary Shepard/Calgary Shepard"," 22","Calgary",0,29,62,2,16,0,3,20,0,132,472
48011,"Calgary Shepard/Calgary Shepard"," 23","Calgary",1,29,71,3,10,1,3,13,0,131,409
48011,"Calgary Shepard/Calgary Shepard"," 24","Calgary",0,43,114,5,22,1,3,12,0,200,609
48011,"Calgary Shepard/Calgary Shepard"," 25","Calgary",1,19,67,0,17,0,5,10,0,119,428
48011,"Calgary Shepard/Calgary Shepard"," 26","Calgary",0,30,78,3,20,0,6,10,1,148,280
48011,"Calgary Shepard/Calgary Shepard"," 27","Calgary",Merged with No./Fusionné avec le n°26,,,,,,,,,,217
48011,"Calgary Shepard/Calgary Shepard"," 28","Calgary",0,44,131,2,26,2,6,23,0,234,503
48011,"Calgary Shepard/Calgary Shepard"," 29","Calgary",0,44,110,2,34,1,7,26,1,225,571
48011,"Calgary Shepard/Calgary Shepard"," 30","Calgary",0,36,78,3,21,2,6,14,3,163,417
48011,"Calgary Shepard/Calgary Shepard"," 31","Calgary",0,51,98,0,25,5,7,10,1,197,487
48011,"Calgary Shepard/Calgary Shepard"," 32","Calgary",1,33,97,1,16,1,7,13,0,169,444
48011,"Calgary Shepard/Calgary Shepard"," 33","Calgary",3,42,82,1,24,2,6,9,1,170,422
48011,"Calgary Shepard/Calgary Shepard"," 34","Calgary",1,26,75,1,22,1,12,17,0,155,472
48011,"Calgary Shepard/Calgary Shepard"," 35","Calgary",0,49,89,4,26,0,2,16,1,187,542
48011,"Calgary Shepard/Calgary Shepard"," 36","Calgary",0,62,94,2,21,1,3,14,0,197,470
48011,"Calgary Shepard/Calgary Shepard"," 37","Calgary",0,46,97,1,42,0,5,8,1,200,536
48011,"Calgary Shepard/Calgary Shepard"," 38","Calgary",0,28,92,3,22,1,2,10,0,158,357
48011,"Calgary Shepard/Calgary Shepard"," 39","Calgary",1,51,108,5,27,0,4,15,4,215,512
48011,"Calgary Shepard/Calgary Shepard"," 40","Calgary",0,49,107,1,19,1,5,20,0,202,491
48011,"Calgary Shepard/Calgary Shepard"," 41A","Calgary",0,32,46,0,23,0,10,10,0,121,386
48011,"Calgary Shepard/Calgary Shepard"," 41B","Calgary",1,2,19,0,26,0,3,9,1,61,63
48011,"Calgary Shepard/Calgary Shepard"," 42","Calgary",0,31,97,2,16,2,2,8,0,158,451
