Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Florence Gagnon,Manon Girard,Simon King,Jacinthe Lafrenaye,Mildred Murray,Boukare Tall,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 1","Longueuil",44,4,2,0,9,7,53,0,119,315
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 2","Longueuil",103,3,3,0,16,26,41,0,192,406
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 3","Longueuil",141,1,0,1,9,38,100,3,293,683
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 4","Longueuil",81,0,6,1,9,20,58,3,178,352
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 5","Longueuil",90,1,7,0,22,17,84,4,225,543
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 6","Longueuil",47,5,8,0,11,10,52,2,135,448
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 7","Longueuil",109,4,6,0,11,12,77,0,219,486
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 8","Longueuil",57,3,6,0,13,14,68,2,163,341
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 9","Longueuil",74,4,5,1,14,8,69,1,176,472
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 10","Longueuil",85,1,5,1,11,16,63,2,184,358
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 11","Longueuil",54,2,3,0,12,8,57,2,138,363
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 12","Longueuil",58,9,4,0,14,18,51,2,156,360
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 13","Longueuil",57,6,6,1,17,9,76,3,175,470
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 14","Longueuil",73,4,11,0,17,16,67,0,188,506
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 15","Longueuil",44,4,7,0,13,6,47,1,122,349
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 16","Longueuil",59,9,4,1,17,15,89,8,202,473
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 17","Longueuil",50,7,4,0,15,10,56,1,143,434
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 18","Longueuil",50,3,3,1,20,8,62,1,148,475
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 19","Longueuil",43,6,8,0,24,12,82,4,179,524
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 20","Longueuil",47,5,9,1,22,14,56,7,161,460
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 21","Longueuil",86,5,11,1,11,11,83,2,210,554
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 22","Longueuil",81,8,7,1,40,9,81,0,227,485
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 23","Longueuil",62,4,8,1,16,13,72,0,176,476
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 24","Longueuil",71,4,13,0,12,9,76,2,187,516
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 25","Longueuil",70,2,7,1,11,14,56,1,162,392
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 26","Longueuil",83,3,8,0,19,11,79,1,204,463
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 27","Longueuil",86,11,8,0,21,5,61,4,196,426
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 28","Longueuil",120,2,2,0,24,21,74,1,244,517
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 29","Longueuil",105,5,7,1,14,16,60,2,210,455
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 30","Longueuil",59,2,3,1,19,9,33,2,128,307
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 31","Longueuil",59,1,4,0,26,6,60,1,157,351
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 32","Longueuil",46,3,5,0,10,7,55,2,128,401
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 33","Longueuil",51,2,6,0,19,15,63,0,156,439
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 34","Longueuil",54,5,4,0,13,8,68,2,154,401
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 35","Longueuil",57,5,5,0,16,5,54,3,145,471
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 36","Longueuil",70,4,3,0,17,11,82,2,189,469
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 37","Longueuil",61,0,5,0,13,7,59,1,146,354
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 38","Longueuil",64,3,4,0,14,6,50,6,147,410
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 39","Longueuil",75,3,4,1,9,12,58,5,167,394
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 40","Longueuil",74,7,14,0,25,8,97,4,229,485
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 41","Longueuil",107,1,5,2,25,23,82,2,247,486
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 42","Longueuil",71,3,2,0,11,17,90,2,196,543
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 43","Longueuil",73,1,3,1,20,6,49,5,158,356
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 44","Longueuil",44,4,3,0,13,8,56,2,130,370
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 45","Longueuil",67,3,7,1,18,6,50,1,153,328
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 46","Longueuil",62,4,3,1,15,8,54,0,147,380
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 47","Longueuil",78,7,11,1,33,14,109,3,256,483
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 48","Longueuil",34,5,4,0,20,7,45,2,117,342
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 49","Longueuil",47,10,1,1,14,7,56,4,140,361
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 50","Longueuil",90,1,1,1,6,7,81,9,196,283
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 51","Longueuil",48,1,1,0,4,8,42,0,104,366
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 52","Longueuil",41,3,2,0,12,11,64,3,136,345
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 53","Longueuil",85,0,9,1,15,12,60,10,192,420
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 54","Longueuil",60,4,4,0,23,5,70,1,167,385
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 55","Longueuil",68,1,2,0,16,9,56,2,154,400
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 56","Longueuil",46,2,8,0,14,9,58,4,141,491
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 57","Longueuil",78,3,4,0,27,7,53,2,174,391
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 58","Longueuil",92,5,7,0,11,15,81,0,211,468
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 59","Longueuil",58,10,10,0,12,10,58,6,164,433
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 60","Longueuil",65,2,7,0,14,11,71,6,176,405
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 61","Longueuil",87,4,8,4,14,13,78,4,212,525
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 62","Longueuil",83,3,3,0,27,13,49,4,182,419
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 63","Longueuil",92,3,0,1,16,4,27,4,147,419
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 64","Longueuil",77,1,7,1,18,16,75,3,198,483
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 65","Longueuil",63,7,3,0,14,11,65,3,166,426
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 66","Longueuil",83,3,3,2,13,10,54,4,172,416
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 67","Longueuil",113,8,2,0,17,25,70,4,239,598
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 68","Longueuil",41,5,7,1,19,14,48,6,141,415
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 69","Longueuil",120,5,8,0,15,20,61,6,235,578
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 70","Longueuil",98,8,9,0,32,11,60,1,219,574
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 71","Longueuil",77,8,0,2,10,17,85,0,199,661
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 72","Longueuil",52,7,2,0,11,35,30,1,138,387
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 73","Longueuil",155,2,2,4,3,19,110,22,317,461
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 74","Longueuil",65,8,10,0,19,5,80,1,188,430
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 75","Longueuil",50,4,2,0,12,12,50,6,136,429
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 76","Longueuil",71,4,11,2,20,10,63,5,186,428
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 77","Longueuil",45,7,5,1,11,12,33,4,118,355
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 78","Longueuil",32,3,5,2,7,2,24,2,77,338
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 79","Longueuil",54,6,4,1,19,11,50,2,147,442
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 80","Longueuil",52,5,4,1,12,4,51,0,129,428
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 81","Longueuil",50,5,4,1,16,7,31,0,114,391
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 82","Longueuil",42,4,8,0,24,7,44,6,135,429
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 83","Longueuil",40,8,6,2,14,10,39,4,123,513
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 84","Longueuil",51,3,6,0,22,3,45,3,133,419
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 85","Longueuil",53,6,8,1,22,3,62,4,159,445
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 86","Longueuil",78,11,2,2,25,13,37,5,173,542
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 87","Longueuil",45,5,2,3,16,8,36,6,121,437
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 88","Longueuil",65,6,2,2,18,8,26,3,130,472
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 89","Longueuil",60,1,6,0,27,3,72,2,171,460
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 90","Longueuil",15,2,1,0,4,2,27,0,51,308
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 91","Longueuil",40,3,9,0,15,10,61,2,140,367
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 92","Longueuil",42,5,9,0,20,3,65,5,149,420
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 93","Longueuil",51,1,7,0,19,7,73,3,161,381
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 94","Longueuil",39,7,7,1,16,5,36,0,111,328
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 95","Longueuil",53,2,8,1,10,7,61,2,144,411
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 96","Longueuil",45,4,8,2,15,15,57,7,153,380
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 97","Longueuil",46,6,5,1,26,13,56,3,156,490
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 98","Longueuil",50,9,2,0,28,11,64,9,173,503
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 99","Longueuil",61,2,1,0,10,1,24,0,99,381
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 100","Longueuil",43,9,3,1,10,6,46,3,121,390
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 101","Longueuil",38,4,6,2,5,9,39,1,104,351
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 102","Longueuil",45,9,0,0,12,8,32,6,112,423
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 103","Longueuil",39,4,5,0,31,5,54,2,140,403
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 104","Longueuil",52,4,8,1,22,13,60,6,166,500
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 105","Longueuil",54,3,10,0,33,10,48,7,165,515
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 106","Longueuil",53,3,8,0,14,6,37,3,124,372
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 107","Longueuil",58,4,3,2,23,8,57,0,155,458
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 108","Longueuil",48,8,13,4,29,27,42,6,177,470
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 109","Longueuil",47,4,5,1,24,8,55,6,150,414
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 110","Longueuil",73,6,4,2,18,9,69,3,184,552
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 111","Longueuil",55,5,3,0,12,6,53,1,135,392
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 112","Longueuil",69,0,2,0,16,10,63,7,167,421
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 113","Longueuil",55,2,4,1,11,15,49,0,137,391
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 114","Longueuil",28,12,0,1,5,2,34,3,85,376
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 115","Longueuil",36,5,5,3,9,8,26,3,95,333
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 116","Longueuil",76,6,10,2,26,12,75,1,208,526
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 117","Longueuil",64,3,6,1,10,6,54,7,151,415
