Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Buddle,Marc Dalton,Juliuss Hoffmann,Phil Klapwyk,Steven William Ranta,Ahmed Yousef,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 1","Silver Valley",0,75,8,49,0,47,1,180,524
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 2","Maple Ridge",0,91,5,49,1,44,1,191,532
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 3","Maple Ridge",0,56,6,49,2,50,1,164,545
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 4","Maple Ridge",0,99,14,70,3,64,0,250,717
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 5","Maple Ridge",0,76,12,47,4,36,0,175,513
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 6","Maple Ridge",1,142,17,85,3,73,0,321,978
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 7","Maple Ridge",1,65,8,56,0,58,1,189,696
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 8","Pitt Meadows",Merged with No./Fusionné avec le n°10,,,,,,,,413
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 9","Pitt Meadows",0,66,11,35,0,44,2,158,422
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 10","Pitt Meadows",1,110,8,67,6,60,0,252,426
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 11","Pitt Meadows",0,63,11,102,3,62,0,241,418
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 12","Pitt Meadows",Merged with No./Fusionné avec le n°11,,,,,,,,338
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 13","Pitt Meadows",0,48,11,52,3,26,0,140,508
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 14","Pitt Meadows",1,94,11,115,0,73,1,295,424
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 15","Pitt Meadows",1,59,5,76,4,42,0,187,509
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 16","Pitt Meadows",0,50,4,78,3,38,0,173,500
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 17","Maple Ridge",0,78,5,60,3,45,0,191,459
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 18","Maple Ridge",2,106,4,54,2,48,0,216,485
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 19","Maple Ridge",0,73,7,38,2,37,1,158,454
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 20","Maple Ridge",0,56,1,68,0,53,1,179,428
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 21","Maple Ridge",1,62,9,55,1,44,0,172,428
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 22","Maple Ridge",0,66,6,65,1,52,0,190,431
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 23","Maple Ridge",0,57,8,51,0,44,0,160,380
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 24","Pitt Meadows",Merged with No./Fusionné avec le n°14,,,,,,,,386
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 25","Pitt Meadows",0,81,7,74,3,58,3,226,490
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 26","Pitt Meadows",1,94,10,113,1,84,3,306,458
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 27","Pitt Meadows",Merged with No./Fusionné avec le n°26,,,,,,,,340
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 28","Pitt Meadows",0,34,7,73,2,33,2,151,529
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 29","Pitt Meadows",0,60,6,65,0,54,2,187,439
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 30","Pitt Meadows",1,56,10,60,2,48,1,178,495
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 31","Pitt Meadows",1,58,10,66,4,58,0,197,496
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 32","Pitt Meadows",0,70,3,60,1,49,0,183,442
