Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jordan Craig Larouche,Emma Elbourne-Weinstock,Sam Fairbrother,David Freiheit,Marc Garneau,Rachel Hoffman,Mathew Kaminski,Geofryde Wandji,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 91","Montréal",10,37,7,9,43,0,9,0,1,116,399
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 92","Montréal",10,57,14,11,128,2,24,1,4,251,489
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 93","Montréal",11,22,6,13,118,1,13,0,4,188,423
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 94","Montréal",6,42,8,6,72,2,13,2,0,151,383
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 95","Montréal",10,42,7,8,101,1,13,0,1,183,468
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 96","Montréal",8,46,9,12,86,0,6,0,2,169,438
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 97","Montréal",7,65,8,10,70,3,20,0,3,186,480
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 98","Montréal",17,50,8,3,63,0,9,0,0,150,398
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 99","Montréal",11,49,7,8,39,1,11,0,0,126,322
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 100","Montréal",18,45,8,14,60,1,12,0,1,159,387
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 101","Montréal",11,54,9,3,69,0,8,0,0,154,353
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 102","Montréal",9,60,10,5,59,0,8,0,1,152,386
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 103","Montréal",9,42,12,9,63,0,12,1,0,148,304
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 104","Montréal",18,34,11,1,73,0,12,0,3,152,337
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 105","Montréal",17,38,5,2,114,1,31,0,2,210,499
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 106","Montréal",17,48,10,5,60,0,6,0,2,148,419
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 107","Montréal",9,43,7,1,50,1,15,0,1,127,313
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 108","Montréal",13,58,11,9,55,0,12,0,1,159,451
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 109","Montréal",3,38,8,1,81,0,11,0,1,143,380
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 110","Montréal",11,42,8,10,59,1,14,0,1,146,392
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 111","Montréal",7,48,7,9,102,0,26,1,1,201,472
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 112","Montréal",7,31,3,11,76,1,24,0,1,154,344
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 113","Montréal",11,28,8,3,67,0,19,1,2,139,319
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 114","Montréal",2,33,4,8,109,1,26,0,1,184,421
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 115","Montréal",9,29,7,6,90,1,13,0,1,156,361
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 116","Montréal",6,19,3,10,86,0,3,1,3,131,321
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 117","Montréal",1,33,5,8,140,1,16,1,9,214,510
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 118","Montréal",3,19,4,5,82,0,19,0,4,136,339
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 119","Montréal",3,23,1,10,114,1,21,0,5,178,463
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 120A","Montréal",3,26,5,11,125,0,16,0,3,189,503
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 120B","Mobile poll/Bureau itinérant",Results combined with no. 512/Résultats combinés au n° 512,,,,,,,,,,12
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 121","Montréal",15,45,7,0,81,1,2,0,2,153,432
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 122","Montréal",8,30,4,7,89,2,14,1,0,155,398
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 123","Montréal",9,31,7,1,45,0,17,0,0,110,307
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 124","Montréal",20,23,6,5,72,0,20,0,0,146,378
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 125","Montréal",5,15,2,5,52,2,6,0,1,88,397
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 126A","Montréal",1,11,2,4,78,0,15,2,0,113,448
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 126B","Montréal",Merged with No./Fusionné avec le n°123,,,,,,,,,,120
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 127","Montréal",10,27,11,6,108,0,26,1,1,190,467
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 128","Montréal",4,20,7,8,79,0,16,1,0,135,299
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 129","Montréal",5,19,9,7,69,0,10,0,3,122,307
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 130","Montréal",5,30,8,11,70,0,20,1,0,145,443
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 131","Montréal",9,22,6,8,80,1,15,0,1,142,354
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 132","Montréal",5,45,18,13,79,0,18,1,2,181,521
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 133","Montréal",5,19,6,8,60,0,12,0,0,110,383
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 134","Montréal",9,18,2,9,59,0,10,0,1,108,447
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 135","Montréal",2,19,7,5,52,0,17,1,1,104,362
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 136","Montréal",0,12,1,17,54,0,10,0,2,96,434
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 137","Montréal",2,8,6,8,52,0,12,0,1,89,368
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 138","Montréal",1,17,4,11,59,0,12,0,2,106,403
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 139","Montréal",6,28,6,4,83,1,15,0,3,146,500
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 140","Montréal",4,27,6,12,149,0,15,0,1,214,501
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 141","Montréal",3,46,4,19,106,0,35,2,3,218,507
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 142","Montréal",10,36,2,8,120,1,24,0,3,204,416
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 143","Montréal",1,8,5,6,77,0,24,0,1,122,392
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 144","Montréal",3,21,2,7,100,0,13,0,5,151,345
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 145","Montréal",13,21,2,8,86,0,15,0,1,146,433
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 146","Montréal",7,33,8,4,99,0,20,1,0,172,396
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 147","Montréal",8,35,11,11,103,0,18,1,1,188,422
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 148","Montréal",5,24,5,9,72,0,17,0,1,133,386
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 149","Montréal",0,40,8,6,71,0,16,0,1,142,422
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 150","Montréal",10,33,8,6,67,0,10,0,1,135,356
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 151","Montréal",5,31,9,1,67,0,13,0,0,126,351
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 152","Montréal",12,25,1,5,103,1,9,0,3,159,449
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 153","Montréal",2,20,6,6,72,0,12,0,2,120,412
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 154","Montréal",7,37,5,5,64,0,9,0,2,129,410
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 155","Montréal",9,33,13,12,69,0,19,0,0,155,401
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 156","Montréal",3,37,7,6,53,0,18,0,2,126,432
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 157","Montréal",10,40,8,5,151,2,25,0,1,242,490
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 158","Montréal",4,20,5,5,95,1,18,0,2,150,338
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 159","Montréal",2,30,5,10,67,2,10,0,1,127,357
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 160","Montréal",10,21,5,10,74,0,14,0,0,134,335
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 161","Montréal",5,29,6,1,62,2,13,1,0,119,345
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 162","Montréal",2,44,6,7,88,0,14,0,0,161,420
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 163","Montréal",6,36,5,12,99,0,10,0,4,172,486
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 164A","Montréal",Merged with No./Fusionné avec le n°165,,,,,,,,,,161
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 164B","Montréal",Merged with No./Fusionné avec le n°166,,,,,,,,,,93
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 165","Montréal-Ouest",5,56,10,7,92,0,36,0,0,206,320
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 166","Montréal-Ouest",4,77,11,7,94,0,32,0,2,227,384
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 167","Montréal",1,21,4,9,105,0,30,1,0,171,482
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 168","Montréal",4,20,7,11,118,0,12,0,1,173,445
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 169","Montréal-Ouest",3,35,8,12,109,0,25,0,0,192,449
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 170","Montréal-Ouest",9,24,7,8,118,1,27,0,0,194,339
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 171","Montréal-Ouest",3,26,1,5,94,0,29,0,1,159,334
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 172","Montréal-Ouest",0,18,6,7,96,0,45,0,1,173,351
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 173","Montréal",9,20,4,3,63,2,8,0,1,110,380
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 174","Montréal",7,48,11,5,78,1,19,0,0,169,404
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 175","Montréal-Ouest",8,22,6,4,108,1,24,0,0,173,412
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 176","Montréal-Ouest",13,44,14,4,103,0,30,0,0,208,456
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 177","Montréal-Ouest",11,40,13,6,120,0,21,0,1,212,446
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 178","Montréal-Ouest",6,33,13,1,107,0,21,0,3,184,453
