Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melissa Coenraad,Jennifer McAndrew,Scott Miller,Jennifer Purdy,Jenna Sudds,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35041,"Kanata--Carleton/Kanata--Carleton"," 1","Ottawa",23,53,10,6,47,1,140,434
35041,"Kanata--Carleton/Kanata--Carleton"," 2","Ottawa",36,62,9,9,49,0,165,444
35041,"Kanata--Carleton/Kanata--Carleton"," 3","Ottawa",20,67,8,6,27,0,128,367
35041,"Kanata--Carleton/Kanata--Carleton"," 4","Ottawa",29,79,9,6,46,0,169,442
35041,"Kanata--Carleton/Kanata--Carleton"," 5","Ottawa",20,72,17,5,32,2,148,369
35041,"Kanata--Carleton/Kanata--Carleton"," 6","Ottawa",15,71,9,14,34,0,143,365
35041,"Kanata--Carleton/Kanata--Carleton"," 7","Ottawa",15,63,8,3,51,3,143,342
35041,"Kanata--Carleton/Kanata--Carleton"," 8","Ottawa",20,69,13,7,56,1,166,436
35041,"Kanata--Carleton/Kanata--Carleton"," 9","Ottawa",23,92,3,10,70,0,198,497
35041,"Kanata--Carleton/Kanata--Carleton"," 10","Ottawa",26,77,8,10,83,0,204,466
35041,"Kanata--Carleton/Kanata--Carleton"," 11","Ottawa",18,66,7,8,53,0,152,420
35041,"Kanata--Carleton/Kanata--Carleton"," 12","Ottawa",33,109,10,9,53,0,214,479
35041,"Kanata--Carleton/Kanata--Carleton"," 13","Ottawa",17,66,8,14,57,0,162,461
35041,"Kanata--Carleton/Kanata--Carleton"," 14","Ottawa",25,90,5,4,41,0,165,371
35041,"Kanata--Carleton/Kanata--Carleton"," 15","Ottawa",17,83,3,4,61,0,168,390
35041,"Kanata--Carleton/Kanata--Carleton"," 16","Ottawa",32,141,9,7,53,0,242,451
35041,"Kanata--Carleton/Kanata--Carleton"," 17","Ottawa",32,81,4,6,76,1,200,446
35041,"Kanata--Carleton/Kanata--Carleton"," 18","Ottawa",27,43,4,3,69,0,146,383
35041,"Kanata--Carleton/Kanata--Carleton"," 19","Ottawa",22,46,3,1,113,1,186,411
35041,"Kanata--Carleton/Kanata--Carleton"," 20","Ottawa",25,37,2,6,92,2,164,466
35041,"Kanata--Carleton/Kanata--Carleton"," 21","Ottawa",13,50,0,5,44,0,112,322
35041,"Kanata--Carleton/Kanata--Carleton"," 22A","Ottawa",25,42,3,3,57,2,132,363
35041,"Kanata--Carleton/Kanata--Carleton"," 22B","Ottawa",12,21,4,3,48,2,90,313
35041,"Kanata--Carleton/Kanata--Carleton"," 23","Kanata",Void/Supprimé,,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 24","Ottawa",31,131,11,4,39,0,216,361
35041,"Kanata--Carleton/Kanata--Carleton"," 25","Ottawa",23,100,16,6,57,1,203,349
35041,"Kanata--Carleton/Kanata--Carleton"," 26","Ottawa",29,133,7,7,74,2,252,372
35041,"Kanata--Carleton/Kanata--Carleton"," 27","Ottawa",24,112,5,6,62,0,209,396
35041,"Kanata--Carleton/Kanata--Carleton"," 28","Ottawa",21,135,12,6,47,1,222,397
35041,"Kanata--Carleton/Kanata--Carleton"," 29","Kanata",Void/Supprimé,,,,,,,
35041,"Kanata--Carleton/Kanata--Carleton"," 30A","Ottawa",46,36,6,5,69,1,163,326
35041,"Kanata--Carleton/Kanata--Carleton"," 30B","Ottawa",27,49,4,5,50,1,136,335
