Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Gagné,Marilène Gill,Bianca Girard,Nichola St-Jean,Rodrigue Vigneault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Manicouagan/Manicouagan"," 1","Schefferville",14,6,1,9,6,1,37,280
24046,"Manicouagan/Manicouagan"," 2","Matimekosh",12,0,0,4,0,1,17,309
24046,"Manicouagan/Manicouagan"," 3","Kawawachikamach",55,2,1,48,1,1,108,464
24046,"Manicouagan/Manicouagan"," 4","Blanc-Sablon",62,6,1,2,11,0,82,210
24046,"Manicouagan/Manicouagan"," 5","Lourdes-de-Blanc-Sablon",34,26,1,9,17,1,88,352
24046,"Manicouagan/Manicouagan"," 6","Lourdes-de-Blanc-Sablon",44,12,1,11,20,1,89,347
24046,"Manicouagan/Manicouagan"," 7","Rivière-Saint-Paul",78,10,3,10,6,0,107,379
24046,"Manicouagan/Manicouagan"," 8","Vieux-Fort",74,4,2,4,6,1,91,250
24046,"Manicouagan/Manicouagan"," 9","La Tabatière",47,8,4,6,5,1,71,279
24046,"Manicouagan/Manicouagan"," 10","Saint-Augustin",44,6,2,0,7,0,59,357
24046,"Manicouagan/Manicouagan"," 11","Pakuashipi",15,10,0,5,3,2,35,213
24046,"Manicouagan/Manicouagan"," 12","Baie-des-Moutons",18,0,2,4,0,0,24,69
24046,"Manicouagan/Manicouagan"," 13","Tête-à-la-Baleine",13,16,0,1,3,1,34,102
24046,"Manicouagan/Manicouagan"," 14","La Romaine",28,11,1,0,7,1,48,386
24046,"Manicouagan/Manicouagan"," 15","La Romaine",39,6,3,7,5,2,62,430
24046,"Manicouagan/Manicouagan"," 16","Fermont",5,43,5,7,46,3,109,265
24046,"Manicouagan/Manicouagan"," 17","Fermont",5,50,7,6,53,2,123,347
24046,"Manicouagan/Manicouagan"," 18","Fermont",4,30,2,2,36,1,75,207
24046,"Manicouagan/Manicouagan"," 19","Fermont",5,52,5,4,18,2,86,250
24046,"Manicouagan/Manicouagan"," 20","Fermont",5,39,1,9,25,1,80,256
24046,"Manicouagan/Manicouagan"," 21","Fermont",2,79,5,1,43,1,131,314
24046,"Manicouagan/Manicouagan"," 22","Chevery",39,18,2,2,11,1,73,179
24046,"Manicouagan/Manicouagan"," 23","Harrington Harbour",56,20,2,1,8,1,88,166
24046,"Manicouagan/Manicouagan"," 24","Baie-Johan-Beetz",6,26,3,3,10,3,51,77
24046,"Manicouagan/Manicouagan"," 25","Franquelin",14,82,1,5,18,5,125,255
24046,"Manicouagan/Manicouagan"," 26","Natashquan",54,1,2,4,3,1,65,282
24046,"Manicouagan/Manicouagan"," 27","Natashquan",61,0,1,6,3,1,72,271
24046,"Manicouagan/Manicouagan"," 28","Natashquan",21,71,1,1,47,5,146,193
24046,"Manicouagan/Manicouagan"," 29","Aguanish",15,60,2,5,35,4,121,216
24046,"Manicouagan/Manicouagan"," 30","Kegaska",28,8,1,5,10,1,53,108
24046,"Manicouagan/Manicouagan"," 31","Havre-Saint-Pierre",11,45,1,4,19,3,83,242
24046,"Manicouagan/Manicouagan"," 32","Havre-Saint-Pierre",12,84,2,5,18,1,122,364
24046,"Manicouagan/Manicouagan"," 33","Havre-Saint-Pierre",10,63,1,1,19,2,96,237
24046,"Manicouagan/Manicouagan"," 34","Havre-Saint-Pierre",15,79,2,1,49,7,153,441
24046,"Manicouagan/Manicouagan"," 35","Havre-Saint-Pierre",6,60,3,3,28,3,103,334
24046,"Manicouagan/Manicouagan"," 36","Havre-Saint-Pierre",16,47,1,6,20,2,92,330
24046,"Manicouagan/Manicouagan"," 37","Havre-Saint-Pierre",13,45,2,8,22,6,96,248
24046,"Manicouagan/Manicouagan"," 38","Havre-Saint-Pierre",16,77,1,4,34,4,136,474
24046,"Manicouagan/Manicouagan"," 39","Moisie",11,54,2,4,13,0,84,247
24046,"Manicouagan/Manicouagan"," 40","Rivière-au-Tonnerre",12,46,3,3,22,4,90,174
24046,"Manicouagan/Manicouagan"," 41","Mingan",4,1,1,18,0,0,24,282
24046,"Manicouagan/Manicouagan"," 42","Longue-Pointe",17,81,2,4,21,3,128,355
24046,"Manicouagan/Manicouagan"," 43","Rivière-Saint-Jean",9,50,10,5,16,0,90,208
24046,"Manicouagan/Manicouagan"," 44","Port-Menier",9,35,2,5,10,0,61,163
24046,"Manicouagan/Manicouagan"," 45","Rivière-au-Tonnerre",22,48,2,6,14,4,96,232
24046,"Manicouagan/Manicouagan"," 46","Sept-Îles",25,130,12,3,51,6,227,488
24046,"Manicouagan/Manicouagan"," 47","Sept-Îles",14,85,1,6,43,0,149,391
24046,"Manicouagan/Manicouagan"," 48","Sept-Îles",5,90,9,9,46,4,163,379
24046,"Manicouagan/Manicouagan"," 49","Sept-Îles",10,75,2,7,47,0,141,339
24046,"Manicouagan/Manicouagan"," 50","Sept-Îles",19,88,4,3,44,4,162,386
24046,"Manicouagan/Manicouagan"," 51","Sept-Îles",13,73,5,4,41,3,139,347
24046,"Manicouagan/Manicouagan"," 52A","Lac-Walker",21,94,0,8,51,6,180,368
24046,"Manicouagan/Manicouagan"," 52B","Lac-Walker",25,77,2,4,50,5,163,361
24046,"Manicouagan/Manicouagan"," 53","Sept-Îles",31,103,4,8,58,5,209,433
24046,"Manicouagan/Manicouagan"," 54","Sept-Îles",25,113,4,12,57,5,216,490
24046,"Manicouagan/Manicouagan"," 55","Sept-Îles",33,105,5,9,44,8,204,485
24046,"Manicouagan/Manicouagan"," 56","Sept-Îles",16,87,9,4,54,1,171,412
24046,"Manicouagan/Manicouagan"," 57","Malioténam 27A",18,8,2,6,2,0,36,413
24046,"Manicouagan/Manicouagan"," 58","Malioténam 27A",48,7,1,10,2,1,69,415
24046,"Manicouagan/Manicouagan"," 59","Malioténam 27A",23,6,0,7,2,1,39,358
24046,"Manicouagan/Manicouagan"," 60","Sept-Îles",6,46,2,4,21,2,81,201
24046,"Manicouagan/Manicouagan"," 61","Sept-Îles",12,96,5,12,52,7,184,422
24046,"Manicouagan/Manicouagan"," 62","Sept-Îles",17,66,7,4,47,2,143,374
24046,"Manicouagan/Manicouagan"," 63","Sept-Îles",14,66,6,8,23,4,121,332
24046,"Manicouagan/Manicouagan"," 64","Uashat",32,8,0,6,3,1,50,316
24046,"Manicouagan/Manicouagan"," 65","Uashat",26,5,1,9,0,0,41,487
24046,"Manicouagan/Manicouagan"," 66","Uashat",20,4,1,4,2,0,31,289
24046,"Manicouagan/Manicouagan"," 67","Uashat",5,2,1,1,0,1,10,55
24046,"Manicouagan/Manicouagan"," 68","Sept-Îles",27,94,0,9,56,2,188,419
24046,"Manicouagan/Manicouagan"," 69","Sept-Îles",13,52,1,12,14,4,96,363
24046,"Manicouagan/Manicouagan"," 70","Sept-Îles",37,74,8,4,29,1,153,374
24046,"Manicouagan/Manicouagan"," 71","Sept-Îles",15,45,2,2,22,3,89,327
24046,"Manicouagan/Manicouagan"," 72","Sept-Îles",17,60,0,5,30,3,115,340
24046,"Manicouagan/Manicouagan"," 73","Sept-Îles",11,46,3,11,26,1,98,370
24046,"Manicouagan/Manicouagan"," 74","Sept-Îles",10,31,0,3,13,1,58,270
24046,"Manicouagan/Manicouagan"," 75","Sept-Îles",13,43,4,9,25,2,96,325
24046,"Manicouagan/Manicouagan"," 76","Sept-Îles",17,52,0,5,22,3,99,354
24046,"Manicouagan/Manicouagan"," 77","Sept-Îles",9,25,4,6,6,2,52,259
24046,"Manicouagan/Manicouagan"," 78","Sept-Îles",16,32,3,4,12,2,69,245
24046,"Manicouagan/Manicouagan"," 79","Sept-Îles",21,41,3,7,10,0,82,360
24046,"Manicouagan/Manicouagan"," 80","Sept-Îles",14,61,2,9,24,5,115,337
24046,"Manicouagan/Manicouagan"," 81","Sept-Îles",22,57,5,6,9,3,102,318
24046,"Manicouagan/Manicouagan"," 82","Sept-Îles",22,84,1,8,26,3,144,423
24046,"Manicouagan/Manicouagan"," 83","Sept-Îles",12,63,8,4,23,2,112,366
24046,"Manicouagan/Manicouagan"," 84","Sept-Îles",16,56,3,7,26,3,111,417
24046,"Manicouagan/Manicouagan"," 85","Sept-Îles",16,54,2,5,22,2,101,305
24046,"Manicouagan/Manicouagan"," 86","Sept-Îles",25,46,5,5,21,6,108,358
24046,"Manicouagan/Manicouagan"," 87","Sept-Îles",21,67,1,11,30,4,134,307
24046,"Manicouagan/Manicouagan"," 88","Sept-Îles",20,76,4,5,29,5,139,387
24046,"Manicouagan/Manicouagan"," 89","Sept-Îles",19,72,2,10,30,2,135,359
24046,"Manicouagan/Manicouagan"," 90","Sept-Îles",24,119,1,12,52,2,210,425
24046,"Manicouagan/Manicouagan"," 91","Sept-Îles",40,34,2,0,10,15,101,177
24046,"Manicouagan/Manicouagan"," 92","Sept-Îles",28,50,2,4,33,4,121,320
24046,"Manicouagan/Manicouagan"," 93","Sept-Îles",18,43,4,8,24,2,99,297
24046,"Manicouagan/Manicouagan"," 94","Sept-Îles",15,93,4,14,27,3,156,392
