Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Madelaine Dwyer,Doug Eyolfson,Marty Morantz,Vanessa Parks,Angela Van Hussen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 1","Winnipeg",24,76,81,8,6,0,195,466
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 2","Winnipeg",41,48,65,2,5,0,161,421
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 3","Winnipeg",31,56,68,2,8,1,166,419
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 4","Winnipeg",26,49,46,2,9,0,132,400
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 5","Winnipeg",49,25,52,2,7,0,135,491
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 6","Winnipeg",39,49,53,4,0,2,147,434
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 7","Winnipeg",44,66,55,5,7,0,177,464
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 8","Winnipeg",58,49,50,5,8,0,170,433
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 9","Winnipeg",36,73,73,3,6,1,192,553
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 10","Winnipeg",43,51,48,3,8,1,154,529
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 11","Winnipeg",30,56,70,4,5,0,165,435
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 12","Winnipeg",34,59,66,4,5,1,169,492
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 13","Winnipeg",30,29,42,1,6,0,108,518
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 14","Winnipeg",23,49,33,4,8,1,118,302
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 15","Winnipeg",20,15,14,2,6,1,58,181
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 16","Winnipeg",39,49,46,2,8,1,145,358
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 17","Winnipeg",48,69,49,6,8,0,180,551
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 18","Winnipeg",48,57,57,1,4,0,167,558
