Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colin Carrie,Afroza Hossain,Darryl Mackie,Sonny Mir,Shailene Panylo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35074,"Oshawa/Oshawa"," 1","Oshawa",86,66,3,2,14,1,172,242
35074,"Oshawa/Oshawa"," 2","Oshawa",Merged with No./Fusionné avec le n°8,,,,,,,221
35074,"Oshawa/Oshawa"," 3","Oshawa",Merged with No./Fusionné avec le n°8,,,,,,,421
35074,"Oshawa/Oshawa"," 4","Oshawa",Merged with No./Fusionné avec le n°10,,,,,,,517
35074,"Oshawa/Oshawa"," 5","Oshawa",105,93,14,3,73,0,288,536
35074,"Oshawa/Oshawa"," 6","Oshawa",119,87,7,4,96,2,315,514
35074,"Oshawa/Oshawa"," 7","Oshawa",110,75,17,2,93,0,297,514
35074,"Oshawa/Oshawa"," 8","Oshawa",166,77,14,0,82,3,342,464
35074,"Oshawa/Oshawa"," 9","Oshawa",153,67,10,10,95,2,337,526
35074,"Oshawa/Oshawa"," 10","Oshawa",112,98,21,8,63,2,304,522
35074,"Oshawa/Oshawa"," 11","Oshawa",143,112,13,6,103,3,380,577
35074,"Oshawa/Oshawa"," 12","Oshawa",134,87,19,3,130,3,376,535
35074,"Oshawa/Oshawa"," 13","Oshawa",104,60,16,2,94,0,276,450
35074,"Oshawa/Oshawa"," 14","Oshawa",Merged with No./Fusionné avec le n°15,,,,,,,434
35074,"Oshawa/Oshawa"," 15","Oshawa",93,54,17,3,78,4,249,434
35074,"Oshawa/Oshawa"," 16","Oshawa",Merged with No./Fusionné avec le n°24,,,,,,,421
35074,"Oshawa/Oshawa"," 17","Oshawa",73,60,15,4,91,0,243,596
35074,"Oshawa/Oshawa"," 18","Oshawa",Merged with No./Fusionné avec le n°17,,,,,,,357
35074,"Oshawa/Oshawa"," 19","Oshawa",94,88,21,5,108,3,319,667
35074,"Oshawa/Oshawa"," 20","Oshawa",Merged with No./Fusionné avec le n°19,,,,,,,440
35074,"Oshawa/Oshawa"," 21","Oshawa",61,32,24,1,82,0,200,467
35074,"Oshawa/Oshawa"," 22","Oshawa",105,70,22,4,128,4,333,548
