Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kerry-Lynne Findlay,Gordie Hogg,Gary Jensen,June Liu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 513","Mobile poll/Bureau itinérant",25,51,1,10,0,87,130
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 514","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,33
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 515","Mobile poll/Bureau itinérant",15,22,3,4,0,44,90
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 516","Mobile poll/Bureau itinérant",36,30,2,4,1,73,102
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 517","Mobile poll/Bureau itinérant",16,19,0,4,0,39,77
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 518","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 519","Mobile poll/Bureau itinérant",50,38,2,12,0,102,129
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 520","Mobile poll/Bureau itinérant",15,36,0,10,1,62,122
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°136,,,,,,29
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 522","Mobile poll/Bureau itinérant",14,23,0,2,2,41,76
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 523","Mobile poll/Bureau itinérant",14,14,3,3,1,35,44
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 524","Mobile poll/Bureau itinérant",6,14,2,9,0,31,0
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 600","Surrey",447,307,36,83,3,876,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 601","Surrey",572,467,69,178,4,1290,
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 602","Surrey",612,437,50,122,4,1225,
