Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Boutsikakis,Kirsty Duncan,Priti Lamba,Cecil Peter,Carol Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Etobicoke North/Etobicoke-Nord"," 1","Toronto",6,81,32,15,1,0,135,500
35029,"Etobicoke North/Etobicoke-Nord"," 2","Toronto",0,69,21,5,0,0,95,284
35029,"Etobicoke North/Etobicoke-Nord"," 3","Toronto",2,106,38,14,1,2,163,554
35029,"Etobicoke North/Etobicoke-Nord"," 4","Toronto",1,83,18,8,1,1,112,405
35029,"Etobicoke North/Etobicoke-Nord"," 5","Toronto",10,130,32,24,0,0,196,461
35029,"Etobicoke North/Etobicoke-Nord"," 6","Toronto",5,90,28,20,2,0,145,371
35029,"Etobicoke North/Etobicoke-Nord"," 7","Toronto",4,92,35,12,0,1,144,382
35029,"Etobicoke North/Etobicoke-Nord"," 8","Toronto",7,148,34,19,0,0,208,504
35029,"Etobicoke North/Etobicoke-Nord"," 9","Toronto",8,136,39,8,0,1,192,394
35029,"Etobicoke North/Etobicoke-Nord"," 10","Toronto",9,95,36,23,1,0,164,385
35029,"Etobicoke North/Etobicoke-Nord"," 11","Toronto",6,136,20,22,0,2,186,340
35029,"Etobicoke North/Etobicoke-Nord"," 12","Toronto",2,90,57,24,3,8,184,625
35029,"Etobicoke North/Etobicoke-Nord"," 13","Toronto",4,42,24,4,1,0,75,295
35029,"Etobicoke North/Etobicoke-Nord"," 14","Toronto",3,77,39,14,2,1,136,486
35029,"Etobicoke North/Etobicoke-Nord"," 15","Toronto",8,36,29,9,2,1,85,448
35029,"Etobicoke North/Etobicoke-Nord"," 16","Toronto",3,61,31,8,0,0,103,355
35029,"Etobicoke North/Etobicoke-Nord"," 17","Toronto",4,46,28,8,0,1,87,397
35029,"Etobicoke North/Etobicoke-Nord"," 18","Toronto",3,58,28,14,0,4,107,385
35029,"Etobicoke North/Etobicoke-Nord"," 19","Toronto",6,80,49,11,1,1,148,497
35029,"Etobicoke North/Etobicoke-Nord"," 20","Toronto",8,43,47,1,1,1,101,388
35029,"Etobicoke North/Etobicoke-Nord"," 21","Toronto",5,61,39,12,1,1,119,442
35029,"Etobicoke North/Etobicoke-Nord"," 22","Toronto",0,62,12,8,0,2,84,306
35029,"Etobicoke North/Etobicoke-Nord"," 23","Toronto",9,101,50,25,2,0,187,594
35029,"Etobicoke North/Etobicoke-Nord"," 24","Toronto",2,112,29,8,0,1,152,469
35029,"Etobicoke North/Etobicoke-Nord"," 25","Toronto",8,98,59,18,0,0,183,530
35029,"Etobicoke North/Etobicoke-Nord"," 26","Toronto",4,54,39,7,1,0,105,378
35029,"Etobicoke North/Etobicoke-Nord"," 27","Toronto",2,86,26,17,2,0,133,535
35029,"Etobicoke North/Etobicoke-Nord"," 28","Toronto",1,114,10,10,0,1,136,378
35029,"Etobicoke North/Etobicoke-Nord"," 29","Toronto",9,73,31,11,4,1,129,410
35029,"Etobicoke North/Etobicoke-Nord"," 30","Toronto",7,80,53,18,1,3,162,415
35029,"Etobicoke North/Etobicoke-Nord"," 31","Toronto",6,124,57,21,0,2,210,401
35029,"Etobicoke North/Etobicoke-Nord"," 32","Toronto",7,105,45,10,0,1,168,340
35029,"Etobicoke North/Etobicoke-Nord"," 33","Toronto",7,97,61,17,2,2,186,478
35029,"Etobicoke North/Etobicoke-Nord"," 34","Toronto",21,89,34,21,0,1,166,387
35029,"Etobicoke North/Etobicoke-Nord"," 35","Toronto",2,58,39,30,1,1,131,405
35029,"Etobicoke North/Etobicoke-Nord"," 36","Toronto",1,66,20,16,0,1,104,314
35029,"Etobicoke North/Etobicoke-Nord"," 37","Toronto",9,67,50,28,1,1,156,452
35029,"Etobicoke North/Etobicoke-Nord"," 38","Toronto",11,46,33,19,3,0,112,364
35029,"Etobicoke North/Etobicoke-Nord"," 39","Toronto",4,91,30,13,3,1,142,485
35029,"Etobicoke North/Etobicoke-Nord"," 40","Toronto",8,89,16,8,1,0,122,406
35029,"Etobicoke North/Etobicoke-Nord"," 41","Toronto",1,81,28,7,0,2,119,380
35029,"Etobicoke North/Etobicoke-Nord"," 42","Toronto",11,69,21,14,1,2,118,515
35029,"Etobicoke North/Etobicoke-Nord"," 43","Toronto",7,78,19,13,2,1,120,399
35029,"Etobicoke North/Etobicoke-Nord"," 44","Toronto",1,78,15,4,0,1,99,443
35029,"Etobicoke North/Etobicoke-Nord"," 45","Toronto",4,73,30,14,2,2,125,373
35029,"Etobicoke North/Etobicoke-Nord"," 46","Toronto",4,59,56,9,2,1,131,478
35029,"Etobicoke North/Etobicoke-Nord"," 47","Toronto",4,68,18,17,6,6,119,484
35029,"Etobicoke North/Etobicoke-Nord"," 48","Toronto",7,90,53,17,0,1,168,562
35029,"Etobicoke North/Etobicoke-Nord"," 49","Toronto",2,144,32,25,1,0,204,952
35029,"Etobicoke North/Etobicoke-Nord"," 50","Toronto",6,85,49,24,3,0,167,514
35029,"Etobicoke North/Etobicoke-Nord"," 51","Toronto",6,126,38,22,1,3,196,574
35029,"Etobicoke North/Etobicoke-Nord"," 52","Toronto",6,96,50,22,1,0,175,557
35029,"Etobicoke North/Etobicoke-Nord"," 53","Toronto",4,136,23,19,4,1,187,584
35029,"Etobicoke North/Etobicoke-Nord"," 54","Toronto",6,91,26,14,1,0,138,563
35029,"Etobicoke North/Etobicoke-Nord"," 55","Toronto",0,101,18,15,1,1,136,425
35029,"Etobicoke North/Etobicoke-Nord"," 56","Toronto",2,118,25,34,2,1,182,571
35029,"Etobicoke North/Etobicoke-Nord"," 57","Toronto",11,85,28,17,0,2,143,566
35029,"Etobicoke North/Etobicoke-Nord"," 58","Toronto",8,84,13,13,0,0,118,401
35029,"Etobicoke North/Etobicoke-Nord"," 59","Toronto",4,55,13,14,2,0,88,318
35029,"Etobicoke North/Etobicoke-Nord"," 60","Toronto",0,89,13,8,0,1,111,369
