Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Cannings,Tara Howse,Helena Konanz,Ken Robertson,Sean Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 1","Nakusp",47,6,74,9,6,1,143,419
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 2","Nakusp",47,3,23,9,10,0,92,343
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 3","Nakusp",56,12,68,24,11,1,172,424
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 4","Nakusp",48,5,42,18,10,0,123,416
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 5","Brouse",65,10,67,14,12,3,171,440
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 6","Naramata",109,5,46,12,13,0,185,372
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 7","Naramata",137,13,52,35,9,1,247,425
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 8","Naramata",121,8,62,26,9,1,227,430
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 9","Naramata",71,7,76,28,12,1,195,416
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 10","Big White",55,13,43,33,10,1,155,281
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 11","Penticton 1",57,6,48,25,5,0,141,417
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 12","Penticton 1",83,9,71,23,7,0,193,580
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 13","Penticton 1",35,4,19,12,1,0,71,310
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 14","Penticton 1",41,0,27,9,3,0,80,358
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 15","Penticton 1",71,6,69,12,15,2,175,464
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 16","Penticton",44,1,23,12,11,1,92,462
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 17","Penticton",41,2,32,15,2,1,93,417
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 18","Penticton",36,3,48,16,6,1,110,443
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 19","Penticton",50,6,24,9,5,1,95,411
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 20","Penticton",35,1,40,16,8,0,100,537
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 21A","Penticton",55,3,23,20,10,1,112,411
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 21B","Mobile poll/Bureau itinérant",6,3,23,13,0,0,45,77
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 22","Penticton",49,7,20,22,10,1,109,478
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 23","Penticton",56,2,38,19,16,0,131,445
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 24","Penticton 1",96,4,77,31,11,0,219,892
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 25","Hills",72,11,40,14,9,1,147,453
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 26","New Denver",46,15,16,9,14,1,101,305
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 27A","Penticton",47,3,19,10,13,1,93,466
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 27B","Mobile poll/Bureau itinérant",47,3,19,10,13,1,93,36
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 28","Penticton",75,8,37,9,10,0,139,554
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 29","Penticton",81,6,44,17,13,1,162,637
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 30","Penticton",59,8,40,13,12,1,133,537
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 31","Penticton",44,5,39,26,11,0,125,521
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 32","Penticton",71,11,35,19,9,1,146,520
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 33","Penticton",71,4,43,19,17,0,154,489
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 34","Penticton",54,2,38,20,6,1,121,390
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 35","Penticton",72,3,43,17,12,1,148,446
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 36","Penticton",78,5,60,15,12,2,172,455
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 37","Penticton",87,7,42,18,12,0,166,427
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 38","Penticton",46,5,36,16,4,1,108,389
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 39","Penticton",43,5,31,10,12,0,101,467
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 40","Penticton",49,4,38,17,3,1,112,333
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 41","Penticton",59,12,42,28,11,0,152,583
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 42","Penticton",50,4,55,14,10,0,133,478
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 43","Penticton",55,5,44,25,7,0,136,452
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 44","Penticton",47,2,44,18,5,0,116,479
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 45","Penticton",64,7,51,38,8,0,168,662
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 46","Penticton",64,2,37,12,4,0,119,354
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 47","Penticton",35,5,53,23,8,0,124,593
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 48","Penticton",48,1,46,24,9,0,128,502
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 49","Penticton",94,1,52,26,8,0,181,508
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 50","Penticton",57,2,40,18,8,1,126,448
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 51","Penticton",94,0,43,21,8,1,167,488
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 52","Penticton",100,8,118,39,11,0,276,861
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 53","Penticton",65,2,41,19,7,0,134,394
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 54","Penticton",68,3,53,16,10,0,150,475
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 55","Penticton",33,1,48,21,0,0,103,451
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 56","Penticton 1",34,2,26,12,4,0,78,299
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 57","Penticton",49,1,25,26,12,0,113,415
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 58","Penticton",51,3,42,19,4,0,119,464
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 59","Penticton",39,9,44,23,8,0,123,549
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 60","Penticton",34,3,40,12,4,0,93,370
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 61","Penticton",42,2,41,26,7,0,118,519
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 62","Penticton",74,1,53,37,3,1,169,548
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 63","Penticton",51,5,41,15,11,0,123,451
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 64","Penticton",70,3,73,23,18,0,187,642
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 65","Penticton 1",39,0,35,16,7,0,97,564
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 66","Penticton",53,1,91,34,3,0,182,605
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 67","Penticton",76,2,78,25,12,1,194,729
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 68","Penticton",65,7,45,40,6,2,165,600
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 69","Penticton",5,2,22,12,2,0,43,452
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 70","Penticton",45,6,32,16,7,0,106,470
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 71","Penticton",42,5,29,6,4,0,86,363
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 72","Penticton",71,8,49,25,2,0,155,519
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 73","Penticton",47,3,39,24,4,2,119,390
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 74","Penticton",40,6,53,15,2,0,116,358
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 75","Penticton",36,6,53,24,10,0,129,444
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 76","Penticton",45,3,29,16,3,0,96,456
