Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Intab Ali,Tom Dingwall,Allen Keith Hadley,Mark Holland,Maia Knight,Shokat Malik,Susanna Russo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 1","Ajax",0,80,1,127,3,26,2,3,242,561
35001,"Ajax/Ajax"," 2","Ajax",0,70,0,162,3,16,3,2,256,595
35001,"Ajax/Ajax"," 3","Ajax",0,47,2,183,9,31,3,1,276,570
35001,"Ajax/Ajax"," 4","Ajax",0,44,1,145,2,12,1,3,208,479
35001,"Ajax/Ajax"," 5","Ajax",1,50,1,171,4,26,0,3,256,586
35001,"Ajax/Ajax"," 6","Ajax",0,69,0,130,2,29,3,3,236,504
35001,"Ajax/Ajax"," 7","Ajax",0,48,1,171,7,33,5,0,265,615
35001,"Ajax/Ajax"," 8","Ajax",1,55,0,199,10,33,1,2,301,605
35001,"Ajax/Ajax"," 9","Ajax",0,58,1,146,5,23,0,4,237,459
35001,"Ajax/Ajax"," 10","Ajax",0,41,0,97,1,13,0,1,153,373
35001,"Ajax/Ajax"," 11","Ajax",0,41,0,139,2,32,3,3,220,418
35001,"Ajax/Ajax"," 12","Ajax",0,44,0,152,3,26,3,1,229,472
35001,"Ajax/Ajax"," 13","Ajax",0,65,1,161,1,30,0,1,259,544
35001,"Ajax/Ajax"," 14","Ajax",0,65,0,196,9,15,3,5,293,523
35001,"Ajax/Ajax"," 15","Ajax",0,25,0,136,2,25,0,0,188,434
35001,"Ajax/Ajax"," 16A","Ajax",0,32,0,138,4,12,0,2,188,381
35001,"Ajax/Ajax"," 16B","Ajax",0,32,0,152,3,12,0,2,201,386
35001,"Ajax/Ajax"," 17","Ajax",0,53,0,154,3,25,0,1,236,539
35001,"Ajax/Ajax"," 18","Ajax",0,51,3,136,2,40,5,4,241,602
35001,"Ajax/Ajax"," 19","Ajax",0,41,0,171,4,21,1,2,240,556
35001,"Ajax/Ajax"," 20","Ajax",0,36,1,179,4,19,0,3,242,554
35001,"Ajax/Ajax"," 21","Ajax",0,42,0,127,0,18,0,2,189,462
35001,"Ajax/Ajax"," 22","Ajax",0,42,1,165,2,21,0,2,233,494
35001,"Ajax/Ajax"," 23","Ajax",0,30,2,117,6,23,0,2,180,417
35001,"Ajax/Ajax"," 24","Ajax",0,45,0,181,5,34,4,2,271,577
35001,"Ajax/Ajax"," 25","Ajax",0,38,0,164,5,35,2,5,249,521
35001,"Ajax/Ajax"," 26","Ajax",0,45,0,181,4,27,0,2,259,549
35001,"Ajax/Ajax"," 27","Ajax",0,22,1,211,3,20,2,1,260,571
35001,"Ajax/Ajax"," 28","Ajax",1,48,0,162,7,24,3,3,248,474
35001,"Ajax/Ajax"," 29","Ajax",0,59,0,165,3,42,0,0,269,569
35001,"Ajax/Ajax"," 30","Ajax",0,51,0,163,3,42,1,1,261,508
35001,"Ajax/Ajax"," 31","Ajax",0,26,0,150,3,35,3,0,217,547
35001,"Ajax/Ajax"," 32","Ajax",0,62,0,162,5,26,1,2,258,588
35001,"Ajax/Ajax"," 33","Ajax",0,65,0,156,1,17,0,3,242,492
35001,"Ajax/Ajax"," 34","Ajax",0,45,1,155,4,20,1,0,226,434
35001,"Ajax/Ajax"," 35","Ajax",0,41,0,138,1,35,0,0,215,472
35001,"Ajax/Ajax"," 36","Ajax",0,51,2,124,3,23,3,1,207,506
35001,"Ajax/Ajax"," 37","Ajax",1,60,0,174,1,17,1,3,257,527
35001,"Ajax/Ajax"," 38","Ajax",0,42,0,206,5,42,1,0,296,581
35001,"Ajax/Ajax"," 39","Ajax",1,48,0,130,5,20,0,4,208,475
35001,"Ajax/Ajax"," 40","Ajax",0,72,0,179,1,30,1,8,291,552
35001,"Ajax/Ajax"," 41","Ajax",0,41,3,162,4,30,0,6,246,476
35001,"Ajax/Ajax"," 42","Ajax",2,64,0,175,2,38,0,1,282,601
35001,"Ajax/Ajax"," 43","Ajax",0,46,0,144,5,34,7,0,236,550
35001,"Ajax/Ajax"," 44","Ajax",0,35,0,109,3,19,0,3,169,392
35001,"Ajax/Ajax"," 45","Ajax",0,56,0,181,7,23,2,5,274,519
35001,"Ajax/Ajax"," 46","Ajax",0,25,0,103,5,21,2,0,156,373
35001,"Ajax/Ajax"," 47","Ajax",0,43,0,127,4,24,0,5,203,534
35001,"Ajax/Ajax"," 48","Ajax",0,70,2,145,2,21,1,3,244,537
35001,"Ajax/Ajax"," 49","Ajax",0,44,0,106,6,43,4,1,204,496
35001,"Ajax/Ajax"," 50","Ajax",2,66,1,144,4,20,4,0,241,519
35001,"Ajax/Ajax"," 51","Ajax",0,54,1,152,9,29,3,2,250,585
35001,"Ajax/Ajax"," 52A","Ajax",0,28,1,86,1,20,0,1,137,311
35001,"Ajax/Ajax"," 52B","Ajax",1,23,0,125,1,18,0,0,168,359
35001,"Ajax/Ajax"," 53A","Ajax",0,49,1,146,3,32,0,1,232,478
35001,"Ajax/Ajax"," 53B","Ajax",0,44,0,198,3,34,1,1,281,536
35001,"Ajax/Ajax"," 54","Ajax",0,54,0,151,1,21,1,0,228,532
35001,"Ajax/Ajax"," 55","Ajax",1,55,1,166,3,33,0,10,269,614
35001,"Ajax/Ajax"," 56","Ajax",1,47,1,119,3,27,2,0,200,420
35001,"Ajax/Ajax"," 57","Ajax",0,41,1,132,5,27,4,1,211,477
35001,"Ajax/Ajax"," 58","Ajax",2,37,1,103,3,27,0,3,176,417
35001,"Ajax/Ajax"," 59","Ajax",1,76,1,127,5,23,2,2,237,433
35001,"Ajax/Ajax"," 60","Ajax",4,42,2,121,6,25,5,0,205,406
35001,"Ajax/Ajax"," 61","Ajax",1,39,1,126,9,22,3,2,203,396
35001,"Ajax/Ajax"," 62","Ajax",2,58,3,152,9,32,5,1,262,579
35001,"Ajax/Ajax"," 63","Ajax",3,41,0,103,9,31,0,0,187,415
35001,"Ajax/Ajax"," 64","Ajax",1,42,4,121,10,28,2,1,209,441
35001,"Ajax/Ajax"," 65","Ajax",2,59,2,114,5,28,2,4,216,431
35001,"Ajax/Ajax"," 66","Ajax",0,45,1,91,6,11,0,1,155,376
35001,"Ajax/Ajax"," 67","Ajax",0,28,2,128,4,20,3,1,186,428
35001,"Ajax/Ajax"," 68","Ajax",0,18,0,96,4,17,1,1,137,360
35001,"Ajax/Ajax"," 69","Ajax",0,23,1,97,3,19,0,2,145,401
35001,"Ajax/Ajax"," 70","Ajax",0,65,1,200,6,44,2,2,320,598
35001,"Ajax/Ajax"," 71","Ajax",1,87,0,147,10,41,2,4,292,504
35001,"Ajax/Ajax"," 72","Ajax",2,71,1,171,6,32,4,2,289,527
35001,"Ajax/Ajax"," 73","Ajax",0,60,3,140,7,39,3,4,256,476
35001,"Ajax/Ajax"," 74","Ajax",0,50,1,105,7,24,0,2,189,455
35001,"Ajax/Ajax"," 75","Ajax",1,51,3,121,15,39,2,1,233,515
