Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arshad Awan,Mark Holland,Monique Hughes,Leigh Paulseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 185","Ajax",Merged with No./Fusionné avec le n°184,,,,,,353
35001,"Ajax/Ajax"," 400","Ajax",20,52,2,0,4,78,105
35001,"Ajax/Ajax"," 401","Ajax",35,83,15,2,3,138,227
35001,"Ajax/Ajax"," 402","Ajax",56,59,16,2,3,136,192
35001,"Ajax/Ajax"," 403","Ajax",47,104,27,4,6,188,332
35001,"Ajax/Ajax"," 404","Ajax",50,91,25,5,13,184,303
35001,"Ajax/Ajax"," 405","Ajax",Merged with No./Fusionné avec le n°177,,,,,,330
35001,"Ajax/Ajax"," 406","Ajax",48,90,40,6,2,186,311
35001,"Ajax/Ajax"," 407","Ajax",35,74,45,4,0,158,345
35001,"Ajax/Ajax"," 408","Ajax",27,73,36,4,0,140,279
35001,"Ajax/Ajax"," 500","Mobile poll/Bureau itinérant",8,7,0,0,0,15,64
35001,"Ajax/Ajax"," 501","Mobile poll/Bureau itinérant",16,31,3,2,3,55,113
35001,"Ajax/Ajax"," 502","Mobile poll/Bureau itinérant",6,5,0,0,0,11,55
35001,"Ajax/Ajax"," 503","Mobile poll/Bureau itinérant",4,29,7,1,0,41,86
35001,"Ajax/Ajax"," 504","Mobile poll/Bureau itinérant",7,38,4,1,5,55,126
35001,"Ajax/Ajax"," 505","Mobile poll/Bureau itinérant",12,26,3,1,1,43,75
35001,"Ajax/Ajax"," 600","Ajax",195,483,69,13,5,765,
35001,"Ajax/Ajax"," 601","Ajax",192,670,88,14,4,968,
35001,"Ajax/Ajax"," 602","Ajax",240,607,108,26,5,986,
35001,"Ajax/Ajax"," 603","Ajax",248,653,91,12,1,1005,
35001,"Ajax/Ajax"," 604","Ajax",202,717,96,19,2,1036,
35001,"Ajax/Ajax"," 605","Ajax",227,467,90,11,3,798,
35001,"Ajax/Ajax"," 606","Ajax",263,657,129,24,7,1080,
35001,"Ajax/Ajax"," 607","Ajax",302,496,94,16,4,912,
35001,"Ajax/Ajax"," 608","Ajax",223,531,104,10,8,876,
35001,"Ajax/Ajax"," 609","Ajax",336,695,88,17,0,1136,
35001,"Ajax/Ajax"," 610","Ajax",362,549,119,21,5,1056,
35001,"Ajax/Ajax"," 611","Ajax",273,539,119,30,2,963,
35001,"Ajax/Ajax"," 612","Ajax",225,568,106,36,5,940,
35001,"Ajax/Ajax"," 613","Ajax",261,396,112,13,8,790,
35001,"Ajax/Ajax"," 614","Ajax",466,632,127,36,6,1267,
35001,"Ajax/Ajax"," 615","Ajax",522,717,176,38,7,1460,
35001,"Ajax/Ajax"," 616","Ajax",502,775,168,59,7,1511,
35001,"Ajax/Ajax",,Group 1/Groupe 1, 82,149,97,11,16,355,167
35001,"Ajax/Ajax",,Group 2/Groupe 2, 604,1325,313,73,137,2452,
