Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Xavier Barsalou-Duval,Alexandre Blais,Laurent de Casanove,Jean-François Filion,Vincent Kunda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 110","Saint-Mathieu-de-Beloeil",122,2,91,10,57,3,285,403
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 111","Boucherville",93,2,66,4,9,0,174,361
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 112","Boucherville",75,4,68,5,25,2,179,413
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 113","Boucherville",79,1,87,10,21,0,198,410
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 114","Boucherville",84,0,102,4,17,8,215,491
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 115","Boucherville",94,2,76,12,8,4,196,444
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 116","Boucherville",74,2,49,9,25,3,162,344
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 117","Boucherville",99,4,68,9,10,3,193,364
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 118","Boucherville",76,0,79,4,16,2,177,338
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 119","Boucherville",100,2,86,7,13,2,210,415
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 120","Boucherville",123,4,98,7,14,5,251,430
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 121","Boucherville",103,1,63,8,9,1,185,380
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 122","Boucherville",190,2,153,12,38,5,400,389
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 123","Boucherville",Combined with No./Résultats combinés à ceux du n°126,,,,,,,380
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 124","Boucherville",145,4,67,4,14,5,239,414
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 125","Boucherville",96,2,81,9,20,1,209,414
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 126","Boucherville",162,4,101,13,44,6,330,368
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 127","Boucherville",100,4,65,5,25,0,199,405
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 128","Boucherville",92,4,74,4,20,4,198,428
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 129","Boucherville",80,2,73,3,20,1,179,416
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 130","Boucherville",Combined with No./Résultats combinés à ceux du n°122,,,,,,,353
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 131","Boucherville",92,1,51,3,18,0,165,378
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 132","Boucherville",74,4,67,3,29,1,178,440
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 133A","Boucherville",57,0,83,1,15,1,157,330
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 133B","Boucherville",37,0,100,4,12,2,155,341
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 134A","Boucherville",36,0,45,2,1,0,84,291
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 134B","Boucherville",24,0,51,0,3,1,79,305
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 135","Boucherville",64,0,136,5,45,1,251,571
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 136A","Boucherville",20,2,61,1,10,2,96,341
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 136B","Boucherville",25,1,64,0,5,1,96,347
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 136C","Mobile poll/Bureau itinérant",52,1,40,3,3,7,106,92
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 137","Boucherville",68,3,81,3,44,2,201,567
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 138A","Boucherville",37,0,77,4,15,1,134,304
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 138B","Boucherville",34,1,83,4,13,0,135,304
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 139","Boucherville",82,0,64,8,25,3,182,420
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 140","Boucherville",114,3,75,5,16,1,214,408
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 141","Boucherville",68,1,31,5,22,3,130,372
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 142","Boucherville",88,6,79,6,27,3,209,507
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 143","Boucherville",74,2,80,11,25,2,194,410
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 144","Boucherville",80,2,95,5,13,0,195,417
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 145","Boucherville",65,1,65,5,12,1,149,351
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 146","Boucherville",65,0,82,7,13,0,167,335
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 147","Boucherville",132,1,91,5,16,0,245,358
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 148","Boucherville",133,3,97,14,21,6,274,430
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 149","Boucherville",116,1,102,4,22,3,248,425
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 150","Boucherville",96,0,113,11,20,3,243,403
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 151","Boucherville",64,1,77,4,10,4,160,346
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 152A","Boucherville",52,0,66,4,18,0,140,320
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 152B","Boucherville",48,0,80,3,16,0,147,331
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 153","Boucherville",69,4,86,0,29,0,188,433
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 154","Boucherville",87,1,99,6,19,1,213,449
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 155","Boucherville",71,1,70,5,30,1,178,394
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 156","Boucherville",90,0,101,8,22,1,222,502
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 157","Boucherville",94,0,126,7,37,3,267,564
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 158","Boucherville",48,0,70,4,22,0,144,380
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 159","Boucherville",79,0,110,6,17,1,213,543
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 160","Boucherville",60,2,61,1,8,1,133,364
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 161","Boucherville",55,0,64,3,18,1,141,436
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 162","Boucherville",58,0,75,3,24,3,163,434
