Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Xavier Barsalou-Duval,Alexandre Blais,Laurent de Casanove,Jean-François Filion,Vincent Kunda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 12","Contrecoeur",109,0,31,4,49,9,202,536
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 13A","Contrecoeur",94,3,89,4,43,4,237,430
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 13B","Contrecoeur",86,3,94,8,52,2,245,429
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 14","Contrecoeur",89,1,38,4,32,3,167,359
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 15","Saint-Antoine-sur-Richelieu",128,7,58,5,32,2,232,312
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 16","Saint-Antoine-sur-Richelieu",141,2,48,6,31,1,229,402
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 17","Saint-Antoine-sur-Richelieu",111,9,82,11,44,5,262,424
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 18","Saint-Antoine-sur-Richelieu",95,3,52,1,34,8,193,348
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 19","Saint-Denis-sur-Richelieu",117,6,58,9,54,2,246,457
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 20","Saint-Denis-sur-Richelieu",161,8,50,6,34,9,268,443
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 21","Saint-Denis-sur-Richelieu",148,1,39,12,23,2,225,379
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 22","Saint-Denis-sur-Richelieu",82,2,43,1,26,4,158,302
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 23","Saint-Denis-sur-Richelieu",77,2,62,1,15,4,161,325
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 24","Verchères",172,3,81,4,30,2,292,504
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 25","Verchères",136,5,47,5,29,2,224,476
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 26","Verchères",145,2,46,8,32,1,234,458
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 27","Verchères",117,1,43,6,31,2,200,508
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 28","Verchères",153,2,54,8,37,4,258,499
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 29","Verchères",86,1,42,5,26,1,161,390
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 30","Verchères",136,4,40,9,27,5,221,554
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 31","Verchères",134,0,48,4,19,1,206,462
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 32","Verchères",86,2,64,5,24,7,188,456
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 33","Calixa-Lavallée",189,5,48,4,46,5,297,429
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 34","Verchères",76,3,27,3,20,1,130,299
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 35","Saint-Marc-sur-Richelieu",100,4,32,2,23,2,163,335
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 36","Saint-Marc-sur-Richelieu",70,2,51,4,16,3,146,359
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 37","Saint-Marc-sur-Richelieu",127,4,70,2,41,0,244,374
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 38","Saint-Marc-sur-Richelieu",113,1,76,7,27,1,225,400
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 39","Saint-Marc-sur-Richelieu",77,7,63,3,25,4,179,279
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 40","Saint-Charles-sur-Richelieu",80,1,34,2,24,0,141,335
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 41","Saint-Charles-sur-Richelieu",66,4,35,6,32,2,145,372
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 42","Saint-Charles-sur-Richelieu",55,4,35,5,17,1,117,256
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 43","Saint-Charles-sur-Richelieu",78,0,68,3,17,1,167,363
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 44","Saint-Charles-sur-Richelieu",45,2,28,1,14,1,91,217
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 45","Varennes",104,0,58,3,24,1,190,428
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 46","Varennes",81,0,97,6,31,1,216,549
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 47","Varennes",109,0,68,7,31,5,220,504
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 48","Varennes",Combined with No./Résultats combinés à ceux du n°53,,,,,,,354
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 49","Varennes",85,3,29,5,25,2,149,402
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 50","Varennes",Combined with No./Résultats combinés à ceux du n°51,,,,,,,339
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 51","Varennes",165,6,88,14,45,2,320,483
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 52","Varennes",106,2,69,9,32,0,218,466
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 53","Varennes",165,5,74,17,33,2,296,365
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 54","Saint-Amable",Combined with No./Résultats combinés à ceux du n°57,,,,,,,344
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 55","Saint-Amable",84,0,41,1,31,6,163,443
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 56","Saint-Amable",70,1,45,2,36,0,154,384
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 57","Saint-Amable",139,5,63,5,65,6,283,394
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 58","Varennes",134,3,65,6,30,2,240,551
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 59","Varennes",105,2,68,6,30,3,214,452
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 60","Varennes",67,5,78,6,20,1,177,416
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 61","Varennes",103,0,60,6,23,5,197,415
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 62","Varennes",94,3,63,11,21,0,192,428
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 63","Varennes",94,0,54,5,27,4,184,414
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 64","Varennes",84,0,52,1,20,3,160,381
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 65","Varennes",100,1,54,13,14,1,183,374
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 66","Varennes",88,0,49,5,14,1,157,315
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 67","Varennes",116,1,50,3,14,3,187,398
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 68","Saint-Amable",47,2,47,6,54,5,161,395
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 69","Saint-Amable",77,3,67,4,32,2,185,513
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 70","Saint-Amable",66,1,45,3,29,7,151,326
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 71","Saint-Amable",84,0,71,3,47,5,210,420
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 72","Saint-Amable",106,3,72,4,46,3,234,400
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 73","Saint-Amable",91,2,68,7,64,1,233,515
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 74","Saint-Amable",105,1,39,9,39,6,199,549
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 75A","Saint-Amable",110,10,67,3,37,7,234,589
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 75B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°400,,,,,,,61
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 76","Saint-Amable",125,3,49,7,60,9,253,466
