Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sat Anand,Amandeep Judge,Ruby Sahota,Ruby Zaman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 47B","Caledon",1,55,50,6,1,113,357
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 48","Caledon",1,59,73,2,1,136,367
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 49A","Caledon",1,71,57,0,1,130,445
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 49B","Caledon",2,91,52,2,0,147,398
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 50A","Caledon",0,63,47,0,0,110,326
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 50B","Caledon",3,35,49,0,0,87,328
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 51A","Caledon",1,62,57,2,0,122,400
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 51B","Caledon",3,69,45,1,0,118,377
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 52","Caledon",2,95,71,1,5,174,614
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 53A","Caledon",1,53,58,1,5,118,357
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 53B","Caledon",1,80,56,2,4,143,377
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 54","Brampton",2,90,76,7,1,176,481
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 55","Brampton",1,79,60,1,1,142,357
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 56","Brampton",3,127,101,4,2,237,533
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 57","Brampton",4,69,159,3,2,237,486
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 58","Brampton",6,82,67,4,1,160,435
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 59","Brampton",9,110,185,9,4,317,581
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 60","Brampton",7,112,194,11,3,327,591
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 61","Brampton",1,90,74,3,0,168,450
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 62A","Brampton",1,76,132,2,0,211,354
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 62B","Brampton",10,65,95,2,1,173,346
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 63","Brampton",0,57,57,5,0,119,382
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 64","Brampton",8,96,108,4,8,224,608
