Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kaitte Aurora,John Barlow,John Bruinsma,Emma Hoberg,Paul O'Halloran,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Foothills/Foothills"," 1","Bragg Creek",12,98,38,2,1,0,151,336
48024,"Foothills/Foothills"," 2","Bragg Creek",11,94,58,1,0,0,164,381
48024,"Foothills/Foothills"," 3","Bragg Creek",5,78,47,3,0,2,135,333
48024,"Foothills/Foothills"," 4","Bragg Creek",6,117,51,3,0,0,177,337
48024,"Foothills/Foothills"," 5","Kananaskis",5,98,46,0,0,0,149,415
48024,"Foothills/Foothills"," 6","Redwood Meadows",8,100,66,1,3,2,180,433
48024,"Foothills/Foothills"," 7","Redwood Meadows",2,67,46,0,2,1,118,365
48024,"Foothills/Foothills"," 8","Tsuu T'ina Nation 145",25,20,99,5,1,1,151,1103
48024,"Foothills/Foothills"," 9","Priddis",4,160,46,2,2,0,214,348
48024,"Foothills/Foothills"," 10","Priddis",6,142,31,4,2,0,185,391
48024,"Foothills/Foothills"," 11","Priddis",1,147,54,1,0,3,206,356
48024,"Foothills/Foothills"," 12","Priddis",1,180,38,3,4,1,227,365
48024,"Foothills/Foothills"," 13","Priddis",1,169,25,1,1,0,197,350
48024,"Foothills/Foothills"," 14","Priddis",7,180,43,3,2,2,237,371
48024,"Foothills/Foothills"," 15","Priddis",1,181,33,1,3,1,220,374
48024,"Foothills/Foothills"," 16","De Winton",1,225,39,2,2,18,287,456
48024,"Foothills/Foothills"," 17","Millarville",4,152,28,0,1,0,185,426
48024,"Foothills/Foothills"," 18","Kew",5,205,51,0,3,0,264,493
48024,"Foothills/Foothills"," 19","Millarville",3,198,28,1,5,2,237,440
48024,"Foothills/Foothills"," 20","Millarville",4,190,17,1,0,0,212,446
48024,"Foothills/Foothills"," 21","Foothills County",4,111,26,3,0,0,144,358
48024,"Foothills/Foothills"," 22","Foothills County",2,122,33,0,2,0,159,353
48024,"Foothills/Foothills"," 23","Foothills County",0,94,22,2,0,0,118,398
48024,"Foothills/Foothills"," 24","Foothills County",0,69,30,0,0,0,99,275
48024,"Foothills/Foothills"," 25","De Winton",5,181,37,4,3,0,230,360
48024,"Foothills/Foothills"," 26","De Winton",4,187,47,0,0,2,240,403
48024,"Foothills/Foothills"," 27","De Winton",2,202,37,0,7,0,248,410
48024,"Foothills/Foothills"," 28","De Winton",2,170,31,0,4,1,208,488
48024,"Foothills/Foothills"," 29","De Winton",4,156,39,1,0,0,200,518
48024,"Foothills/Foothills"," 30","Foothills County",1,95,12,0,3,0,111,340
48024,"Foothills/Foothills"," 31","De Winton",2,130,25,1,0,0,158,438
48024,"Foothills/Foothills"," 32","De Winton",3,95,30,1,0,0,129,316
48024,"Foothills/Foothills"," 33","De Winton",4,134,20,1,3,0,162,405
48024,"Foothills/Foothills"," 34","De Winton",4,124,28,1,0,0,157,445
48024,"Foothills/Foothills"," 35","De Winton",4,120,23,2,1,0,150,446
48024,"Foothills/Foothills"," 36","De Winton",1,71,12,2,2,1,89,300
48024,"Foothills/Foothills"," 37","De Winton",7,103,21,1,0,1,133,337
48024,"Foothills/Foothills"," 38","De Winton",1,97,9,0,0,2,109,355
48024,"Foothills/Foothills"," 39","Turner Valley",4,101,20,2,1,1,129,374
