Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cindy Andrie,Hans Johnsen,Bill Kudla,Alastair MacFarlane,Rob Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13004,"Fundy Royal/Fundy Royal"," 1","Canaan Forks",8,1,34,2,71,0,116,252
13004,"Fundy Royal/Fundy Royal"," 2","Havelock",7,0,15,2,90,2,116,325
13004,"Fundy Royal/Fundy Royal"," 3","Havelock",4,4,30,1,76,2,117,378
13004,"Fundy Royal/Fundy Royal"," 4","Cornhill",8,5,59,1,108,1,182,322
13004,"Fundy Royal/Fundy Royal"," 5","Second North River",7,3,68,0,122,1,201,401
13004,"Fundy Royal/Fundy Royal"," 6","Lewis Mountain",6,7,32,5,115,1,166,348
13004,"Fundy Royal/Fundy Royal"," 7","Steeves Settlement",5,6,36,1,114,1,163,324
13004,"Fundy Royal/Fundy Royal"," 8","Steeves Settlement",2,3,24,1,112,0,142,348
13004,"Fundy Royal/Fundy Royal"," 9","Petitcodiac",4,3,29,1,86,0,123,363
13004,"Fundy Royal/Fundy Royal"," 10","Petitcodiac",3,5,26,4,122,1,161,392
13004,"Fundy Royal/Fundy Royal"," 11","Petitcodiac",3,5,27,0,67,0,102,302
13004,"Fundy Royal/Fundy Royal"," 12","Petitcodiac",6,4,27,2,70,0,109,304
13004,"Fundy Royal/Fundy Royal"," 13","Petitcodiac",5,4,35,1,88,0,133,373
13004,"Fundy Royal/Fundy Royal"," 14","Elgin",7,6,83,8,167,0,271,462
13004,"Fundy Royal/Fundy Royal"," 15","Parkindale",6,6,64,3,165,0,244,473
13004,"Fundy Royal/Fundy Royal"," 16","River Glade",3,8,18,4,120,0,153,414
13004,"Fundy Royal/Fundy Royal"," 17","The Glades",1,3,22,1,80,1,108,326
13004,"Fundy Royal/Fundy Royal"," 18","Salisbury",3,0,36,0,106,3,148,441
13004,"Fundy Royal/Fundy Royal"," 19","Salisbury",6,4,36,0,69,0,115,397
13004,"Fundy Royal/Fundy Royal"," 20","Salisbury",2,4,39,0,79,1,125,392
13004,"Fundy Royal/Fundy Royal"," 21","Salisbury",1,1,39,0,58,1,100,343
13004,"Fundy Royal/Fundy Royal"," 22A","Salisbury",7,6,44,7,113,0,177,433
13004,"Fundy Royal/Fundy Royal"," 22B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,9
13004,"Fundy Royal/Fundy Royal"," 22C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,32
13004,"Fundy Royal/Fundy Royal"," 23","Boundary Creek",6,0,26,1,82,0,115,408
13004,"Fundy Royal/Fundy Royal"," 24","Steeves Mountain",11,1,51,1,133,0,197,457
13004,"Fundy Royal/Fundy Royal"," 25","Steeves Mountain",9,2,59,0,92,1,163,408
13004,"Fundy Royal/Fundy Royal"," 26","Gallagher Ridge",16,6,76,5,136,3,242,463
13004,"Fundy Royal/Fundy Royal"," 27","Berry Mills",9,2,79,3,141,3,237,446
13004,"Fundy Royal/Fundy Royal"," 28","Allison",6,3,66,3,72,1,151,382
13004,"Fundy Royal/Fundy Royal"," 29","Synton",5,7,50,3,90,2,157,485
13004,"Fundy Royal/Fundy Royal"," 30","Upper Coverdale",0,3,37,2,91,1,134,456
13004,"Fundy Royal/Fundy Royal"," 31","Colpitts Settlement",5,7,26,5,85,0,128,392
13004,"Fundy Royal/Fundy Royal"," 32","Colpitts Settlement",8,7,36,9,124,2,186,402
13004,"Fundy Royal/Fundy Royal"," 33","Lower Turtle Creek",4,6,13,3,61,0,87,319
13004,"Fundy Royal/Fundy Royal"," 34","Riverview",12,4,62,1,82,0,161,502
13004,"Fundy Royal/Fundy Royal"," 35","Riverview",3,5,46,0,62,0,116,413
13004,"Fundy Royal/Fundy Royal"," 36","Riverview",5,4,45,0,44,1,99,408
13004,"Fundy Royal/Fundy Royal"," 37","Riverview",6,1,69,0,67,2,145,459
13004,"Fundy Royal/Fundy Royal"," 38","Riverview",5,3,79,3,61,1,152,421
13004,"Fundy Royal/Fundy Royal"," 39","Riverview",5,4,90,2,87,0,188,521
13004,"Fundy Royal/Fundy Royal"," 40","Riverview",4,3,60,1,96,0,164,505
13004,"Fundy Royal/Fundy Royal"," 41","Riverview",14,2,87,3,99,1,206,725
13004,"Fundy Royal/Fundy Royal"," 42","Riverview",3,1,83,2,75,0,164,526
13004,"Fundy Royal/Fundy Royal"," 43","Riverview",9,5,51,1,45,0,111,377
13004,"Fundy Royal/Fundy Royal"," 44","Riverview",8,5,78,0,77,1,169,442
13004,"Fundy Royal/Fundy Royal"," 45","Riverview",5,2,58,2,62,1,130,509
13004,"Fundy Royal/Fundy Royal"," 46","Riverview",5,3,81,4,62,1,156,437
13004,"Fundy Royal/Fundy Royal"," 47","Riverview",6,4,45,0,79,0,134,472
13004,"Fundy Royal/Fundy Royal"," 48","Riverview",9,1,66,1,54,0,131,471
13004,"Fundy Royal/Fundy Royal"," 49","Riverview",3,1,68,1,46,0,119,448
13004,"Fundy Royal/Fundy Royal"," 50","Riverview",4,3,61,1,47,0,116,389
13004,"Fundy Royal/Fundy Royal"," 51","Riverview",4,2,54,0,32,0,92,358
13004,"Fundy Royal/Fundy Royal"," 52","Riverview - Southeast",3,3,78,2,92,2,180,527
13004,"Fundy Royal/Fundy Royal"," 53","Pine Glen",2,4,44,2,119,0,171,443
13004,"Fundy Royal/Fundy Royal"," 54","Pine Glen",9,3,56,4,57,0,129,423
13004,"Fundy Royal/Fundy Royal"," 55","Riverview",1,4,66,2,80,0,153,577
13004,"Fundy Royal/Fundy Royal"," 56","Riverview",11,1,93,1,97,2,205,603
13004,"Fundy Royal/Fundy Royal"," 57","Riverview",6,3,91,0,69,1,170,409
13004,"Fundy Royal/Fundy Royal"," 58","Riverview",3,3,90,1,69,2,168,511
13004,"Fundy Royal/Fundy Royal"," 59","Riverview",3,4,87,1,64,0,159,433
13004,"Fundy Royal/Fundy Royal"," 60","Riverview",6,6,92,0,68,3,175,514
13004,"Fundy Royal/Fundy Royal"," 61","Riverview",3,3,121,2,78,1,208,729
13004,"Fundy Royal/Fundy Royal"," 62","Riverview",3,4,71,7,54,4,143,492
13004,"Fundy Royal/Fundy Royal"," 63","Riverview",6,3,52,1,75,1,138,470
13004,"Fundy Royal/Fundy Royal"," 64","Riverview",11,7,78,1,120,0,217,567
13004,"Fundy Royal/Fundy Royal"," 65","Riverview",4,3,120,1,110,0,238,589
13004,"Fundy Royal/Fundy Royal"," 66A","Riverview",8,1,81,2,87,0,179,502
13004,"Fundy Royal/Fundy Royal"," 66B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,9
13004,"Fundy Royal/Fundy Royal"," 67","Riverview",5,4,73,3,82,1,168,551
13004,"Fundy Royal/Fundy Royal"," 68","Riverview",8,5,77,6,114,4,214,566
13004,"Fundy Royal/Fundy Royal"," 69","Lower Coverdale",6,2,86,0,88,0,182,378
13004,"Fundy Royal/Fundy Royal"," 70","Lower Coverdale",7,7,64,5,101,0,184,374
13004,"Fundy Royal/Fundy Royal"," 71","Lower Coverdale",6,3,78,1,87,1,176,337
13004,"Fundy Royal/Fundy Royal"," 72","Lower Coverdale",7,4,94,4,119,1,229,498
13004,"Fundy Royal/Fundy Royal"," 73","Dawson",6,7,49,4,135,4,205,433
